"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XIRP2",14.7746176634767,-22.9925327173734,2.9657831285923,-7.75260082091258,9.00292850433741e-15,1.72973265353835e-10
"HS6ST2",1353.74886770447,-0.374305353440327,0.0524404881544347,-7.13771680267385,9.48938810615432e-13,9.11598068417715e-09
"SNORD3A",103.745198514883,-1.54350494506433,0.218192977029519,-7.07403586530427,1.50491363629284e-12,9.63796856469808e-09
"MYBPH",179.728142400257,-7.66687540200637,1.42126176806729,-5.39441471955742,6.87472684118957e-08,0.000330210316999438
"MYLPF",260.474958453522,-5.24253364866409,1.00129041225405,-5.23577733742838,1.64291921135152e-07,0.000631308136153937
"UNC79",1497.78795686126,-0.342867386576823,0.0683999816239363,-5.01268243699115,5.36764428424829e-07,0.00171880916055437
"USP9Y",7616.35352119162,-0.199610352507477,0.0400594417080112,-4.98285407875662,6.26531990926333e-07,0.00171965130595252
"TRIM47",95.2567782381197,0.772537986134945,0.155876579632105,4.95608761725632,7.19267907757137e-07,0.00172741178896723
"ACTC1",487.816970264586,-5.7324500710478,1.17095374046108,-4.89553931378242,9.8036489486887e-07,0.00203842315174965
"HERC1",7687.49947817703,-0.273519677394284,0.0560493319174154,-4.8799810459346,1.06096036628827e-06,0.00203842315174965
"IGFBP2",11385.3139191486,0.25742474630721,0.0534430289665902,4.81680681811913,1.45873791023392e-06,0.00254788467902949
"TRDN",19.6456652800525,-3.61689285254674,0.75406422598572,-4.79653155249302,1.61436538248437e-06,0.00258473350780602
"CD46",10021.7132870983,-0.23183922196051,0.0487203681274018,-4.75856876438741,1.94970472869819e-06,0.00288151361172911
"MYL1",259.263129104414,-6.12525322906702,1.2944381872045,-4.73197815825819,2.22342342368429e-06,0.00292970253551232
"SMYD1",50.4767934800048,-5.89704609546021,1.24772764754009,-4.72622860212026,2.28728142573699e-06,0.00292970253551232
"MT-ND6",16162.4203307661,0.313491628287629,0.066713362543809,4.6990830072726,2.6133222834102e-06,0.00313811006444751
"TNNC2",103.447485496687,-3.13010015476036,0.668968350159551,-4.67899588076748,2.8828323374388e-06,0.00325810927642422
"CD55",551.985413897518,0.432778969989995,0.0932006123998621,4.64352066843967,3.42521709665801e-06,0.00365603867100502
"KLHL41",130.979860807973,-3.47363801605909,0.759668402097095,-4.57257140940702,4.81774952311535e-06,0.00487175903092712
"MYPN",18.7234301618403,-3.16438334415552,0.697829646167584,-4.53460720898578,5.77107828852111e-06,0.00527998700749315
"UACA",2072.09891260358,0.255926664150145,0.0563486723958753,4.54184017596978,5.57653122584172e-06,0.00527998700749315
"SORL1",1157.26474854213,-0.429969129066564,0.0954936807133403,-4.50259248417993,6.71295269356559e-06,0.00586254364097617
"MYH8",192.404172592122,-7.67349047777065,1.71208528820727,-4.481955735865,7.39620867216445e-06,0.00617840683557807
