"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,0.0354679847828845,5,2,1,0.5,0.2,"GO:1905605","GO:BP","positive regulation of blood-brain barrier permeability",21017,24763,"IMP","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - positive regulation of blood-brain barrier permeability"
"query_1",TRUE,0.0354679847828845,19,2,1,0.5,0.0526315789473684,"GO:0043116","GO:BP","negative regulation of vascular permeability",21017,10539,"IDA IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - negative regulation of vascular permeability"
"query_1",TRUE,0.0354679847828845,15,2,1,0.5,0.0666666666666667,"GO:0042308","GO:BP","negative regulation of protein import into nucleus",21017,10081,"IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - negative regulation of protein import into nucleus"
"query_1",TRUE,0.0354679847828845,3,2,1,0.5,0.333333333333333,"GO:0035691","GO:BP","macrophage migration inhibitory factor signaling pathway",21017,9167,"IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - macrophage migration inhibitory factor signaling pathway"
"query_1",TRUE,0.0354679847828845,3,2,1,0.5,0.333333333333333,"GO:2000446","GO:BP","regulation of macrophage migration inhibitory factor signaling pathway",21017,25761,"IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - regulation of macrophage migration inhibitory factor signaling pathway"
"query_1",TRUE,0.0354679847828845,9,2,1,0.5,0.111111111111111,"GO:1905603","GO:BP","regulation of blood-brain barrier permeability",21017,24761,"IMP","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - regulation of blood-brain barrier permeability"
"query_1",TRUE,0.0354679847828845,4,2,1,0.5,0.25,"GO:0048014","GO:BP","Tie signaling pathway",21017,12470,"IDA IBA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - Tie signaling pathway"
"query_1",TRUE,0.0354679847828845,18,2,1,0.5,0.0555555555555556,"GO:0043117","GO:BP","positive regulation of vascular permeability",21017,10540,"IMP","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - positive regulation of vascular permeability"
"query_1",TRUE,0.0354679847828845,12,2,1,0.5,0.0833333333333333,"GO:0014842","GO:BP","regulation of skeletal muscle satellite cell proliferation",21017,4720,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - regulation of skeletal muscle satellite cell proliferation"
"query_1",TRUE,0.0354679847828845,12,2,1,0.5,0.0833333333333333,"GO:0030210","GO:BP","heparin biosynthetic process",21017,6719,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - heparin biosynthetic process"
"query_1",TRUE,0.0354679847828845,18,2,1,0.5,0.0555555555555556,"GO:0030202","GO:BP","heparin metabolic process",21017,6711,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - heparin metabolic process"
"query_1",TRUE,0.0354679847828845,762,2,2,1,0.0026246719160105,"GO:0016567","GO:BP","protein ubiquitination",21017,5254,"IDA IEA,IDA","TRIM47,ANGPT1","TRIM47,ANGPT1","ENSG00000132481,ENSG00000154188","GO:BP - protein ubiquitination"
"query_1",TRUE,0.0354679847828845,16,2,1,0.5,0.0625,"GO:0014857","GO:BP","regulation of skeletal muscle cell proliferation",21017,4734,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - regulation of skeletal muscle cell proliferation"
"query_1",TRUE,0.0354679847828845,6,2,1,0.5,0.166666666666667,"GO:0007171","GO:BP","activation of transmembrane receptor protein tyrosine kinase activity",21017,2734,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - activation of transmembrane receptor protein tyrosine kinase activity"
"query_1",TRUE,0.0354679847828845,846,2,2,1,0.00236406619385343,"GO:0032446","GO:BP","protein modification by small protein conjugation",21017,7568,"IDA IEA,IDA","TRIM47,ANGPT1","TRIM47,ANGPT1","ENSG00000132481,ENSG00000154188","GO:BP - protein modification by small protein conjugation"
"query_1",TRUE,0.0354679847828845,17,2,1,0.5,0.0588235294117647,"GO:0014841","GO:BP","skeletal muscle satellite cell proliferation",21017,4719,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - skeletal muscle satellite cell proliferation"
"query_1",TRUE,0.0364928960626486,33,2,1,0.5,0.0303030303030303,"GO:0002719","GO:BP","negative regulation of cytokine production involved in immune response",21017,1237,"IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - negative regulation of cytokine production involved in immune response"
"query_1",TRUE,0.0364928960626486,32,2,1,0.5,0.03125,"GO:0090317","GO:BP","negative regulation of intracellular protein transport",21017,18197,"IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - negative regulation of intracellular protein transport"
"query_1",TRUE,0.0364928960626486,26,2,1,0.5,0.0384615384615385,"GO:0002092","GO:BP","positive regulation of receptor internalization",21017,678,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - positive regulation of receptor internalization"
"query_1",TRUE,0.0364928960626486,29,2,1,0.5,0.0344827586206897,"GO:0072012","GO:BP","glomerulus vasculature development",21017,17048,"ISS IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - glomerulus vasculature development"
"query_1",TRUE,0.0364928960626486,31,2,1,0.5,0.032258064516129,"GO:0061440","GO:BP","kidney vasculature development",21017,15475,"ISS IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - kidney vasculature development"
"query_1",TRUE,0.0364928960626486,31,2,1,0.5,0.032258064516129,"GO:0061437","GO:BP","renal system vasculature development",21017,15472,"ISS IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - renal system vasculature development"
"query_1",TRUE,0.0364928960626486,962,2,2,1,0.00207900207900208,"GO:0070647","GO:BP","protein modification by small protein conjugation or removal",21017,16231,"IDA IEA,IDA","TRIM47,ANGPT1","TRIM47,ANGPT1","ENSG00000132481,ENSG00000154188","GO:BP - protein modification by small protein conjugation or removal"
"query_1",TRUE,0.0364928960626486,23,2,1,0.5,0.0434782608695652,"GO:0046823","GO:BP","negative regulation of nucleocytoplasmic transport",21017,12380,"IEA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - negative regulation of nucleocytoplasmic transport"
"query_1",TRUE,0.0364928960626486,1013,2,2,1,0.00197433366238894,"GO:0043687","GO:BP","post-translational protein modification",21017,10838,"IDA IEA,IDA","TRIM47,ANGPT1","TRIM47,ANGPT1","ENSG00000132481,ENSG00000154188","GO:BP - post-translational protein modification"
"query_1",TRUE,0.0364928960626486,25,2,1,0.5,0.04,"GO:0014856","GO:BP","skeletal muscle cell proliferation",21017,4733,"IDA","ANGPT1","ANGPT1","ENSG00000154188","GO:BP - skeletal muscle cell proliferation"
