"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FMR1",2197.5704780835,-8.18007829061608,0.142096847651085,-57.5669230235286,0,0
"PHC1P1",394.853451626094,3.05792248412028,0.0801396965578929,38.1574003329454,0,0
"ZNF37A",794.124610600732,6.34874444456588,0.15022943663067,42.2603225237,0,0
"FAR2P4",622.032856685912,-7.95407192443748,0.230384723855303,-34.5251707289116,3.36250140055216e-261,2.13636526484081e-257
"LINC02693",1184.24599203868,7.10921751028082,0.230343541671241,30.8635417285868,3.68682773349481e-209,1.87394080038074e-205
"KLF2P1",509.40491958339,-7.69575385091892,0.276388816972476,-27.8439407759588,1.27539303945264e-170,5.40213978410822e-167
"POTEF",638.801330044401,-8.78624097288519,0.343763559248321,-25.558965563707,4.36487071120414e-144,1.5846974893506e-140
"POTEE",255.219518072519,-7.10734454000141,0.308663131679002,-23.0262179397337,2.54669770175008e-117,8.09022192403455e-114
"NNAT",18427.6846948529,6.99181474466381,0.318745998069747,21.935380481652,1.19434936118103e-106,3.37257718500609e-103
"BMS1P23",162.77018549582,8.06145018993162,0.47723629387086,16.8919470154821,5.15726387657694e-64,1.19151549235751e-60
"NPIPB2",122.165186813642,4.58219156066776,0.272427244316506,16.8198726678899,1.74533432471372e-63,3.69632721068953e-60
"FAR2P1",1088.90536067106,-7.69983644021432,0.459201211824119,-16.7678922484278,4.19114017127771e-63,8.19335663945014e-60
"KLF2P4",151.719270316584,-8.24109624797841,0.4946554633714,-16.6602754001946,2.54848270738802e-62,4.62622425182565e-59
"PLXND1",769.451791082295,-1.69137030487498,0.106120659825392,-15.9381811954233,3.44227598025139e-57,5.83213345080726e-54
"MRI1",305.286533552802,3.51978082030216,0.222349889311003,15.829919372611,1.93468943173505e-56,3.07301232613216e-53
"COL1A2",10444.6583577173,-7.35407299802664,0.479211912916089,-15.3461815113815,3.75657025088722e-53,5.61585155035576e-50
"COX20P1",75.0694288559897,-3.63139671022913,0.242496745408447,-14.9750327746157,1.06915117572145e-50,1.50952266554361e-47
"PHYH",1301.93573869563,-1.62489590267446,0.111091851016238,-14.626598511145,1.9005409548674e-48,2.54212356984212e-45
"NEK2P4",150.877045936737,-8.81989374732528,0.603836903362321,-14.6064172265952,2.55610994213043e-48,3.24804890346514e-45
"LRRC37A4P",1388.71319095411,1.71466450213036,0.119107527388135,14.3959373494741,5.4875808376552e-47,6.64101806705568e-44
"HLA-E",2061.80099911612,-1.52530445673467,0.108516615676281,-14.0559530651495,7.08219959493709e-45,8.18122820480597e-42
"MED15P9",163.342905796106,-9.19818047997117,0.665871408175911,-13.8137489716951,2.10580816084816e-43,2.32682646086066e-40
"NF1P8",113.219161122681,-9.30176052407015,0.685631065187934,-13.5667139316689,6.30875637466071e-42,6.6804472710678e-39
"TIMP3",1435.24620094089,-2.39001693615935,0.176671312354299,-13.5280420137843,1.06831307904303e-41,1.08600434363198e-38
"DCN",736.314872527692,-7.16177361324406,0.538537240151117,-13.2985670800304,2.35946812738196e-40,2.30628934574174e-37
"GSN",2629.4480684762,-1.57109194809871,0.12053800362373,-13.0339967551064,7.83913396074935e-39,7.37865742512903e-36
"PTGER3",213.605610367804,2.80300126025347,0.215346779294146,13.0162209504179,9.89479889589783e-39,8.98094354072669e-36
"TMEM9B-AS1",381.655220319076,1.29326198500657,0.0994172996887675,13.0084199536219,1.09584511469251e-38,9.60338198096395e-36
"ZNF597",669.640360135626,-1.6073099166424,0.125181322158124,-12.8398541326486,9.80590570357356e-38,8.30690958502062e-35
"SERHL",195.783788664682,2.40659246967653,0.187674326857087,12.823237519904,1.21518492951607e-37,9.96216445120049e-35
"PSPHP1",80.7503361068729,8.8283785823298,0.690858518914521,12.7788517339281,2.15223529543977e-37,1.65748205449413e-34
"HES1",952.463529812221,-1.34313199347975,0.107341977604893,-12.512644386184,6.36687891852628e-36,4.75905473045373e-33
"KCNK6",88.4667290518187,-2.6405521119652,0.211831237603105,-12.4653575263184,1.15353270427404e-35,8.37596575612014e-33
"COL1A1",8692.07171628371,-5.81184325019583,0.469699731019702,-12.3735290151828,3.63492759180215e-35,2.56605693939055e-32
"NPIPB15",99.5165957053212,-4.1654161482096,0.338088645902044,-12.3204851706746,7.02702488603229e-35,4.69960027509538e-32
"RPS28P7",4734.02067420955,-1.08118133314213,0.0878430316326986,-12.3081058684645,8.19232906830835e-35,5.33845771646124e-32
