"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection","intersection_gene","intersection_gene_id","term"
"query_1",TRUE,4.29090471506001e-06,1275,159,32,0.20125786163522,0.0250980392156863,"GO:0007186","GO:BP","G protein-coupled receptor signaling pathway",21017,2744,"IBA TAS IEA,ISS IBA TAS IEA,IDA IMP TAS IEA,IDA IBA,IBA IEA,IBA IEA,TAS IEA,IDA IBA TAS IEA,IEA,IBA TAS IEA,IC IEA,ISS IEA,ISS IBA IEA,IEA,IEA,IEA,TAS IEA,IBA IEA,IDA IGI,IBA TAS IEA,IDA IBA IEA,IBA TAS IEA,IEA,IMP IBA TAS IEA,IEA,IBA IEA,IBA,IEA,IBA TAS IEA,IEA,IBA TAS IEA,IBA TAS IEA","PTGER3,OPRM1,TACR1,GLRA2,TAC1,GPR22,CCR7,HTR1B,OR2L2,GPR50,TAS2R43,CARTPT,GPR83,OR2L13,OR2L3,OR2M4,SST,GNAT3,NTS,ADRA1B,GPR62,NPY,OR2L5,HTR1F,OR2AK2,RXFP2,XCL1,OR8S1,GPR55,OR13C5,PRLHR,NPFFR2","PTGER3,OPRM1,TACR1,GLRA2,TAC1,GPR22,CCR7,HTR1B,OR2L2,GPR50,TAS2R43,CARTPT,GPR83,OR2L13,OR2L3,OR2M4,SST,GNAT3,NTS,ADRA1B,GPR62,NPY,OR2L5,HTR1F,OR2AK2,RXFP2,XCL1,OR8S1,GPR55,OR13C5,PRLHR,NPFFR2","ENSG00000050628,ENSG00000112038,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000172209,ENSG00000126353,ENSG00000135312,ENSG00000203663,ENSG00000102195,ENSG00000255374,ENSG00000164326,ENSG00000123901,ENSG00000196071,ENSG00000198128,ENSG00000171180,ENSG00000157005,ENSG00000214415,ENSG00000133636,ENSG00000170214,ENSG00000180929,ENSG00000122585,ENSG00000197454,ENSG00000179097,ENSG00000187080,ENSG00000133105,ENSG00000143184,ENSG00000284723,ENSG00000135898,ENSG00000277556,ENSG00000119973,ENSG00000056291","GO:BP - G protein-coupled receptor signaling pathway"
"query_1",TRUE,4.42752943686607e-05,7234,159,88,0.553459119496855,0.0121647774398673,"GO:0032501","GO:BP","multicellular organismal process",21017,7611,"TAS IEA,ISS IBA,IMP IEP ISS IBA IC IEA,NAS IC IEA,TAS IEA,IEP ISS IEA,IMP ISS IBA NAS,IEP ISS IBA IEA,IBA,IEA,IBA IEA,IEA,IEA,IEA,TAS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,ISS IC IEA,IEA,IBA IEA,IEA,IBA TAS,IEA,IEA,IEA,IBA,ISS IEA,IMP ISS IBA TAS IEA,IBA IEA,IDA IBA IEA,TAS IEA,IDA IMP IBA,IDA IEA,IDA,IDA IMP ISS TAS IEA,IEA,IBA IEA,IBA IEA,ISS IEA,IEA,IDA,IDA ISS,IEA,TAS,IMP,IMP IBA IEA,IDA,IEA,IBA NAS IEA,IDA IMP ISS,TAS,IBA IEA,IEA,IBA IEA,ISS,IBA,IBA,IEA,IEA,IEA,IEP ISS IBA TAS IEA,IDA TAS IEA,IBA IEA,ISS IEA,IDA IBA IEA,IBA IEA,ISS IEA,IDA IMP ISS IBA TAS NAS IEA,IEA,IEA,IBA NAS,IDA ISS,IEA,IDA IGI IBA TAS IEA,IBA,IDA,IMP ISS IEA,IEA,IDA IMP ISS ISO NAS IEA,IBA IEA,TAS IEA,ISS IEA","NNAT,PTGER3,PHOX2B,PHOX2A,GUCY1A1,TFAP2B,OPRM1,EPHA5,IRX6,TACR1,KLHL1,DDC,GLRA2,TLX3,TAC1,CBS,SLC5A7,CHRNA2,AGBL4,SIAH3,PCSK1,SLC6A2,TNFRSF17,CCR7,HTR1B,OR2L2,GLRA3,CNTN6,PCDHA9,HS3ST6,TCHH,HES3,THEMIS,CNTN4,OTP,TAS2R43,PCDHA11,HLA-DRB1,SEMG2,TPO,CARTPT,GPR83,OR2L13,OR2L3,GRIN3A,CHL1,RAET1G,ESRRB,MSH4,CAPN9,RARRES2,VTCN1,AKR1D1,CSMD1,OR2M4,POU5F1,SST,GNAT3,NTS,ADRA1B,ZP3,HLA-DOB,RTP1,VSX2,DLX6-AS1,PCDHGA7,NPY,CMA1,OR2L5,CBLN4,AMTN,DPPA4,PLAC8,WNT1,OR2AK2,RXFP2,PRL,XCL1,OR8S1,CD28,IFNE,GPR55,FOXE3,C1QL2,PYCARD,OR13C5,PRLHR,CYP26C1","NNAT,PTGER3,PHOX2B,PHOX2A,GUCY1A1,TFAP2B,OPRM1,EPHA5,IRX6,TACR1,KLHL1,DDC,GLRA2,TLX3,TAC1,CBS,SLC5A7,CHRNA2,AGBL4,SIAH3,PCSK1,SLC6A2,TNFRSF17,CCR7,HTR1B,OR2L2,GLRA3,CNTN6,PCDHA9,HS3ST6,TCHH,HES3,THEMIS,CNTN4,OTP,TAS2R43,PCDHA11,HLA-DRB1,SEMG2,TPO,CARTPT,GPR83,OR2L13,OR2L3,GRIN3A,CHL1,RAET1G,ESRRB,MSH4,CAPN9,RARRES2,VTCN1,AKR1D1,CSMD1,OR2M4,POU5F1,SST,GNAT3,NTS,ADRA1B,ZP3,HLA-DOB,RTP1,VSX2,DLX6-AS1,PCDHGA7,NPY,CMA1,OR2L5,CBLN4,AMTN,DPPA4,PLAC8,WNT1,OR2AK2,RXFP2,PRL,XCL1,OR8S1,CD28,IFNE,GPR55,FOXE3,C1QL2,PYCARD,OR13C5,PRLHR,CYP26C1","ENSG00000053438,ENSG00000050628,ENSG00000109132,ENSG00000165462,ENSG00000164116,ENSG00000008196,ENSG00000112038,ENSG00000145242,ENSG00000159387,ENSG00000115353,ENSG00000150361,ENSG00000132437,ENSG00000101958,ENSG00000164438,ENSG00000006128,ENSG00000160200,ENSG00000115665,ENSG00000120903,ENSG00000186094,ENSG00000215475,ENSG00000175426,ENSG00000103546,ENSG00000048462,ENSG00000126353,ENSG00000135312,ENSG00000203663,ENSG00000145451,ENSG00000134115,ENSG00000204961,ENSG00000162040,ENSG00000159450,ENSG00000173673,ENSG00000172673,ENSG00000144619,ENSG00000171540,ENSG00000255374,ENSG00000249158,ENSG00000196126,ENSG00000124157,ENSG00000115705,ENSG00000164326,ENSG00000123901,ENSG00000196071,ENSG00000198128,ENSG00000198785,ENSG00000134121,ENSG00000203722,ENSG00000119715,ENSG00000057468,ENSG00000135773,ENSG00000106538,ENSG00000134258,ENSG00000122787,ENSG00000183117,ENSG00000171180,ENSG00000204531,ENSG00000157005,ENSG00000214415,ENSG00000133636,ENSG00000170214,ENSG00000188372,ENSG00000241106,ENSG00000175077,ENSG00000119614,ENSG00000231764,ENSG00000253537,ENSG00000122585,ENSG00000092009,ENSG00000197454,ENSG00000054803,ENSG00000187689,ENSG00000121570,ENSG00000145287,ENSG00000125084,ENSG00000187080,ENSG00000133105,ENSG00000172179,ENSG00000143184,ENSG00000284723,ENSG00000178562,ENSG00000184995,ENSG00000135898,ENSG00000186790,ENSG00000144119,ENSG00000103490,ENSG00000277556,ENSG00000119973,ENSG00000187553","GO:BP - multicellular organismal process"
"query_1",TRUE,4.42752943686607e-05,1316,159,30,0.188679245283019,0.0227963525835866,"GO:0007267","GO:BP","cell-cell signaling",21017,2795,"IBA,IEA,IMP,IMP ISS,ISS,IEA,IEA,TAS IEA,IBA IEA,IBA IEA,TAS,IBA TAS,IEA,ISS IBA TAS IEA,IEA,TAS,TAS,IMP,TAS IEA,IBA IEA,IDA,TAS,ISS IBA TAS,IDA IBA,TAS IEA,IBA TAS,ISS IEA,IEA,IDA,IEA","NNAT,GUCY1A1,TFAP2B,OPRM1,EPHA5,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,PCSK1,SLC6A2,AKAP7,HTR1B,GLRA3,GPR50,CNTN4,HLA-DRB1,CARTPT,GRIN3A,POU5F1,SST,ADRA1B,MAFA,NPY,HTR1F,WNT1,MIR320D1,XCL1,SH2D1A","NNAT,GUCY1A1,TFAP2B,OPRM1,EPHA5,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,PCSK1,SLC6A2,AKAP7,HTR1B,GLRA3,GPR50,CNTN4,HLA-DRB1,CARTPT,GRIN3A,POU5F1,SST,ADRA1B,MAFA,NPY,HTR1F,WNT1,MIR320D1,XCL1,SH2D1A","ENSG00000053438,ENSG00000164116,ENSG00000008196,ENSG00000112038,ENSG00000145242,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000115665,ENSG00000120903,ENSG00000175426,ENSG00000103546,ENSG00000118507,ENSG00000135312,ENSG00000145451,ENSG00000102195,ENSG00000144619,ENSG00000196126,ENSG00000164326,ENSG00000198785,ENSG00000204531,ENSG00000157005,ENSG00000170214,ENSG00000182759,ENSG00000122585,ENSG00000179097,ENSG00000125084,ENSG00000211491,ENSG00000143184,ENSG00000183918","GO:BP - cell-cell signaling"
"query_1",TRUE,0.000104525501563419,110,159,9,0.0566037735849057,0.0818181818181818,"GO:0007218","GO:BP","neuropeptide signaling pathway",21017,2772,"IBA IEA,IDA IBA,IEA,IEA,ISS IBA IEA,IDA IGI,IBA IEA,IEA,IEA","OPRM1,GLRA2,TAC1,CARTPT,GPR83,NTS,NPY,PRLHR,NPFFR2","OPRM1,GLRA2,TAC1,CARTPT,GPR83,NTS,NPY,PRLHR,NPFFR2","ENSG00000112038,ENSG00000101958,ENSG00000006128,ENSG00000164326,ENSG00000123901,ENSG00000133636,ENSG00000122585,ENSG00000119973,ENSG00000056291","GO:BP - neuropeptide signaling pathway"
"query_1",TRUE,0.000180242993178154,3867,159,56,0.352201257861635,0.0144815102146367,"GO:0042221","GO:BP","response to chemical",21017,10049,"IEA,IEA,IMP ISS IEA,ISS,IEA,IEA,IDA IBA,IDA IGI,IEA,IDA,IBA IEA,IEA,IBA,IEA,IDA,IEA,IDA ISS IBA IC IEA,IDA IEA,IBA IEA,IBA,IDA IBA,IMP,IEA,ISS IBA TAS IEA,IEA,IBA IEA,IBA,IDA,IDA,IBA IEA,IBA,IDA IMP ISS IBA IEA,IDA IBA,IBA IEA,TAS IEA,IBA IEA,IDA IBA,IBA,ISS,IEA,IBA IEA,IEA,IEA,TAS IEA,TAS,IEA,IBA,IDA,IDA ISS IBA TAS IEA,IEA,IBA NAS,IDA IMP NAS,IBA IEA,IBA,IBA,NAS","PHOX2B,TFAP2B,OPRM1,EPHA5,TACR1,DDC,GLRA2,CHCHD2,CBS,PTPRT,CHRNA2,PCSK1,GPR22,SLC6A2,AKAP7,TNFRSF17,CCR7,HTR1B,OR2L2,GLRA3,TAS2R43,HLA-DRB1,TPO,CARTPT,GPR83,OR2L13,OR2L3,GRIN3A,PRAME,ESRRB,CYP2A7,RARRES2,TNIP3,OR2M4,SST,GNAT3,MAFA,RTP1,NPY,CMA1,OR2L5,WNT1,OR2AK2,GLYAT,ACSM2B,MIR320D1,RXFP2,PRL,XCL1,OR8S1,IFNE,PYCARD,GSTA1,OR13C5,NPFFR2,CYP26C1","PHOX2B,TFAP2B,OPRM1,EPHA5,TACR1,DDC,GLRA2,CHCHD2,CBS,PTPRT,CHRNA2,PCSK1,GPR22,SLC6A2,AKAP7,TNFRSF17,CCR7,HTR1B,OR2L2,GLRA3,TAS2R43,HLA-DRB1,TPO,CARTPT,GPR83,OR2L13,OR2L3,GRIN3A,PRAME,ESRRB,CYP2A7,RARRES2,TNIP3,OR2M4,SST,GNAT3,MAFA,RTP1,NPY,CMA1,OR2L5,WNT1,OR2AK2,GLYAT,ACSM2B,MIR320D1,RXFP2,PRL,XCL1,OR8S1,IFNE,PYCARD,GSTA1,OR13C5,NPFFR2,CYP26C1","ENSG00000109132,ENSG00000008196,ENSG00000112038,ENSG00000145242,ENSG00000115353,ENSG00000132437,ENSG00000101958,ENSG00000106153,ENSG00000160200,ENSG00000196090,ENSG00000120903,ENSG00000175426,ENSG00000172209,ENSG00000103546,ENSG00000118507,ENSG00000048462,ENSG00000126353,ENSG00000135312,ENSG00000203663,ENSG00000145451,ENSG00000255374,ENSG00000196126,ENSG00000115705,ENSG00000164326,ENSG00000123901,ENSG00000196071,ENSG00000198128,ENSG00000198785,ENSG00000185686,ENSG00000119715,ENSG00000198077,ENSG00000106538,ENSG00000050730,ENSG00000171180,ENSG00000157005,ENSG00000214415,ENSG00000182759,ENSG00000175077,ENSG00000122585,ENSG00000092009,ENSG00000197454,ENSG00000125084,ENSG00000187080,ENSG00000149124,ENSG00000066813,ENSG00000211491,ENSG00000133105,ENSG00000172179,ENSG00000143184,ENSG00000284723,ENSG00000184995,ENSG00000103490,ENSG00000243955,ENSG00000277556,ENSG00000056291,ENSG00000187553","GO:BP - response to chemical"
"query_1",TRUE,0.0123837339504387,783,159,18,0.113207547169811,0.0229885057471264,"GO:0099536","GO:BP","synaptic signaling",21017,19115,"IEA,ISS,IEA,IEA,IEA,IBA IEA,IBA IEA,IBA TAS,IEA,IBA TAS IEA,IEA,TAS,IEA,IBA IEA,TAS,TAS IEA,IBA TAS,IEA","GUCY1A1,OPRM1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","GUCY1A1,OPRM1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","ENSG00000164116,ENSG00000112038,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000115665,ENSG00000120903,ENSG00000103546,ENSG00000118507,ENSG00000135312,ENSG00000145451,ENSG00000144619,ENSG00000164326,ENSG00000198785,ENSG00000157005,ENSG00000122585,ENSG00000179097,ENSG00000211491","GO:BP - synaptic signaling"
"query_1",TRUE,0.0173221039679597,753,159,17,0.106918238993711,0.0225763612217795,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",21017,18949,"IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IBA TAS,IEA,IBA TAS IEA,IEA,TAS,IEA,IBA IEA,TAS,TAS,IBA TAS,IEA","GUCY1A1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","GUCY1A1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","ENSG00000164116,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000115665,ENSG00000120903,ENSG00000103546,ENSG00000118507,ENSG00000135312,ENSG00000145451,ENSG00000144619,ENSG00000164326,ENSG00000198785,ENSG00000157005,ENSG00000122585,ENSG00000179097,ENSG00000211491","GO:BP - anterograde trans-synaptic signaling"
"query_1",TRUE,0.0173221039679597,753,159,17,0.106918238993711,0.0225763612217795,"GO:0007268","GO:BP","chemical synaptic transmission",21017,2796,"IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IBA TAS,IEA,IBA TAS IEA,IEA,TAS,IEA,IBA IEA,TAS,TAS,IBA TAS,IEA","GUCY1A1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","GUCY1A1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","ENSG00000164116,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000115665,ENSG00000120903,ENSG00000103546,ENSG00000118507,ENSG00000135312,ENSG00000145451,ENSG00000144619,ENSG00000164326,ENSG00000198785,ENSG00000157005,ENSG00000122585,ENSG00000179097,ENSG00000211491","GO:BP - chemical synaptic transmission"
"query_1",TRUE,0.0173221039679597,6496,159,73,0.459119496855346,0.011237684729064,"GO:0007154","GO:BP","cell communication",21017,2718,"IBA,IBA TAS IEA,IDA IBA TAS IEA,IMP ISS IEA,IDA IMP ISS IBA TAS IEA,ISS IBA IEA,IDA IMP TAS IEA,IDA IBA IEA,IBA TAS IEA,IEA,IBA IEA,IDA IMP NAS,IDA IBA IEA,TAS,IBA IEA,IBA TAS,IBA TAS IEA,TAS IEA,IBA TAS IC IEA,IDA ISS IBA TAS IEA,IEA,IEA,IEA,IBA TAS IEA,ISS IBA IEA,TAS,IC IEA,IDA IMP NAS,IDA ISS TAS IEA,ISS IBA IEA,IEA,IEA,IBA IEA,TAS,IDA,IBA IEA,IDA IBA,IDA,IBA,IMP,IDA,IEA,IDA,TAS IEA,IBA IEA,IDA IGI NAS IEA,IDA ISS IBA TAS IEA,IDA IBA,IEA,IDA IBA IEA,IBA TAS IEA,IEA,IMP IBA TAS IEA,IDA IBA TAS IEA,IDA IMP ISS IBA TAS NAS IEA,IEA,IEA,IEA,IBA IEA,IDA IBA TAS IEA,IDA IBA IC,IEA,IBA TAS IEA,IBA NAS IEA,IDA IBA TAS IEA,IDA IPI IMP NAS IEA,IEA,IEA,IDA IEA,IBA TAS IEA,IDA,IBA TAS IEA,NAS","NNAT,PTGER3,GUCY1A1,TFAP2B,OPRM1,EPHA5,TACR1,GLRA2,TAC1,CBS,SLC5A7,PTPRT,CHRNA2,PCSK1,GPR22,SLC6A2,AKAP7,TNFRSF17,CCR7,HTR1B,OR2L2,GLRA3,CNTN6,GPR50,THEMIS,CNTN4,TAS2R43,HLA-DRB1,CARTPT,GPR83,OR2L13,OR2L3,GRIN3A,CHL1,PRAME,ESRRB,BCL2L14,RARRES2,VTCN1,TSPYL5,TNIP3,OR2M4,POU5F1,SST,GNAT3,NTS,ADRA1B,MAFA,ZP3,GPR62,NPY,OR2L5,HTR1F,TRAT1,WNT1,OR2AK2,FREM3,MIR320D1,RXFP2,PRL,XCL1,OR8S1,CD28,IFNE,GPR55,PYCARD,ARHGAP36,OR13C5,SH2D1A,PRLHR,TRIM31,NPFFR2,CYP26C1","NNAT,PTGER3,GUCY1A1,TFAP2B,OPRM1,EPHA5,TACR1,GLRA2,TAC1,CBS,SLC5A7,PTPRT,CHRNA2,PCSK1,GPR22,SLC6A2,AKAP7,TNFRSF17,CCR7,HTR1B,OR2L2,GLRA3,CNTN6,GPR50,THEMIS,CNTN4,TAS2R43,HLA-DRB1,CARTPT,GPR83,OR2L13,OR2L3,GRIN3A,CHL1,PRAME,ESRRB,BCL2L14,RARRES2,VTCN1,TSPYL5,TNIP3,OR2M4,POU5F1,SST,GNAT3,NTS,ADRA1B,MAFA,ZP3,GPR62,NPY,OR2L5,HTR1F,TRAT1,WNT1,OR2AK2,FREM3,MIR320D1,RXFP2,PRL,XCL1,OR8S1,CD28,IFNE,GPR55,PYCARD,ARHGAP36,OR13C5,SH2D1A,PRLHR,TRIM31,NPFFR2,CYP26C1","ENSG00000053438,ENSG00000050628,ENSG00000164116,ENSG00000008196,ENSG00000112038,ENSG00000145242,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000160200,ENSG00000115665,ENSG00000196090,ENSG00000120903,ENSG00000175426,ENSG00000172209,ENSG00000103546,ENSG00000118507,ENSG00000048462,ENSG00000126353,ENSG00000135312,ENSG00000203663,ENSG00000145451,ENSG00000134115,ENSG00000102195,ENSG00000172673,ENSG00000144619,ENSG00000255374,ENSG00000196126,ENSG00000164326,ENSG00000123901,ENSG00000196071,ENSG00000198128,ENSG00000198785,ENSG00000134121,ENSG00000185686,ENSG00000119715,ENSG00000121380,ENSG00000106538,ENSG00000134258,ENSG00000180543,ENSG00000050730,ENSG00000171180,ENSG00000204531,ENSG00000157005,ENSG00000214415,ENSG00000133636,ENSG00000170214,ENSG00000182759,ENSG00000188372,ENSG00000180929,ENSG00000122585,ENSG00000197454,ENSG00000179097,ENSG00000163519,ENSG00000125084,ENSG00000187080,ENSG00000183090,ENSG00000211491,ENSG00000133105,ENSG00000172179,ENSG00000143184,ENSG00000284723,ENSG00000178562,ENSG00000184995,ENSG00000135898,ENSG00000103490,ENSG00000147256,ENSG00000277556,ENSG00000183918,ENSG00000119973,ENSG00000204616,ENSG00000056291,ENSG00000187553","GO:BP - cell communication"
"query_1",TRUE,0.0173221039679597,759,159,17,0.106918238993711,0.0223978919631094,"GO:0099537","GO:BP","trans-synaptic signaling",21017,19116,"IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IBA TAS,IEA,IBA TAS IEA,IEA,TAS,IEA,IBA IEA,TAS,TAS,IBA TAS,IEA","GUCY1A1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","GUCY1A1,TACR1,GLRA2,TAC1,SLC5A7,CHRNA2,SLC6A2,AKAP7,HTR1B,GLRA3,CNTN4,CARTPT,GRIN3A,SST,NPY,HTR1F,MIR320D1","ENSG00000164116,ENSG00000115353,ENSG00000101958,ENSG00000006128,ENSG00000115665,ENSG00000120903,ENSG00000103546,ENSG00000118507,ENSG00000135312,ENSG00000145451,ENSG00000144619,ENSG00000164326,ENSG00000198785,ENSG00000157005,ENSG00000122585,ENSG00000179097,ENSG00000211491","GO:BP - trans-synaptic signaling"
