"pathway","beta_FXS","beta_Drug_BAY","beta_Drug_BPN","beta_Drug_BP","beta_FXS_Drug_BAY","beta_FXS_Drug_BPN","beta_FXS_Drug_BP","p_FXS","p_Drug_BAY","p_Drug_BPN","p_Drug_BP","p_FXS_Drug_BAY","p_FXS_Drug_BPN","p_FXS_Drug_BP","combined_p_BAY","combined_p_BPN","combined_p_BP"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.144109262510233,0.0796178821779348,0.18345523517145,-0.260960566065934,-0.0137227185788926,-0.417763372426578,-0.0809881297592592,0.311816230424726,0.434649365019068,0.0749390581538723,0.0124105594290969,0.92395200389044,0.00494841191962627,0.573682694023583,0.122860924375308,0.507535753673806,0.146084673531561
"GOBP_REPRODUCTION",-0.0623053396658872,0.0237301633977385,0.0626961633159625,-0.0158631722645847,-0.0504269955810214,-0.131648275996409,-0.045960412898368,0.335283922649294,0.404236525823227,0.0302550334491685,0.57652618607213,0.211756219678524,0.0016539070014827,0.254538364183504,0.133417445834932,0.0268788819012444,0.0363428597716692
"GOBP_SINGLE_STRAND_BREAK_REPAIR",0.213481083082398,-0.178493465922389,0.00497417283805343,-0.0713060075972393,0.285351610437489,-0.202663666005514,-0.335874312928292,0.226009686971295,0.187527206213945,0.97048778020065,0.596297006130112,0.137054407842439,0.28876296013922,0.0811643826159966,0.0571441758301332,0.925290241114333,0.250059256071379
"GOBP_REGULATION_OF_DNA_RECOMBINATION",0.222350324178059,-0.0301765521156338,0.0646172759012328,-0.163406333230435,0.0661174335511051,-0.320298443806257,-0.0877107364138519,0.0288688206151835,0.674378644393133,0.369564544670276,0.0257825933101153,0.515528539612039,0.00240873786156503,0.388983034597604,0.00443567358810628,0.713484854361844,0.751318902487876
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",-0.221335367089325,-0.219469899176069,-0.0647228497219807,-0.329234147953265,0.358056326186837,-0.00166440443974516,0.0662171980688226,0.144038974635986,0.120457186808638,0.64393520381021,0.0213816262389648,0.0741757393077341,0.993288124207598,0.737990098510637,0.574496928471993,0.0509190531465143,0.00101524087983338
"GOBP_MITOTIC_SPINDLE_ELONGATION",0.689179612516627,0.342743132568809,0.057301043917011,-0.0657204189114996,-0.443249569896005,-0.405838640651161,-0.317272577313653,0.0457816463691082,0.00298808412387616,0.606746324324096,0.555092540332308,0.00631710395424427,0.0119836053481052,0.0472270237005034,0.0263949408359205,0.198851736179284,0.248143100336161
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.342528829186152,-0.189626466885933,0.19163677317657,-0.353059942829953,0.621016872462344,-0.0694607506226604,0.238974848264114,0.0207036489329372,0.121289764567155,0.117471166835397,0.00483911741461202,0.000570061514635101,0.685395999534932,0.166502400076974,0.515488111284173,0.1068295252096,0.000832851679448462
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.303742506512422,-0.283080619232864,0.145416632262012,-0.448126844001349,0.727642711693452,0.108097715733288,0.364508391959207,0.244237118450295,0.0330043490926494,0.266715129898027,0.00101667986862685,0.000196955219551555,0.557878988391203,0.0514821413913065,0.553391726585801,0.8325738556764,0.103030597496332
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.210028741770228,0.0554325387095952,0.161169610931722,-0.0963831605633883,-0.0122742191763721,-0.205161644691725,-0.0351057998144802,0.176951661325374,0.317280891790234,0.00475975123348958,0.0846292276470245,0.875067827953366,0.0105722807040432,0.65318081906305,0.215022212766697,0.0591046319882866,0.0111637756768141
"GOBP_TRANSITION_METAL_ION_TRANSPORT",-0.282117029708178,0.0296705528154983,0.0154421874985923,-0.105613660174779,0.00845567026566374,-0.0793205030617035,0.0209355179017589,0.0111830409675844,0.565560758306163,0.764668094925804,0.0440702556937363,0.907696212771015,0.279088545620961,0.774122532412469,0.00392925304922925,4.32485664114522e-05,1.45600677192565e-05
"GOBP_UREA_CYCLE",-0.21594093746989,-0.0613467016485427,0.139692095240305,-0.0544232826500485,0.0342686278661037,-0.119492545847391,0.145705729324078,0.334514572910845,0.500178207466102,0.127703518613508,0.549598071368067,0.789671112131195,0.353914700606468,0.259143759301442,0.233926604485456,0.337690007358466,0.541480240536956
"GOBP_CITRULLINE_METABOLIC_PROCESS",-0.46927175365355,-0.12987936658409,0.135788137381637,0.0467600396679459,0.0365540827986338,-0.259924897678177,-0.208381474774686,0.193446954702919,0.0880412204519119,0.074840843909219,0.534789640761384,0.731224560600639,0.0170512017692308,0.0537770265884162,0.0657721857758703,0.0522895777206205,0.0390807531909953
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.408050118335331,-0.36113837747119,0.00808615039881506,-0.388576858223665,0.569168892786459,-0.100497365045551,0.096703778012483,0.0275687213771536,0.00569040536073049,0.949008622717252,0.00306728078172399,0.00222113689419316,0.574603082411199,0.589093177394394,0.221333360508974,0.00221339319745958,1.87248895681866e-05
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.171991643475372,-0.267693866264864,-0.0730734559112658,-0.300336477514264,0.262606538005367,-0.212202373763305,-0.112936895812156,0.339614329592176,0.0191218183809479,0.513455995999275,0.00895258471665538,0.100033122880098,0.182133865540046,0.475293118748974,0.29771095556258,0.00716515321767155,0.000577880541755589
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS",-0.409578774988997,-0.38454347901188,0.0380619650600209,-0.524437603741467,0.675259109701923,-0.083509279740355,0.229619741304103,0.0367653770571187,0.00949718596432367,0.791736450382629,0.000543466371068993,0.00150119717798596,0.682177754144129,0.262366794823232,0.504105069748332,0.0105465131413724,7.52927633832002e-05
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.379882408799971,0.0948855855344378,0.169343405011222,-0.110847147023208,-0.00567713169442446,-0.428078267429271,-0.222070936907965,0.0356778599679589,0.341140456137664,0.0919700973476013,0.266777289503545,0.967753426158288,0.0032973382275666,0.117553822125987,0.00205236331208924,0.425973984513778,0.757612253203398
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",0.366610606971786,0.0861180781346883,0.0704183612402549,-0.0982878665651287,-0.035435606405372,-0.321106476364841,-0.20453627318899,0.0132776996088036,0.320451282756939,0.415921235561919,0.25741484813178,0.771682557693865,0.010512374883436,0.097671114586294,0.000620096199523101,0.341703457379351,0.600848084398606
"GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING",0.526492030257821,0.160519060201121,0.0453951481185712,-0.00376960410045402,-0.214511229441454,-0.316242158543729,-0.20354077970346,0.019009025970734,0.103170023713049,0.641476431043052,0.969128587312856,0.123128128851303,0.0246181899980934,0.143094310965183,0.0061182552294476,0.138017241452595,0.0640480157245453
"GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.40569753299096,-0.0705672204096821,0.0728155123236144,-0.10871656484438,0.0812457068851096,-0.242826265434064,-0.0191632360692515,0.0616711340270537,0.408519034184509,0.393838081350913,0.204666955731329,0.500621489481216,0.0472980257524765,0.87355410781195,0.0179239305121846,0.180268348866388,0.114232273749293
"GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS",0.0210189315076481,0.0471757266087121,0.109379195254408,0.105809404614739,-0.0174731938872851,-0.255711569424848,-0.328973537753311,0.910588091935067,0.51594636854803,0.134994219264458,0.147960557126735,0.864684465140914,0.0149920584475959,0.00205714914038851,0.776060165711903,0.482189691624412,0.256931180591369
"GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS",0.22335619426565,0.0201363453868744,0.044571633147749,0.121447009804728,-0.122588221236445,-0.35170067599164,-0.42601979435784,0.110606832239094,0.833188176319317,0.641318940340538,0.206941306003016,0.36614582696527,0.0113419746297975,0.00243936981749779,0.348030620123988,0.515553419174991,0.528449829301418
"GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS",-0.237914173323956,0.0457487764832475,0.0579133861431551,-0.1590238111764,-0.0953893042589601,-0.0729125510150206,-0.140759610856271,0.243688646019066,0.659540012903011,0.577242411962386,0.12906113092852,0.516396249345906,0.619632990285844,0.33928683645476,0.122506692612855,0.174370829645917,0.0038800705710489
