"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"EMILIN1",-0.157055684835841,-0.0743047765052456,-0.612492803520602,-0.955198444072906,-0.426469253699057,-0.410391955650834,-0.439308224656053,-0.436667414792252,-0.483098226382412,2.48465668263414,2.48455027296089,2.29657644972743,0.0223458004940102,0.198503413603907,0.153635841197048,0.273866185433036,0.105555987221109,-0.0381212988519231,-0.324203431570865,-0.44107303907112,-0.524368263783193,-0.509827497168449,-0.411370334749118,-0.541668752338508,-0.462304391386445,-0.313319158394879,-0.4584476818419
"CYP7A1",-0.174543959162333,0.0639152526513174,-0.174543959162333,-0.0274744541208731,-0.0304833875257708,0.224929406997131,0.149735113856167,-0.174543959162333,-0.174543959162333,-0.0405797368548111,0.098396964005163,0.217543163695682,0.07737521225717,0.0219218791524369,0.0270758812456853,0.0361244998550942,0.0370374198180476,0.154303212204104,0.0233911284489858,-0.174543959162333,-0.174543959162333,-0.174543959162333,0.0764009109298902,0.109563651158016,-0.0330775198972217,-0.035404270933002,0.0711133871930736
"RAB7A",0.020098540905364,-0.0598643601330586,-0.0468010444278448,-0.000154722968426668,0.032677628680263,0.056293142673761,-0.062497109843946,-0.0629981535120407,-0.059179396905737,0.0576216146184656,0.0875489965582581,0.0242288375832498,0.0153030609769242,-0.0612031933184838,0.0164244823912014,0.247592472246801,0.329817718141914,0.251797639811786,-0.156904461597993,-0.154902267393966,-0.0759363732608787,-0.0406588071444762,-0.0386594953630333,0.0209160212755197,-0.0958252984048222,-0.135778985386747,-0.108956486202098
"SNX3",-0.128009843422545,-0.0868438550899988,-0.131377062262835,-0.0632231585718088,-0.0714796826713151,0.158587932777085,-0.0498342723621725,-0.239219149706448,-0.165069975983277,0.352366000665501,0.314659118881407,0.325120901179877,0.248171734784352,-0.00121401311974623,0.128683224517312,0.351013806146858,0.343148243101723,0.309579669344389,-0.271008283561683,-0.232623215319473,-0.185771505168333,-0.047683597582818,-0.0482208625621148,-0.0854501856489716,-0.25296880281202,-0.209016285435965,-0.262316880117032
"CST3",-0.329181389401494,-0.245707295460798,-0.325383068228605,0.0800089562675463,0.153305869751371,0.372333175332248,-0.0526432013220841,-0.017703122972561,-0.225283241081577,0.229511528152354,0.243576880114855,0.261967435782243,0.247239896060009,0.0416336459136115,0.252792469486835,0.248516986906099,0.233234420736522,0.0668096052471228,-0.300220528840736,-0.497641372693922,-0.240218246288414,0.0363614404737724,0.279092335982941,0.237477121881211,-0.441233091908481,-0.224036197790353,-0.0846110120997707
"STXBP3",-0.588768844553147,-0.507743993557687,-0.543310074859754,0.328160928850197,0.247725992077761,0.273254552687703,-0.0134805229252262,0.0938310081722928,0.0307948394631037,0.0575808935069215,-0.0274644411948213,0.0469112064383008,0.192110556133395,0.217974393681832,0.261836189622567,0.441761376697935,0.441955357528297,0.569290964707989,-0.434675033586819,-0.391106118163966,-0.446504215668087,0.121581809583594,0.0755090455899676,0.17671751044451,-0.201397452495698,-0.194348902842671,-0.228197025338499
"MIR218-1",-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,0.108170099570346,-0.0370960182195548,0.100029198543928,0.0968682040879676,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,0.112581585496965,0.110223473773677,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,0.106139059893038,0.107908743025186,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548,-0.0370960182195548
"NOTCH1",-0.389165445115788,-0.405852708365561,-0.610236034554484,0.0220335648770398,0.212164119168314,0.275709032590575,0.249087356820466,0.255138404059888,0.142995945561177,-0.331014461294217,-0.344807859699561,-0.396301443242843,0.17921675256858,0.217718532418235,0.278342362786537,0.611311209968873,0.672223725606365,0.667739270398792,-0.320034802923917,-0.712815608647263,-0.466429836355541,-0.24457837567039,-0.0304780541362017,-0.0982488165339319,0.14227526255261,0.124734122308693,0.299273784853606
"PEX26",-0.00796871718061887,0.000342119337748414,0.04354361148647,0.063516898780037,0.131215238515896,0.111444435643291,-0.0278857211034715,0.0284354195154854,0.0552397012301427,-0.330300049347173,-0.247376385759345,-0.272280397720865,-0.0993409903861835,-0.0419585626094872,-0.0470045476011425,0.187124051859056,0.222295669990975,0.198913614977016,-0.00322056720748165,0.0941328648814075,-0.0248918967470111,0.0474153803365844,0.0643632932406799,-0.0120923414839123,-0.092615557721377,0.0112687050004414,-0.0523152699271829
"NPPC",0.317603046157057,-0.0650250472750162,0.0902758331576088,-0.292569318991347,0.00578298347065065,0.117127391794934,0.169861625550791,-0.0121034620878593,0.0661523805568986,-0.361323389288924,-0.419841768004701,-0.269646756397244,-0.0425259726645812,-0.0537970536723567,-0.140994546343032,0.490770887129504,0.569155940896287,0.569375463897103,0.205601976115918,-0.168490837270116,0.21523772646627,-0.371842465248186,-0.251912940053551,-0.0477825430277665,-0.0733306151804349,-0.138547450163489,-0.107211089524405
