"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"YWHAE",-0.055349327750708,-0.00727775212032178,0.0125692369521353,0.130089320206213,0.0326457925824482,0.0833247646103263,0.0503459013839169,-0.0318689827699004,-0.0107452514018256,-0.178077763878038,-0.16707093594535,-0.153448167711623,0.165823899453915,0.111580715512357,0.0478989743237523,0.0192990916630063,-0.0332187810421605,-0.0161016137506351,-0.0735987164495597,-0.0410968119606299,0.0207242286103408,0.105720080679404,0.00983050177423195,0.0627849071842537,-0.0223939894471794,-0.0487721082609234,-0.0136172124473948
"TRPC4",-0.250833243365811,-0.0626522644766965,-0.217779576612516,0.44585541280053,0.393968174147332,0.457764395392458,-0.027639548336964,-0.127714973992655,0.0113408445775729,-0.348037572088227,-0.19060121224002,-0.198844804874041,-0.0351839204574098,0.129386877187212,0.113323851774959,-0.694923368311366,-0.635814883593872,-0.576426900398207,-0.113995161510179,0.0174311841566155,-0.225603293107724,0.43770596551027,0.44561849775719,0.563362333801349,0.27957695719434,0.278762239938487,0.131953989127419
"GRM1",-0.599007972975979,-0.698809656857813,-0.789745692900489,1.27607774727919,1.25175403704068,1.10397680415368,-0.256839564257747,-0.215729753917444,-0.387934276737663,-0.304829997907103,-0.270892065353905,-0.247666136145739,0.251405578627637,0.456857842949221,0.477070001839392,-0.273863426270657,-0.279592657162018,-0.160248765659293,-0.84830188979562,-0.65626229595294,-0.775539285183234,0.654993482538154,0.836950047443338,0.79434359527756,-0.155966498849622,-0.0337896544473075,-0.148409546774321
"P2RY1",-0.32960423218487,-0.373404607654786,-0.339969298754358,0.21230560667478,0.274285547072735,0.279314275645095,0.164732541537544,0.193392165711723,0.151714351810558,-0.221556953289152,-0.30191477088001,-0.408577037262463,0.120641585148755,0.264754174268754,0.35954686177568,-0.257976916591,-0.172366831959206,-0.287106219850614,-0.215712691992387,-0.0936641213130027,-0.136491449189235,0.346988226716496,0.327733800196043,0.394074804329998,-0.0413873328860621,0.051891515526,0.0383570073930244
"WBP2NL",0.101149619230521,-0.106789263372313,0.0361864894967061,0.170157894630829,-0.244568161385921,0.154905204773543,0.0455974982161882,0.0321051965232018,-0.0507166775548935,-0.110603939078398,-0.107945142267945,0.147518961472095,-0.038790077324216,0.095197912864089,0.040334274127102,0.0133327155240046,0.0895242432176788,-0.036317255840145,-0.104552077697774,0.112319590638197,-0.244568161385921,0.0751918649401286,-0.0395865946152245,0.0395394489344287,-0.103101722120809,0.0333889730853318,0.00108918496948629
"FZD9",0.0552300503674221,0.0663935884200342,-0.190001688712504,0.0462387832175795,-0.168740898073938,0.240780040843349,0.0244382866969692,-0.0676241108683548,-0.131728458664797,0.0290499394141683,0.184199133543318,0.0605056275864664,-0.0186903604026778,-0.0379422643140543,-0.135469907407474,0.231964550156227,0.21438068948415,0.108024473921333,0.34034941934945,-0.0935221365465342,-0.075893772419577,-0.195644264838929,-0.110153473692016,-0.308232361978386,-0.228384813305246,0.0537977473020606,0.106676180921974
"WNT5A",-0.224381474113313,-0.238598267262759,-0.29390626358653,0.172238861171726,0.164675271385986,0.0790943790267562,-0.450245453770764,-0.507337818351784,-0.386125594340276,0.585987786505971,0.487912897639733,0.498347190597018,0.233859567988834,0.334828527518855,0.400234285878064,-0.0843480044109288,-0.305120864687472,-0.105568552833159,-0.239349386577739,-0.225165517740276,-0.309565984101194,0.313303409238726,0.443174127514066,0.499391631366493,-0.253917773029055,-0.212102114856648,-0.377314866170371
"ADCY8",-0.1330341039102,-0.126238346086412,-0.251324982506882,-0.112644720381718,-0.225015022246419,-0.0873543556433507,-0.40059685549719,-0.296197129960156,-0.17233019631772,0.341042907686406,0.317977962387456,0.478266348125743,0.440633284146573,0.451098913940701,0.44752147342702,-0.103159557364501,-0.158138332002409,-0.175256366567806,-0.137799849285761,-0.172198256229438,-0.225686820475952,0.181987049830212,0.214637490170254,0.278976928528103,-0.0893169570982089,-0.229049830088993,-0.0568006765793871
"ATP2B4",-0.139571119480959,-0.224022769977564,-0.21834213381374,0.0952550790763951,0.189148414872951,-0.00154340779460505,-0.469000038519814,-0.4137426251802,-0.415815413856301,0.3479616141286,0.31223856020314,0.285784479451783,-0.0131079923610233,0.120570615505713,0.205858955770511,0.0617421783599692,0.0983303024092201,0.0752586593101157,-0.0756543019325093,-0.045615329740162,-0.327798651807859,0.117718763420953,0.203560295269684,0.129714412204269,0.0141702106277375,0.0339296940195393,0.0529715498342309
"PTN",-0.775285920972504,-0.686834725231751,-0.645951569424792,0.725361268602374,0.663972398495096,0.72177323095703,-1.18022227454738,-1.23807695831572,-1.08888334162526,0.695381702176391,0.721727631750387,0.741014686309146,0.675749076103694,0.534409058240314,0.539371562228537,0.85134505367831,0.873238809519592,0.811847974837484,-0.707427529321855,-0.696595740937703,-0.605509512496393,0.580973539332323,0.461581221135052,0.482774122254545,-0.774702791540857,-0.85579899951145,-0.825231971694583
"CAV1",-0.163548871951887,-0.314461311730278,-0.254886386831609,0.144443966900544,0.177598740721026,0.292721919708617,-0.130164287029459,0.0867220272875349,-0.21913835276745,0.214417967094216,0.147037434876259,0.0767258186882414,-0.0380811238101684,-0.0817831463810794,0.169547270326574,-0.0776466451077855,0.209037065328388,0.219700189398353,-0.309012774249113,-0.191346694787461,-0.170349798695252,-0.157343641001057,-0.00790328958773845,-0.068630602669896,0.0629986074566231,0.194566898196581,0.188779020617284
"SLC8B1",-0.295431605735466,-0.325677999363238,-0.643800238097279,0.278633515354709,0.0519231008170458,0.217108453414875,0.117571354910011,0.131557934022531,0.0464433229516548,-0.0635382844843058,0.044701067517666,0.0147308834997641,0.239374037807751,0.146121755584529,0.139672549276131,0.191367669801048,0.191496997041583,0.176661211949369,-0.169782754961583,-0.309648484472817,-0.214352593201264,0.0842151208809359,0.167183958494345,0.0675795351409967,-0.052049447486004,-0.126431552404785,-0.105629508258231
"CAV2",-0.394161372271792,-0.502925665615455,-0.355010979911949,0.0529047551793465,-0.0349836247104527,-0.0727901152647972,0.127654701783484,0.0840427062953992,0.208402547574638,-0.0676064617571077,0.0909075087516333,-0.178710756488961,0.360979754859826,0.143631432979954,0.273833150228049,0.304025662575975,0.455624464100556,0.300158065978107,-0.356814257454782,-0.277610588206015,-0.22630671575293,-0.130472222471098,-0.107954292473764,-0.135376607481172,0.0932447437758874,0.279742704896901,0.0655714608805695
"PLN",-0.193976903496922,-0.0862780782957158,-0.0503119631635274,0.0693877855096083,-0.0136894821723024,-0.393895085067536,-0.0105236515337852,-0.255399506438954,-0.0070602544158529,0.122373474948874,0.0965256210270455,0.0653427246911154,0.0413438733985192,-0.0270462083171648,0.284130443601558,0.385540587695218,0.30171238260812,0.0926122308257051,-0.393895085067536,-0.0370073330434177,-0.103012033206768,0.100073169112937,0.0629323580409062,-0.0185082931701492,0.132707672275049,-0.053730255588774,-0.11034819075624
"TMEM64",-0.433403045747907,-0.354480825367526,-0.381749886201261,-0.0392604914223771,-0.15905266202304,0.0121428191474209,-0.000826655159830381,-0.0883255697661269,-0.0913361187412391,0.416417295431273,0.396103770705832,0.442361412366227,-0.0125260703145251,0.0825150346844907,0.0566915771913177,0.346880682374024,0.447893760627489,0.526135060897005,-0.407730257674027,-0.378559904336546,-0.408416893217924,0.14897314767887,0.0524736499889613,0.155921513244856,-0.0272913143223281,-0.0296564590560013,-0.271893570987086
"RYR1",-0.623122610533652,-0.72689541219124,-0.85688000077497,-0.00847942690772463,0.00023973891332929,-0.0604193218504587,-0.13799688434797,-0.0818063239421605,-0.232939821260695,0.748418687687289,0.84648025446476,0.748100745173579,0.0656673500418989,0.0692088657904097,0.0882885184564497,0.380642700476439,0.434214540297299,0.420313555748928,-0.282394802240807,-0.461651478006816,-0.369861390461752,0.00426975548363728,0.308427088791285,0.0897334674425494,-0.111540926021016,-0.191799082399747,-0.0582177878288519
"TPBG",-0.557364094559254,-0.572124297749893,-0.647187643064406,-0.790154656736034,-0.82065002453013,-0.728011155357265,-0.276294077474338,-0.349976222041754,-0.360533965990486,1.18426904782004,1.20960514567241,1.1308436654658,-0.0445955190693041,-0.176840419998008,-0.142143042099731,0.88659491403302,0.80922778195535,0.77623337506086,-0.494558832646874,-0.536023282047124,-0.468756954118659,0.224857137012323,0.260365352816152,0.411237910643454,-0.0166019412750416,0.0359588973364069,0.0526229009424757
"SV2B",-0.502947358705475,-0.493187172741857,-0.332552565006999,-0.398783214867398,-0.553896517645169,-0.359521341124307,-0.569414976545584,-0.434665461395422,-0.519131487947197,1.00445009930637,1.14181564409898,1.12558939004055,0.243181702569464,0.384325998281003,0.45426293811378,0.503470471183883,0.51506275818517,0.548342563460265,-0.542704891938712,-0.324510979450409,-0.414064268560105,0.234777442208449,0.132100593212204,0.195117378745643,-0.401963626514569,-0.181914788591305,-0.453238328371295
"CALCB",-0.131684993943893,-0.338981058529981,-0.0705633299311437,-0.138376686231441,0.0199493762143739,-0.0146137070009988,-0.0605502233685531,0.178877303899565,-0.153674915210952,0.234298916834529,0.19755120979673,0.113485443649351,0.0550097247767853,-0.0743452119884545,-0.267255057183858,0.325263425040896,0.607352583085055,0.309382758216998,-0.233425732556002,-0.204607846203925,-0.327233930591758,-0.0021110225715919,-0.00433353864549968,-0.0336490637866458,0.0146687672913961,-0.0264292358388962,0.0259960447778989
"CALCA",-0.265744794477807,-0.104009106235479,-0.0245077363866351,0.0479549074739571,-0.00617983083361828,-0.144568608187371,-0.195777977755917,-0.114505950152529,-0.0423467065794858,0.175939857079145,0.157458121810898,0.313318440111891,-0.212732888168619,-0.187405577883427,-0.000972558206536966,0.446444436125745,0.348514846476709,0.227682654113168,-0.107393546217016,-0.269780570380432,-0.212514128312097,-0.0234518710012557,0.0728197240422208,-0.0551546126042828,-0.130025412294074,0.164446257016925,0.142492631425879
"GRIA1",0.364055252101759,0.336049598732126,0.220772782070824,0.586599545274463,0.609982691281841,0.460528778745966,-0.418845199882631,-0.366234664607198,-0.4159956373536,-0.370341612131387,-0.427091996309921,-0.388517695608865,0.16863425037578,0.203807098706758,0.228300625318472,-1.18243584098126,-1.11086695087739,-1.10640798321446,0.41454875029847,0.41804669123422,0.374164422246842,0.685577973577395,0.664994137541054,0.596256401947329,-0.206567461454867,-0.14239521599751,-0.196618741034136
"CNR1",0.480725708204993,0.47584616852099,0.468420496017982,0.124426763344973,0.184502030490282,0.0681316192810684,-0.408175206038489,-0.343672919927741,-0.339498596901986,-0.149408614138617,-0.261125359616589,-0.243540470435684,-0.130022129866347,-0.0053181225890313,-0.0718053874259184,-1.03820326300967,-1.08841870652147,-1.09110317071735,0.524570034286244,0.537709769343095,0.451721853739722,0.547837837327926,0.599360466165219,0.621567073303147,0.055941215534558,0.029471834086646,5.90775419802014e-05
"HTR1B",0.371320995651212,0.390150204875091,0.278011147001179,0.333861049922952,0.0982460205934164,0.421288921019883,-0.116305355141037,-0.0108689802638349,0.0220141371123752,-0.154129783643482,-0.212947838901927,-0.257085338424577,-0.571904312098197,-0.555717407900935,-0.611163595218777,-0.797874517054586,-0.825107986678201,-0.935207961256383,0.432407658393084,0.271850236029124,0.391406911773043,0.619115889436825,0.631212121805422,0.550865499662885,0.11737189335159,0.0220077073679317,0.0971826825858901
