"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"ERI3",0.150260518765219,0.143955607490733,0.158989485244314,0.0301968134806838,-0.143051956911851,-0.107630957632928,0.150938944741766,0.047758688397046,0.0836890176474796,-0.0187095432253361,0.0780303146270782,-0.132877932466386,0.143215487790831,-0.0630956210186362,-0.0837672499116842,-0.129051165496092,-0.07268630508751,-0.058199062642533,0.0382424278649349,-0.0339407411850914,0.122085747440423,-0.0398574338571542,-0.105662857845113,-0.0441598712239308,-0.0195043895559142,-0.113311220493289,0.01814325506286
"SHMT1",0.142983272894973,0.247371418280705,0.187226734310515,0.0938001329689975,-0.0706111156851161,0.156801986957399,-0.0663714406136684,-0.095896637771947,0.0377388207320681,0.268513111064452,0.160473081755651,0.159407031913766,-0.120118697722168,-0.356624698022523,-0.241800061893017,-0.348169343045813,-0.22405521192495,-0.403013974229239,0.117227095814069,0.111081935116353,0.0761709428620243,-0.0942340686154477,0.0441555659567108,-0.0455312040351004,0.153704085309899,-0.116811972630925,0.226583210252279
"DHFR",0.637813234974757,0.56738845360511,0.617980863196641,-0.0644423670450092,-0.161499518854427,-0.160192476386094,0.377036670427136,0.195506785926575,0.242914956111621,0.0669375318086871,0.115856412591084,0.0227913424626003,-0.3527311305441,-0.364660549495207,-0.524928963389316,-1.70086937212099,-1.71015551418312,-1.40369559304582,0.403296963767769,0.516636701594139,0.579542973897963,0.178639196935125,0.0706530169987065,0.175009681874732,0.614369220368618,0.544155368944383,0.516646109578344
"DHFRP1",0.577847038562373,0.444052065196155,0.312875058685112,-0.182558135750547,-0.0666847181817207,0.150319983395391,-0.282529036178367,0.0796061858639856,0.0932593294325876,0.0756458533535298,-0.0135976861991836,0.292038054308417,-0.344586710650676,-0.672963330802292,-0.265998134069998,-1.01391119505294,-0.842483710673455,-0.885043285477914,0.408036508824953,0.456829673605833,0.440926831265623,0.239614953947379,0.0835629124939565,-0.141807397358107,-0.0309381118835272,0.591014872375847,0.497472130967573
"CPEB2",0.00217620802269458,-0.0678133553790179,-0.0316885741687845,-0.0764984067462855,0.0661565596834777,-0.0490673456403776,0.050971397251816,0.17955150342063,0.0327654121761842,0.0372538138435878,-0.0180262616594593,-0.0411666214625992,-0.23926304548579,0.0631650781561746,-0.0391180426932802,-0.236304137039772,-0.240115301502877,-0.248497029264371,0.127434848009312,0.184961238559044,-0.0548514674734015,0.132952334320134,0.178235089050652,0.273025949572638,0.00799262975544757,0.0366901217795323,-0.0309225950852614
"TYMS",0.137996829265255,0.0612308839188493,0.0748892560422973,0.262399776032668,0.25913159293227,0.289518101565056,-0.0772705542367245,-0.160159199104296,-0.0858778515121763,-0.209124630264363,-0.147321219719561,-0.149323599710442,-0.104837960509176,-0.135201526738362,-0.166092753625335,-0.479156442607604,-0.536459433217567,-0.471116431457563,0.0977530674116664,0.00683214788778486,0.1574808469153,0.290933211640805,0.233136843849035,0.212291078382878,0.272208800847359,0.200152116964572,0.165987049047311
"CELF4",0.224316725782211,0.219346365059657,0.141035671059326,0.431775171550829,0.404166563155037,0.367331143850054,0.414378731497482,0.376139536144134,0.363403333099496,-0.397920487620102,-0.333386146595913,-0.355055563209794,-0.216818342934296,-0.319108662635537,-0.35643574686055,-1.36170789579316,-1.36513920143939,-1.35924927257425,0.304508003224626,0.137115214416246,0.387196691996825,0.555946112465252,0.546794945515058,0.518709424599569,0.218800014210213,0.211095016243647,0.242762655793415
"EXOSC10",0.137069702496207,0.038258060350369,0.112905920908057,0.134108721078055,0.117617028254323,0.152437959880661,0.134756232385215,0.0899893020468809,0.0853546343738856,-0.223652264374232,-0.191678404272841,-0.080205352232829,-0.142771506522015,-0.245324417954743,-0.169674904755615,-0.705155123457011,-0.587805074911962,-0.572732196696517,0.280616588140067,0.346563989920156,0.275921256568171,0.17373957544859,0.0580286778276466,0.101353075202683,0.258949932639828,0.149681834735233,0.271646752921683
"ERI2",0.038386466685207,-0.0257867072156053,0.164267646621516,0.0505802407912075,-0.0625450431853984,-0.092628895371984,0.0614464596335296,0.127947763818449,0.107568672526977,-0.24214399943174,-0.100480257260829,-0.0585635213519922,-0.0410602934179849,-0.052155997147354,0.00527692987193973,-0.256977019239127,-0.113366797041076,-0.0171300903281466,-0.0522082917143614,0.201355908846837,-0.0925185055258559,0.122068694054544,0.0434396891330575,0.121338495970699,0.0920733768324631,0.14347471462523,-0.071659641180279
"EXOSC2",0.284999298205729,0.137153232334434,0.214125150683918,0.00956012945356655,0.0289125134544914,0.130434302452363,0.0975698797537561,0.071606427651778,0.136430332368276,-0.245922635645508,-0.215123618203741,-0.243031671133112,-0.134936466237129,-0.0744972701798012,-0.235237615950478,-0.218510314043964,-0.203952129669309,-0.140287235714688,0.161075265530986,0.167254860508198,0.236514072141549,0.0218025271067432,-0.0662616400852993,-0.241713505010503,0.10219290909974,0.125646894658829,0.0941963064691596
"CPEB3",0.183882579778212,0.171960863665026,0.262080807505081,-0.00819236300820414,-0.121415908106338,-0.0288095583958388,0.285107695287328,0.334555308139825,0.254644607630024,-0.333422160466551,-0.36189066225144,-0.403863979420024,-0.359255017306804,-0.238920301289408,-0.119682280452118,-0.333137332433759,-0.134332946126367,-0.368258837913281,0.223468764087889,0.284227783506378,0.212550558528719,-0.104262274525297,0.133745425131442,0.0512651653320635,0.199875348575823,0.198038897658284,0.120039816869236
"ZNF540",0.117894256989043,0.182661526472883,0.235296061327615,0.10850703147779,-0.0891300824308097,-0.144251915881547,0.351860799800818,0.208373314666481,0.23548038259176,-0.212174468599477,-0.232689942590387,-0.258755398882558,-0.0864501386799272,-0.0912802171387721,-0.0396611475244377,-0.201819490494442,-0.171959324484027,-0.289286709376428,0.133073774509295,0.266888792935996,0.2200660439056,-0.0280585945925154,-0.0410262291061638,-0.0903674936471592,-0.0483575724116747,0.0114855109541718,-0.046318769791041
"EXOSC3",0.101759928344539,0.0454722528469453,0.167292911801864,-0.0285056889631452,-0.131065934122201,-0.0378830291809695,0.0299126621450743,-0.0374966184703691,0.0210021024576594,-0.168684656089489,-0.213264501315097,-0.0729046013825396,-0.261761804138715,-0.0444334094257712,-0.0956142572115173,0.0320145757711643,0.0497409716809383,0.0778045157440133,0.0756411797209893,0.0409275060763328,-0.0332475695345273,-0.118677841375606,0.163926418101981,-0.010343039613085,0.162580885961646,0.158318057857473,0.127488982312311
"EXOSC9",0.154774532584391,0.129718377803492,0.179277222597872,0.0837515066866477,0.138545307001841,0.0368847915556092,-0.048469035627587,-0.0980594807732711,-0.0853054719135979,-0.227474692714498,-0.204257066740841,-0.20810242039869,-0.0834658621047026,-0.0144381815089236,-0.123029412364561,-0.104148535287536,-0.125082177367585,-0.17757147048048,0.0551210251025793,0.263997958531641,0.124109409085678,0.203607945388574,0.0193746375937156,-0.0200985907557172,0.0437055745799064,0.0646861352384054,0.0219479742876274
"EXOSC8",0.0272397608346218,0.0152671528508197,0.0220795881221694,0.097244108422867,0.0789910957762885,0.0564475638883142,-0.0985320276410864,0.0181537143363784,0.0266680738561735,-0.199858870819897,-0.200557559895161,-0.0872907502764093,-0.0468331521524199,-0.0920315617636067,-0.0448554652911497,-0.0558296318063132,-0.00816869384077101,0.0666288800513133,0.0901217466532938,-0.00227813667900634,0.109520896831333,0.0789080192132765,0.0203169857853762,0.0460311393316246,0.0858861477858728,-0.0163457091130326,0.0130766855391347
