"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"MPEG1",-0.107270195651821,0.218204411488057,0.15288233205808,0.229434772603446,-0.135227583197778,0.104213879312308,0.117606227989407,0.0134720864566251,0.17074976437838,0.039261382743307,-0.150050252266634,-0.226495637480852,-0.0980389214525523,0.112391159751281,-0.138088739921107,-0.0903364830086488,-0.0280383037847542,-0.214740269888354,-0.00424946940717597,0.120338342381085,0.0579709210521475,-0.175103880381561,-0.0140535170763734,-0.280765319770254,0.0443419977115944,0.0154880818739889,0.266103213488158
"TF",-0.0745573113246802,-0.0145599916284187,-0.162854742811509,0.168378309671168,-0.224207627387681,0.00656391444962878,0.244949558362544,0.125090625533144,0.254764574008052,-0.0536398135223077,0.155617531247566,-0.0496487699367414,0.121280247243627,0.176868334109772,-0.0378041399347655,-0.199419559113545,-0.0325510327996561,-0.209926370953255,0.00189992485858959,0.086671384291046,-0.0102634996965438,-0.161313438619237,-0.0169298642093931,-0.150680529521596,-0.0503381492940917,0.035155250670952,0.071455186307329
"PGA5",0.0204186582568697,0.0609620438398393,-0.143479061368757,0.181196654382015,0.0856515645413616,0.186314662046968,-0.0527218914677112,0.0967586551950239,0.151137809071542,-0.255195601733629,-0.293920117615893,-0.147244903897911,0.0148810295899215,0.0483201519126455,0.0247005985774926,-0.0938059518044367,0.00716471368374094,-0.192805493017016,0.220063201047638,-0.161131964765374,0.142959009364383,-0.10902459651388,-0.132617083394019,0.0607031325092144,0.171019923156003,-0.0485829259646469,0.158277784368612
"HDAC6",-0.0479548743971616,0.0670089800457809,-0.023123763014782,0.0563778096222833,0.0309029347148915,0.0221750966277181,0.0340322759498459,0.0316435421342884,0.0712760135117314,-0.196728773146766,-0.0872308239374284,-0.168585811546267,0.0493513236764027,-0.0250685281127776,-0.0645545903455336,-0.106913507078929,-0.0413426678239937,-0.0568417728055213,0.103785551570768,-0.00514671224027907,0.0967752677780656,0.0543893299693412,-0.0469051678452495,-0.0787940152436537,0.0755181355158214,0.110642669092288,0.145312077329104
"MICALL1",0.177873002089452,0.140868128188263,0.189338160350154,0.0601241004023336,0.0840268981799444,0.0783081703515567,0.0834363468701724,0.0659462643119912,0.117872735517674,-0.157650094227513,-0.0693069850115045,-0.19740211597631,-0.130094896227254,-0.141300941487591,-0.154231035749744,-0.310315127176342,-0.276577213810375,-0.375858246546386,0.162507286146282,-0.0655346763629723,0.158225877027293,0.0345432105816457,0.0667570658463355,-0.058570636356075,0.161166173511566,0.0902139008181564,0.265634648739244
"VPS33B",0.071528505310722,0.0724509936890563,0.229194896605268,-0.000801657419344792,0.0869795031574672,0.0135798501918796,-0.0541414761702192,0.0948875166025065,0.118728333080725,-0.161816852216115,-0.137191137303542,-0.247857290237603,0.0507045868859883,0.0406238343131555,-0.0342205482599329,-0.0997824509550505,-0.128513752971687,-0.371477487365162,0.107958644715943,-0.0213008004429192,0.124242960818508,0.0551967657650358,0.00206669253067737,-0.151300704531799,0.116569552286208,0.142075681134772,0.0816158407854584
"SFTPC",-0.320556253539101,0.091535161910989,0.0758692548108195,0.0941698024776487,-0.11690830324355,0.0256726098461124,0.159226528289922,0.230286724012498,0.207770201639295,-0.131170173616309,-0.320556253539101,0.0192610258357542,0.239936494299723,0.019209820710909,-0.320556253539101,-0.320556253539101,-0.320556253539101,0.00829091782733649,0.0490254761337487,0.0363314984850174,0.0354014507463383,0.212562030671441,-0.069611383446877,0.127579723324181,0.102495756041161,0.159408091241901,0.0264385596974472
"HLA-DQA1",-0.173008823173599,0.163841760277653,-0.173008823173599,0.120749830181324,0.179137842788567,-0.173008823173599,-0.173008823173599,0.53964395594207,0.259164719240481,-0.173008823173599,-0.173008823173599,-0.173008823173599,-0.173008823173599,-0.173008823173599,-0.173008823173599,-0.173008823173599,-0.173008823173599,-0.173008823173599,0.10669499147209,0.0796697947143983,-0.173008823173599,0.14675120315245,0.235928835184158,0.174671079481262,0.200383129560629,0.104948311297654,0.110538071137697
"HLA-DRB5",-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,0.119865259736569,0.1156153810939,-0.0880325692016504,0.202133090400459,0.188640788707472,0.247225822630847,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,-0.0880325692016504,0.109902518409669,-0.0880325692016504,-0.0880325692016504,0.114449398629258,-0.0880325692016504,-0.0880325692016504,0.227791741986672,-0.0880325692016504,0.258962244034898
"PMEL",-0.170149309401115,-0.197475353149095,-0.236051520386903,0.34382468547374,0.267365729730434,0.291885164080091,0.818180025077927,0.703503417851667,0.695333820654726,-0.39630662506611,-0.238102852937736,-0.283788979705916,-0.634545772955732,-0.409365396499737,-0.674833212834995,-0.395598525472778,-0.495435728151154,-0.501395411682907,-0.246185637394758,-0.126634728890133,0.070187870724606,0.191816010899624,0.144367560575539,0.0916041141396313,0.487474289481545,0.37155682224012,0.528769543599417
