"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"PARK7",-0.051639685678877,0.00614081354484775,0.00435156091868727,0.0288722308315634,0.0649867133349531,0.0824550288214727,0.00860360796588111,-0.0581716952542148,-0.0536782033395227,-0.118629475981804,-0.0249848375344932,-0.0123785623579966,0.145498036709133,-0.0341328773383225,0.0177187059925288,0.166084048936931,0.149229621665496,0.160671755601678,-0.0186984051417038,-0.0489059350514776,0.0387838980545645,0.00750295487510577,-0.054370289940703,-0.0594551452898777,-0.0805103900073743,-0.128628186177863,-0.136715288158637
"NUBP2",-0.228120313401392,-0.0456067119870998,-0.0443718052876534,0.286177554183059,0.0798141060693016,0.367253067777648,0.0319000425500882,-0.090152123626762,-0.182816412770423,-0.04134310259251,-0.00179391042567545,-0.0323045134765767,0.0746397027778922,0.0442699789891758,0.138041889218016,0.551277407072517,0.468256584568659,0.522003944018111,-0.0408788186314304,-0.365174595613869,-0.152714347406711,-0.0774355473325965,-0.192670706583092,-0.147594054034931,-0.365085414641088,-0.43874213186503,-0.116829767547623
"COX17",-0.356723487728667,-0.181970969242837,-0.227167364504675,0.0704526306818263,0.128082337662505,0.258187256459129,0.224112436910577,-0.113608263107386,-0.0151775527356328,0.0630329422535638,0.251220552796809,0.000284359024073311,0.227579782791731,0.109934921008472,0.16325090724313,0.552649331957253,0.355943337133084,0.205117626446143,-0.369744307431237,-0.264586215132111,-0.304130453281465,0.0599105013654384,-0.212490229127436,0.0178887895977713,-0.243328684986116,-0.245456277978993,-0.153263908074932
"ATOX1",-0.232953005182855,-0.0739727406359929,-0.108813710545617,0.141947419097123,-0.111239633351076,-0.0306533933884996,-0.052884529406084,-0.189782597319157,0.0936678300623797,0.203321934905423,0.271818379598242,0.242760264194745,0.226568610038084,0.143058538163315,0.120484707480276,0.187628674571856,0.191263243087281,0.121094225201531,-0.226278984417089,-0.273058079353802,0.027817519750073,-0.0690881717072109,-0.124752726787737,0.0384591051037457,-0.0319319947057686,-0.202446546218043,-0.282034338235189
"ATP7A",-0.318800804522741,-0.245432966771954,-0.27681897883847,0.126685731020753,0.072889506928492,-0.135426469551264,-0.0615203829843836,-0.0059811020186249,-0.0503455777532622,0.226754328078494,0.359551643242565,0.205206659401801,-0.308057678383312,0.0242474934888595,0.00597666015269382,0.0738837330495699,0.112863090376564,0.0360275704519566,-0.110918125480916,0.0464945600311992,-0.394953556528408,0.0786097865238862,0.121830060348525,0.100163886605882,0.0878068131848835,0.10587104656851,0.123393073378695
"NUBPL",-0.096522024451902,-0.149758109958697,-0.109177672511001,0.175686127232874,0.0918999363575814,0.0691243931059358,0.0533952585450521,0.0321995987347492,0.0919363920911689,-0.113562186671391,0.00320024936246277,-0.137661719402425,-0.103089622061214,0.00178627283509236,-0.00479062235111805,0.132073565701427,0.0913168901799093,0.178309964902933,0.00167597939870134,-0.0130855592709835,-0.00793672331473338,-0.000984837055385768,-0.173052647291765,0.0114441409074946,0.0606679440857683,-0.011477451553505,-0.0736175375469674
"SCO2",0.112859979424574,0.0355982114559152,-0.202861000357736,-0.0557914953162753,-0.202861000357736,0.143367863027478,0.206809436243036,0.0368367076358949,0.207286907276378,-0.0688967780502132,-0.00971893470086282,-0.202861000357736,0.00291708370396915,-0.202861000357736,0.115540852381703,0.0948056849569374,0.19209187129164,0.0913956898980146,-0.202861000357736,-0.202861000357736,-0.202861000357736,-0.202861000357736,-0.0578562391129944,0.0432825249227484,0.196153855571882,0.164418088424941,0.171786693827116
"SCO1",0.0371184948288832,-0.0975899420169224,-0.12751485720506,-0.137494167345016,0.0173815293282651,-0.0546252973445878,0.00230673292547756,0.023562548293123,0.0154127779548219,-0.116876738694028,0.0259718416802794,-0.0879555338254345,-0.00308065157693704,-0.0989075561997801,-0.0406431650830896,0.298723395744192,0.331074812990114,0.357940060338327,-0.0958793006588561,0.0292697435619136,-0.189229966784612,-0.134803101874883,-0.0914091659753247,-0.0833772969452973,0.0870433402549793,0.106187844782674,0.027393618846796
"FXN",0.14613322510068,0.0186436990354935,0.0854845349830438,0.0251234928019048,-0.0638297993821073,-0.0350678403465228,0.0916801627385428,0.0224583630782771,-0.0259349168490424,-0.193439930763917,-0.135957488684761,-0.2294582730076,-0.0656230873615193,0.109606792647639,-0.085453879910574,-0.303018085689011,-0.153362210687,-0.181315410764745,-0.021182424747618,0.234295248223267,0.212131923386467,-0.0742929198579283,0.00859065514102397,0.0079086754677764,0.244506476321948,0.242327977619727,0.119045041506496
"TF",-0.0745573113246802,-0.0145599916284187,-0.162854742811509,0.168378309671168,-0.224207627387681,0.00656391444962878,0.244949558362544,0.125090625533144,0.254764574008052,-0.0536398135223077,0.155617531247566,-0.0496487699367414,0.121280247243627,0.176868334109772,-0.0378041399347655,-0.199419559113545,-0.0325510327996561,-0.209926370953255,0.00189992485858959,0.086671384291046,-0.0102634996965438,-0.161313438619237,-0.0169298642093931,-0.150680529521596,-0.0503381492940917,0.035155250670952,0.071455186307329
