"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"WNT8A",-0.038272436069172,-0.027901504021961,0.0749371462932276,0.00284027982098323,-0.0114877046054369,0.203084335313163,0.0882342626045372,-0.0957251705489233,0.0562589050827285,-0.0209079294463717,-0.020368281158242,0.351219550003834,0.0642274101401421,-0.0220746343005018,0.0615848441764069,0.0121727036747732,-0.0978719274237054,0.0184645234549503,-0.171321738173859,-0.047151963375871,0.0901667984317305,0.0896241068539849,-0.0516381756529851,-0.145161733661499,-0.184065476281914,-0.157292346427826,-0.0215738447022105
"NRP1",-0.216910405881503,-0.202940691916215,-0.204522040004225,0.278685584101339,0.33491906609809,0.14852476837191,-0.287670565366035,-0.244680981924114,-0.252938703985658,0.277256054050527,0.395161804911963,0.29304664951345,0.844460665494324,0.848507865498949,0.883960329798516,-1.23010209786177,-1.34920818366725,-1.26191359658295,-0.204382605675528,-0.0580530754833841,-0.125458789241337,0.473452783993508,0.44088602698729,0.529748646018463,-0.00537381224375899,-0.0629131153854932,-0.0415415796190839
"CHRNA7",0.0610817173714686,-0.140405971783213,0.0583775209317352,0.171180625194093,0.213871935129871,0.0406555907132216,0.192039470581596,0.0642553873447103,0.319269484329316,-0.215811295355213,-0.0806504828350683,-0.177500564027552,-0.400088008295613,-0.204960591251764,-0.307736191039133,-0.374493132219015,-0.280902385356066,-0.479950904146696,-0.0748417035153022,-0.0155960413920937,-0.0163193774268979,0.207130838822074,0.333163426338748,0.249085264919733,0.308425612255899,0.15338033135793,0.397339443353271
"FUZ",0.0251480019249186,0.0283968717158842,0.00271317666549109,-0.0635102034294288,-0.0596455822390087,0.0351328747461359,0.353623275540587,0.229325800721975,0.192229852544958,-0.103562130896032,0.0939961492842905,-0.0575033776924503,0.0830566279276184,-0.0921449101622613,-0.0893973026119781,-0.427226904144558,-0.39793954888359,-0.240609179104492,0.0948687478504464,-0.0404189544233926,0.167210146863933,-0.0926982591857008,-0.0376519397602841,-0.15524904465294,0.237381096231164,0.125828631185309,0.188646083983443
"PHACTR1",0.297857112708931,0.162319437382569,0.29759522698091,-0.255778981395457,-0.231963366954904,-0.247119025130317,0.0793079125958389,0.195946379118389,0.138530972404819,-0.0175483744408602,0.0477013016014087,0.0159666381068924,0.146631876382681,0.144465163489615,0.111922656290718,-0.81008860062966,-0.852358811426376,-0.776955183991072,0.26453068143422,0.169817795334675,0.154311755090973,0.106042643237481,0.0966204739166159,0.105859911149514,0.241654906376676,0.151816786201344,0.2629127141645
"IGF2BP1",0.1643287763097,0.132926506382043,0.178271124162357,0.156493510121436,0.126942628599053,0.102045070755938,0.0208690149700992,0.151449076984626,0.113711820329629,-0.30457985844293,-0.357763455773922,-0.34934595187557,-0.219300535636275,-0.13033095389415,-0.155461353821421,-0.602208195067835,-0.573228805642465,-0.558224644970585,0.275770854333409,0.304162477518814,0.240001833800115,0.0738231843126975,0.117994655106704,0.0610134367974577,0.337897148893218,0.353014248116878,0.339728387630954
"TCOF1",0.0461715150627686,0.0896584419685507,0.145791319470574,-0.00599340687819705,0.0242612009926475,0.0456624422505953,0.164870542194862,0.224535719745864,0.155850220832205,-0.2400087676876,-0.156898245451329,-0.198741098814828,-0.0620228685749886,-0.143380085786889,-0.0724724209390679,-0.55765278706011,-0.410096076902713,-0.500092702033362,0.20943622496241,0.115009061104116,0.384413388117528,0.027323512652508,-0.0164101960631022,-0.0179016458318024,0.217769615934655,0.219903205116644,0.311013891618012
"SULT4A1",0.430764078712988,0.470111451311645,0.329506776760786,-0.0541719447240769,-0.129513603196253,-0.214000504519719,0.220522821766703,0.216531538156474,0.13989694548547,-0.414302745361061,-0.461369117420812,-0.460576564375673,-0.0881320351284582,-0.201684747312351,-0.231760476601151,-0.240717220881717,-0.227834477293488,-0.353780686007083,0.280788618992208,0.254303968140086,0.308734845211319,0.0474469604885126,0.0830853173336674,-0.0662565913368187,0.193979347146271,0.0904721663542549,0.0779558782982601
"TAOK2",0.237445655778336,0.287602117925291,0.238010392380316,-0.224142360042869,-0.103901662762928,-0.0396234310263832,0.173740775665742,0.0765215152728924,0.0712534547599528,-0.144489927656091,-0.157427609150115,-0.252200544574068,0.0174281947444861,-0.113714144232329,-0.0425657460460105,-0.187980039874466,-0.30224306369279,-0.320882889334017,0.298624784642653,0.0420869990441606,0.181796600411191,-0.0904897652199192,-0.0123665329617193,-0.00192034792166318,0.0756150506366229,0.122942158195873,0.170880365037753
"KBTBD8",0.0925821199087942,0.259412879396269,0.319385057516914,-0.124593518014652,-0.0643761563781702,-0.0982435078161696,-0.0280705161066219,-0.246852808311328,0.326733329499625,-0.0468916832581243,0.0221827082892894,-0.0304152643469262,0.00365278355950238,-0.159833622302209,-0.107326431943916,0.022288034951421,0.0931988234103098,0.0633890198436386,0.0212682291963127,0.391581201575562,0.0283536599059371,-0.121708804256597,-0.0348631731664639,-0.332382969424032,0.074780558077677,-0.0746741715560901,-0.248575778249929
