"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"TH",0.142252062717796,0.111531633633252,0.0777829872373506,-0.285615964609635,-0.207922330783012,-0.0930161928712359,1.03654459176886,0.985107927600223,0.960635445953264,-0.512937638507083,-0.435892418458353,-0.550420659596693,-0.632489406339376,-0.840572463855223,-0.737413111542953,-0.40142649127921,-0.642250315427553,-0.252869386470101,-0.197338968949749,-0.332755660667246,-0.135746802299655,-0.216738707917656,-0.116144491986995,0.0215892625878649,1.08880362789998,1.00184030979191,1.16546316237118
"DDC",0.053812157412688,0.02459498630461,0.195554717891156,0.0317082572267253,-0.138340753831809,0.0476354544758664,0.390934195994975,0.334625503084743,0.423054177326463,-0.232992654040538,-0.297969311732656,-0.252876731968273,-0.640712852662975,-0.681354488842465,-0.687908618501553,-0.440439471381614,-0.673567585486866,-0.499045332333456,0.192885618655337,0.329123883752423,0.462845159517858,0.30573112649739,0.072671915928515,0.282430941986261,0.540989737522583,0.517986781504211,0.338623185700413
"DAO",0.0364232729876557,0.0825568031159136,0.109801376676613,-0.181391664344684,-0.158953268288291,-0.238713086525994,0.138338934719906,0.214212991470936,0.109592813287785,-0.365170718742037,-0.115962808209009,0.0230011429588268,-0.0595541606891583,-0.0909862453289545,0.143633717862649,-0.104930350568019,-0.209087347855663,-0.279410825379191,0.215363837622953,0.153739696651925,0.0836548444547489,-0.114803047820711,0.00604283036097808,0.230279311133351,0.252765822121326,0.142315438301487,-0.0227593099753527
"CACNB4",0.244078036042833,0.0836032402550124,0.0635086396931861,-0.0845942592297444,0.178014023202502,0.0329952121942085,0.215011352555214,0.232764477961338,0.302358374489412,-0.44367493036675,-0.583717987305665,-0.270106293525235,-0.306273002281944,0.078005154829377,0.00435202299302695,-0.484942803818708,-0.41837962120999,-0.328404495058658,-0.0153250554095905,0.213115521618713,-0.0423271257103401,0.2172364305963,0.294988702901808,0.294087290812223,0.230803192482387,0.106969466820816,0.185854434468336
"ADORA1",0.136531591669108,0.267694971635613,0.249061622690828,0.0978109554930917,-0.0393499157355226,0.118363950996892,0.0346196985696956,0.0151706627480159,-0.106484630278112,-0.117689638472459,-0.119666775307138,-0.292509566626395,-0.174995219917108,-0.177928016530224,-0.107378437322922,-0.184107695140696,-0.164043701562159,-0.102998969380263,0.217218188828134,0.224841241749107,0.177606638850405,0.142814782651818,0.0346797455258816,0.0386323638978361,-0.058009083487951,-0.157736677700672,0.0478519121551404
"TSPOAP1",0.527032387019151,0.562896330613917,0.496276644687732,-0.410951394940295,-0.412355324879334,-0.416733608674122,0.190358962064849,0.247966686121154,0.184335232804697,-0.238000480365006,-0.33761488782447,-0.26672977731466,-0.160805794890452,-0.231307820360012,-0.190920796396194,-0.579009512926808,-0.636687174247719,-0.686877956620656,0.592325353345316,0.500623990113715,0.522214059001831,-0.128983648386351,-0.04459933949685,-0.131342517628662,0.272797172539883,0.367519433909264,0.408573782730016
"SLC6A1",0.348640837341419,0.269663907159506,0.285074033826787,-0.354859704581171,-0.323829004649523,-0.447271098094411,0.283415914241749,0.227951608168974,0.240272649230125,-0.146170055323489,-0.196192971600821,-0.102939451035214,0.0198818054591463,0.106513631465928,0.0838000451986112,-0.695147100943473,-0.657121085574339,-0.684132688676691,0.442027752233045,0.39959788091203,0.380863007925903,-0.154613484000436,-0.0468552073414585,-0.0348814739078964,0.23286092813159,0.279621482086352,0.243827842347825
"ERC2",0.387347581629891,0.378068415786675,0.338110072144794,-0.202957674344884,-0.257281452140337,-0.287868181223844,-0.0109397012300558,0.0929150509002135,0.0426217488891592,-0.128436925824527,-0.0479657859885201,-0.0506420965654364,-0.127155000030408,-0.0479454776606278,-0.013168549236525,-0.609773556255668,-0.600534242408283,-0.592788224770272,0.302665510526834,0.413022854735786,0.17430193015516,0.115780270207011,0.0703757054992735,0.209561597887845,0.161425635013781,0.199052561487223,0.0922079328157519
"ATP2B3",0.589414121628844,0.451217555643888,0.530585897354904,-0.310972005549349,-0.342602562032848,-0.413501393212128,-0.123724614588541,-0.0532067632183253,0.100732941229476,0.0523093838345474,0.0627228940956659,0.119282857682538,-0.0829320057644711,-0.260473804663683,-0.198619871556478,-0.666513678345549,-0.617194449588577,-0.564654967822939,0.54048823193796,0.47977426104195,0.396417267732531,-0.0530205172255016,0.0534191995137032,-0.0335017695854258,0.153420291495618,-0.0695881463172707,0.260721646279466
"STXBP1",0.339167945652884,0.275168647835693,0.256592707435162,-0.246834102638042,-0.230257249079326,-0.21481914217315,0.0888568807517878,0.100357749948593,0.0391722351655197,-0.0577627102015157,-0.072769222876067,-0.0925165698384287,-0.114781423681753,-0.0805177684234639,-0.079234111291246,-0.279950011417078,-0.279009346847534,-0.301882643064248,0.30246637019763,0.219945878827744,0.252073656569374,0.0509168320915627,0.0986564344819385,-0.00663008725301317,0.00502695044210988,0.000846129249936212,0.0277159701349081
"NR4A2",-0.061723744325116,-0.186317876816839,-0.139789204757458,0.630480455813235,0.773325795334951,0.752067587097006,-0.235080133474124,-0.276223533106645,-0.270365282620089,0.18255466050676,0.0307753158229414,0.0244817456118422,-0.237148364039747,-0.162698044783342,-0.165916790172917,-1.5974496744918,-1.62994298213695,-1.8316039349198,0.150992607190158,-0.000411580796786382,0.0349408516991137,1.46102912897725,1.5353820563252,1.51986025831794,-0.0129089690782003,-0.151620122226914,-0.1366902249496
"CNR1",0.480725708204993,0.47584616852099,0.468420496017982,0.124426763344973,0.184502030490282,0.0681316192810684,-0.408175206038489,-0.343672919927741,-0.339498596901986,-0.149408614138617,-0.261125359616589,-0.243540470435684,-0.130022129866347,-0.0053181225890313,-0.0718053874259184,-1.03820326300967,-1.08841870652147,-1.09110317071735,0.524570034286244,0.537709769343095,0.451721853739722,0.547837837327926,0.599360466165219,0.621567073303147,0.055941215534558,0.029471834086646,5.90775419802014e-05
"HTR1B",0.371320995651212,0.390150204875091,0.278011147001179,0.333861049922952,0.0982460205934164,0.421288921019883,-0.116305355141037,-0.0108689802638349,0.0220141371123752,-0.154129783643482,-0.212947838901927,-0.257085338424577,-0.571904312098197,-0.555717407900935,-0.611163595218777,-0.797874517054586,-0.825107986678201,-0.935207961256383,0.432407658393084,0.271850236029124,0.391406911773043,0.619115889436825,0.631212121805422,0.550865499662885,0.11737189335159,0.0220077073679317,0.0971826825858901
"SNCA",0.343838461287744,0.351823981215981,0.377668340414717,0.219705738915398,0.255937468227469,0.246649900744462,-0.121554664620103,-0.198297550648308,-0.132527471194505,0.00293625142975706,-0.0728470159600203,-0.123356107385709,-0.47318675922174,-0.466018900370745,-0.460213332891596,-0.846678503812088,-0.829159364562276,-0.891519679062093,0.229991364452284,0.33172568639022,0.456983635954597,0.773237230855493,0.703536873911785,0.74506846049526,-0.102698759401639,-0.125189544383138,-0.195855740781203
