"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"CYGB",0.30362721709575,0.519557457178783,0.483219242221573,-0.0450684350795338,-0.251773312607293,-0.251592839418072,0.0306037568141893,0.0515914834020172,-0.147465307714267,-0.0604575405029717,-0.0439786350203626,-0.229602260258279,-0.111977380312361,-0.294549966870056,-0.058226277713139,-0.0764930704651228,0.150694061451677,-0.018006803495064,0.407061628299378,0.0692291140687598,0.248141180298006,-0.159849280220751,-0.135313890182964,0.102742153307892,-0.00859260403401407,-0.202991836012961,-0.270527854230815
"MT-CO2",0.217344528877502,0.2140437627982,0.278362707364533,0.0212541672558064,-0.090250763772941,-0.105205266767667,-0.00923185020268846,-0.0185202578006773,0.0406931106526578,-0.0413584034117758,-0.0169145517644935,0.010904150180286,0.0593890514038637,-0.125771393924742,-0.126992440903443,-0.377064638619174,-0.354369106973991,-0.319266565771969,0.2234706497344,0.255307578019719,0.29564301325626,-0.0416781991111943,-0.131369809459999,-0.161161290148467,0.0992995373219081,0.0921902299215489,0.111252051846632
"MT-CO3",0.255442315783917,0.222095420261649,0.273046973353214,-0.0251696903755345,-0.118727137076672,-0.200461272759981,-0.126336317693651,-0.283571082460373,-0.152099190807188,0.054529341668303,0.0806547196111573,0.15809363773948,0.246617709699098,0.0559022619242739,0.10927255675638,-0.28899031939746,-0.188100122910479,-0.237785894602771,0.209215815660436,0.300460140068711,0.381612511378631,-0.0710021354141936,-0.0609133278805203,-0.216615334831655,-0.0691305771489716,-0.192575560671806,-0.115465439874024
"MT-CO1",0.170119125519022,0.135078866238604,0.181548195893114,-0.0904406646002194,-0.125057380231464,-0.175178542969846,-0.0785682601065716,-0.0756504149267627,-0.0715818242809121,-0.0191040487943397,0.00481260074360534,0.0612722680012361,0.115130644660137,0.107419952709421,0.0407324148181836,-0.10026331099759,-0.0753226882693276,-0.0789107197093983,0.123585019302187,0.20531165792644,0.18975690174566,-0.075625844425808,-0.121900350344777,-0.169748040267631,-0.0261847163891389,-0.0295008155856387,-0.0217300256580479
"COX5A",0.0792219145771291,-0.105317143892549,-0.110386455400372,-0.0289075859675467,-0.12343181125981,0.220635954466278,0.18564578657433,0.106392198193955,0.114021299227288,-0.228566657096959,-0.322095235536379,-0.291263991790217,0.147363871886895,-0.0529573602532896,0.253887632405618,0.239671434888512,0.125502329541041,-0.0215138579419474,-0.243562078263889,-0.264281006616644,-0.135736282545791,-0.0922086564395741,0.252615211582233,0.324025319955952,-0.0806037823823278,0.0440474538839943,0.00780149820405818
"COX7A1",-0.0493209188071422,-0.216650512200705,-0.208433121115406,0.0549580548555566,-0.00539559138363455,-0.0318814810461454,0.090426233347138,0.0157372139713861,0.0235644534431207,-0.147783812648626,0.0212134054126283,0.073332312231976,-0.0682491798119713,0.0461899682926825,0.0913037346101557,0.27548354829137,0.0350658638565307,0.0711995588789911,-0.0719203182168462,-0.0307670609730009,-0.0152723943370177,-0.00891628340413764,0.0891573448942626,0.0756577139347403,-0.0325612617542639,-0.0927355103122318,0.0165980399905825
"CYB5A",-0.106948133422927,-0.071947583542805,-0.10590805809877,0.177341199372437,0.17938868613362,0.128431346782369,-0.0807664676403235,-0.130423252686558,-0.00313934131129656,-0.132849562928593,-0.246626235330901,-0.352966837259494,-0.0057508779810469,-0.0109520479484875,0.0360583229080529,0.212485269537266,0.0945583470127573,0.312231076946683,0.0286011367715009,-0.113478918951117,0.137646086507878,-0.0200909373862395,0.00701154677202886,0.103180017078046,0.000295879238819907,0.0507792333971242,-0.0861598939699757
"COX7B",-0.0817912843190634,-0.099625698797233,-0.0164106781321038,0.0645533940035392,0.0208726422479906,0.183063973551429,-0.0233857035386098,-0.0806310275340056,0.0514866919895027,-0.0900323606184905,-0.184501052005084,0.0375819749817285,0.134230470469081,-0.0484918870006918,-0.0310087745861782,0.127740549405649,0.192865261043249,0.131983918305306,-0.117013468697863,-0.0643940800023461,-0.0776096059585161,0.150153603523028,-0.058307436685725,0.120272968456936,-0.113350130745337,-0.0413078461980483,-0.0869444131581378
"COX15",-0.259587188507185,-0.235970066111374,-0.23740486191266,0.032030553115872,0.0330815309534813,-0.0591625227963295,0.0968551255592249,0.0400444026173652,0.153286424067931,-0.00258212313205419,-0.104898792371992,-0.0321024435893769,0.171413721004653,0.115132152503023,0.103667487717837,0.178915610578656,0.339367088127903,0.260495644031895,-0.172839052107841,-0.143534163829994,-0.178801724701621,-0.0514185876212512,-0.0769426473158727,-0.0962983067497678,0.0229020847931718,0.140481557909219,-0.0361309022329479
"COX5B",-0.0592138616910329,0.118613909659288,-0.144868888925568,-0.16285775643007,0.0500221265635759,0.357649543708959,0.0817010070639306,-0.0871205281877394,0.0314367112745444,-0.00443874953230861,-0.00909657618915993,-0.121388151911717,0.249780882084016,0.102358533348022,0.160833589461024,0.473743252027328,0.467449498642722,0.429408436440806,-0.356204662429137,-0.77750756480004,-0.194925939331251,-0.225900523510358,0.0547808872236502,0.00446957954468452,-0.199880798644841,-0.118181048117798,-0.120662907341513
"SURF1",-0.409156996470557,-0.371934755353186,-0.327679278905451,0.0930521387694778,-0.00468252751242915,0.240397294304236,0.0981252930464738,-0.00956843527024986,0.0834774503229649,0.158774417771513,0.205835581996325,0.151247312804244,0.260374468216062,0.136003807861551,0.100428041228366,0.616896868047334,0.470590692203048,0.628221051353988,-0.520405942500981,-0.485980774984375,-0.36789723175648,-0.105551107914392,-0.176295929157591,-0.0380961099199357,-0.213665366402152,-0.0623637258641718,-0.150146235913626
"COX6B1",-0.28272608920587,-0.124535838711312,-0.246535420578935,0.0706494971844869,0.0563879330021706,0.218017385569521,0.00714526497009338,-0.123337554024193,-0.0438365537167122,0.00107298242146925,0.0021511011958637,-0.0773561413109061,0.395335724497555,0.124155296964855,0.169285753484143,0.372289458483529,0.326614994650212,0.308139331007125,-0.178613207721073,-0.322124052870439,-0.134339259902568,-0.0375024669580881,-0.0800734625077748,0.0714250907384635,-0.241088176162052,-0.145139738768712,-0.0854618517308694
"COX7A2L",-0.420131513023232,-0.273231501410972,-0.257656562005353,0.249963573950273,0.165168317927334,0.277343535136248,-0.00204398432483721,-0.103418308363935,-0.117944127617241,-0.047577420981856,-0.0203048275962914,-0.0673582433513378,0.253429668112735,0.146606952181914,0.163136091690721,0.577341322359363,0.499042381249101,0.521585405668876,-0.266057028140377,-0.289362899858023,-0.275542198909225,0.0772987275186736,-0.0152333199548416,0.0204078020755123,-0.229182267266015,-0.313816268717888,-0.252463306349378
"COX4I1",-0.0781359927336371,0.0538561543928502,0.0519368145783421,0.238866712023807,0.093301454702674,0.274682720046995,0.0779628569463178,-0.0862514689531615,-0.123196957345812,-0.124425945304884,-0.0910166509342982,-0.129849882776766,0.209238050622591,0.0338325932428472,0.0157670591044674,0.230628182437762,0.195132951346942,0.19460545013601,-0.0345643838665541,-0.108096746020133,0.0160864916036196,0.00638161437336393,-0.105949969193349,-0.0432657978641195,-0.257980899908425,-0.271473425231136,-0.23807098542645
"COX8A",-0.0808068189627082,0.00439281872743003,-0.0160481305478601,0.147089073482221,0.176053280191416,0.182667973687328,-0.0212824728588892,-0.116480475629542,-0.0788883896969743,0.10966664309017,0.118913161841581,0.0476903399351958,0.255752331576007,0.0438226737024419,0.0796046959782757,0.133804564040256,0.131615144339571,0.192652018175876,-0.131567998738536,-0.379142203252046,-0.0351360867245081,0.0814804491790699,-0.0458973251597161,-0.141497951662497,-0.238210681841856,-0.22841259266357,-0.191834040208128
"COX4I2",0.114436016554921,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,0.118584706065842,-0.0269839902935169,0.11564072541508,-0.0269839902935169,0.271970328715035,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169,-0.0269839902935169
"MTCO2P12",0.0494881148807922,-0.0126511686762143,-0.150430066689822,0.177860998797913,-0.150430066689822,0.0497845993809882,-0.150430066689822,0.0453571981567729,-0.150430066689822,0.117210688566786,0.042711998967051,0.287602548816952,-0.0048613703304623,-0.0114541106819148,0.051189773718197,-0.150430066689822,0.183662337913778,0.057820838855954,0.0475050209214976,-0.00442178765864565,0.0554292029697567,-0.150430066689822,0.0545515000808745,0.167084215528265,-0.150430066689822,-0.150430066689822,-0.150430066689822
