"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"RUVBL1",0.118992642735536,0.195536234642354,0.206252380378606,0.00882116719667358,0.0151711629074835,0.0528633694070049,0.0231730467055318,-0.0507300665381916,-0.002323015550596,0.0583106744536721,0.125475543843955,0.180666978221261,-0.106483429385188,-0.00137851462006111,-0.171051970218382,-0.461848323767061,-0.433520288195457,-0.453807764140871,0.0575468832330532,0.0793010799543659,0.218109494815277,0.0707182214137436,-0.0165773674635759,0.00355721524229402,0.156603102246365,0.0887003278101108,0.0379212146720995
"CCT5",0.0983875059322568,0.12065497330113,0.158573183471409,0.11142004638125,-0.00911910616327738,0.0750130040723853,0.0238532925086048,-0.0450431266533524,-0.0159900197258214,-0.13089633213745,-0.115021560450385,-0.100573872012079,0.0298977438320449,-0.0527974866130023,-0.0893014595366637,-0.206112598468467,-0.219006216192108,-0.206030212943288,0.112652428210451,0.118370388971973,0.145760254346486,0.0857916623557564,0.0271307156958471,0.0272482835391923,0.0221032653346391,0.0199264730978737,0.0131087698445391
"EIF3C",0.17985681087724,0.2103229005605,0.113812139521142,-0.00246971184513178,-0.00306639778047213,0.466173157883928,0.137344894101345,0.112272251212962,0.0976399515370225,0.538320986434984,-0.667027169478345,0.372660497361917,-1.02149901602959,-0.0635986665452446,-0.981917707482081,-0.680241110694805,-0.369331562184133,-0.715813581393881,0.131187541165323,0.158284645567973,0.195498984438924,0.275386890773451,0.0502178352621598,0.445966134522614,0.141825004666485,0.390999780470974,0.487194517074709
"NCBP1",0.180504103163782,0.14792392661654,0.119746343681783,-0.0868075427692876,0.0175638983038429,-0.221566057215005,-0.0167107956251833,-0.0342705676302586,0.0770998101807869,-0.017735133894222,-0.0748441679715093,0.0402958746841158,-0.155492024631517,-0.0383910806274201,-0.0512327802089843,-0.220076120587681,-0.132579382648249,-0.196495361482988,0.109826332140861,0.166532021984857,0.0160764654669006,-0.0362192408843285,0.0107500730293886,-0.000114106587357554,0.220388534728048,0.0988645284686474,0.0769624503144648
"SETD2",0.157812100088552,0.0359286971409247,0.0550188058046057,-0.0955435244952962,0.0581578845994066,-0.156616807595118,-0.103802868606341,0.0297712668959118,0.0469114237077317,-0.000318763223258856,-0.03550044174116,0.0145831459948198,-0.249585590539342,-0.0736706921201193,-0.0795925794926191,-0.20520914896702,-0.101695552825394,-0.1284100613899,0.109847059989962,0.211041826027671,0.0252537688224859,-0.0364082363831475,0.0530296319400101,0.0150734091285276,0.208933394749566,0.138731890151586,0.106259962336967
"EIF4G1",0.00457801282320602,0.00151303491970012,0.0397208279906511,0.0405242983131799,-0.017072529702121,-0.0226393783841541,-0.0358294179054308,-0.00828175747005133,-0.0927537560336322,0.0794998512487908,0.0917186124341853,0.088034170334014,-0.102925952381224,-0.170481788212513,-0.123781144895258,0.0482289848099793,0.0585161715688614,0.0556688379667705,0.0806951461810161,-0.00824744654040899,0.05499111250551,-0.0311959002097026,-0.059608857914105,-0.117944737540466,0.0610967662596185,0.00671729083052242,0.079259549003055
"SUPT6H",-0.0490851428688686,-0.122390713670855,-0.0819604228100363,0.0645452436294711,0.0684843516176308,-0.00958415613952468,-0.0233924338525711,-0.00896550434827148,-0.146237747804898,0.0895123858048841,0.0684501541172118,0.0976273667947964,-0.0844532678134051,-0.130630307078137,-0.123820485230555,0.0928844005510303,0.243481133869853,0.219438657515971,0.00614127768226247,-0.0236220087177941,-0.025061170665186,-0.064356407524512,-0.0527396889029941,-0.143836448118831,0.0377532100705533,0.0691339886684883,0.0326837352242944
"LARP7",-0.05720773150329,0.0367570840745817,0.0553044695093874,0.170845878632552,0.0213860160156258,0.0702776988800391,-0.018182871847408,0.0136478799286124,0.0128117484609831,-0.122275285913432,-0.0592414535261643,-0.137447862591976,0.0498283102966095,-0.0148875878628374,-0.170274518594812,0.271153339810326,0.258967647215185,0.0727551595017477,-0.168382667195454,0.103515797666443,0.112570880922437,0.00667094409470614,-0.101570983600189,-0.00882979170770781,-0.172568656118131,-0.125902889658219,-0.0997205548895792
"METTL16",-0.0684345986898105,-0.127337002396519,-0.0261402215138737,0.100505186238404,0.186646864322455,0.103130178120022,-0.0185285902971408,0.0185763713179004,-0.0584535966491178,-0.127480643965917,-0.0573090133536756,-0.0329956644871778,0.00107380602403495,0.0279529904805216,-0.0695243456142549,0.299482177783702,0.326790975028249,0.336801059289114,-0.142585714446827,-0.0885366688380351,-0.175821825190688,-0.0335396790264273,-0.0591749249917619,-0.127244748497214,-0.0277234935411634,-0.0743297629956139,-0.0857991141091414
"CCT6A",-0.0323234544511752,-0.0450841006848623,-0.0117048828194211,0.0810508995007293,0.0154432034773482,0.0475253548959813,-0.0653887681808367,-0.0791375914378225,-0.0184654983924446,-0.040124344123555,-0.0316539654028247,-0.049346625580359,0.0372218441338852,-0.0375576192672682,-0.0460418488416163,0.289733899891605,0.281217153745004,0.266398940676124,-0.130153535546896,0.0104326112196684,0.0408997778995541,-0.042154728112914,-0.102173867751997,-0.0419244448364875,-0.0661983399980866,-0.0667834590559444,-0.163706610955376
