"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"GHSR",-0.0336587778760711,-0.0336587778760711,0.247095873006556,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,0.171691936954905,0.243014580033051,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,0.112349501155105,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711,-0.0336587778760711
"DNAJC7",0.224387740389261,0.152367525349497,0.23622247608966,0.0945456265673563,-0.0108481841421408,-0.00424057215463769,0.0393220044275129,0.021853478127241,0.0460999804841702,-0.277482560239383,-0.247662203332974,-0.283479368688358,-0.180689275319383,-0.107655901832004,-0.129594105545404,-0.0781171193049719,0.0350339892640044,-0.00663196680033984,0.0888780607780681,0.238944459663493,0.258913243415302,-0.00483467507112323,-0.0805389748588272,-0.0296552208410237,0.0718297740078064,-0.00791652227974993,-0.0590517081530457
"SORL1",0.284627402314049,0.295679990328171,0.322051014326579,-0.169658479132883,-0.307712441649251,-0.456065744232264,-0.0363549225084157,-0.0389445087196219,-0.0161618677589601,-0.240107534106896,-0.28870642442886,-0.237900173939053,-0.189771395271245,0.167768063426463,0.112124456405652,-0.0521279965356349,-0.0339430313462543,-0.103150764302969,0.466279351389355,0.470949996574294,0.161335024234976,-0.287528003980414,-0.107727497934723,-0.264910197066431,0.225157061060862,0.12839387177495,0.196404751078495
"DNAJB6",0.124918398179098,0.144869218365855,0.132185577316358,-0.0950975141694599,-0.0571359905576347,-0.0577923695365303,-0.00294346868782114,0.00641401257149532,-0.0234321142281999,-0.0867288215265276,-0.0526860986969258,-0.0382469551268798,-0.054932367877031,-0.045693953690531,-0.0635865376479376,0.0663997095068307,0.0683738537818712,0.0412373365454144,0.0471139656345532,0.0576088210408567,0.0961112516681109,-0.0117683111606013,-0.0218931479375364,-0.0887486833562541,-0.0201878372580335,-0.0300251847915689,-0.0343327883609259
"SPRING1",0.145663265809965,0.178105063931232,0.212474975401266,-0.145792250559605,-0.108084249277082,-0.116594245723123,0.0133993062761739,-0.0306746319156819,-0.0184944686950193,-0.170666912032658,-0.142066898963611,-0.148700139533274,-0.0282916647005216,0.00433596210420539,0.0335705674004192,0.163451900499915,0.10345487026755,0.146317250370023,0.195153733875181,0.183978072074389,0.103092375361115,-0.166128197295778,-0.152347480225158,-0.247852979946758,0.0309554673542465,-0.0479105301245486,0.00965183826712135
"OSBPL8",0.236752855429962,0.155123117042132,0.163694145353015,-0.0850646776363231,0.00888579214185015,-0.110284695627074,0.0346128005235773,0.0564545515340971,0.0757315631272579,-0.0929116176238782,-0.143931321726125,-0.116906160315837,-0.317962483966495,-0.0839004020438878,-0.0339210195203847,-0.0666711652739789,-0.108181332842554,-0.128034055403527,0.148948630032452,0.231443387792664,-0.0650537269804623,-0.0302580912347068,-0.000278296721315741,0.0445187016749742,0.109144753856942,0.0683148431393708,0.0497339052683046
"GSK3B",0.120427521809424,-0.00437107722321173,0.0645885167241271,0.0415191592294146,0.0372861655273162,-0.0747823074612359,-0.124052254072401,0.00647202114853584,0.00614054555475896,-0.09653332590476,-0.157868950230174,-0.0858059316442894,-0.224165956688815,0.0566339769071824,-0.00632446697764699,-0.12520554383541,-0.0813210314713313,-0.100836847954229,0.110462987115106,0.168446181345546,-0.0680625313809795,0.0690371085637427,0.118726574061329,0.153519214381657,0.0839698221645158,0.0755783087839834,0.036522121527895
"PRKCZ",0.417670173442644,0.400008424246597,0.432874210535804,-0.381284659744576,-0.352734747392233,-0.401696996909179,0.091302985273817,0.0533954489002699,0.0918405140658223,-0.0874154680828845,-0.112853695550628,-0.0962302800144119,-0.0753529323415787,-0.157318734683008,-0.0473922949784207,-0.255884889948323,-0.371550755047673,-0.167780656738643,0.234500755003561,0.170681138386827,0.358951641447069,-0.00457387621216832,-0.0556768614929677,0.0129897376105497,0.0789899638090397,0.0451189129800014,0.17942294343467
"MAPT",0.317345389608885,0.318018089930554,0.337475814324208,-0.271249809570973,-0.27322525989136,-0.286791730684721,0.0844296839346956,0.0817588323947849,0.0190853561346973,-0.055411622525332,-0.0204236127122375,-0.0302400811059123,0.0325764467795437,0.0314337785787977,0.0139343885040599,-0.725019644434349,-0.705460186794868,-0.71652919706461,0.358513271002414,0.314702948198025,0.365690313096898,0.268420936285311,0.22936240894707,0.166079464526137,0.0246936631557446,0.0243754455779008,0.0964549138045783
"HSBP1",0.264594410379901,0.229145639768607,0.23104217719079,-0.236733544938817,-0.26834763565585,-0.210634625236391,-0.000475094644020402,-0.0505613064903123,-0.0228636449174608,0.0379987317465176,0.0597597746195415,0.0193764484613386,0.235879022212821,0.124688938872735,-0.00271312422350967,-0.271782224834896,-0.387197279916204,-0.255480815936378,0.112496553616447,0.202836466222516,0.273715436113784,0.098006351597018,-0.0649722479479511,0.0359208410345015,0.0233593687727538,-0.0394517151340548,-0.137606900733472
