"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"TP53",0.070934252079331,0.089341769262969,0.11466866371061,0.17723791519089,0.0941136922086194,0.128562879158514,-0.148590823246849,-0.0922715241336967,-0.20135989787174,-0.319324127596152,-0.288426204013582,-0.316703055374393,0.16379984425782,0.055673881411451,0.0498728934104573,0.113376323238697,0.114032620114227,0.0824171415526465,0.227890188103517,0.121985748253929,0.168553656840993,0.0174039277098661,-0.0407526634547075,-0.0935215429610992,-0.133904302520138,-0.124863878415839,-0.0301473769163803
"CREBZF",0.169214232674326,0.163893723856322,0.158245234162466,-0.135824699702813,-0.0403553929665765,-0.10567696161686,-0.0863564264380887,-0.113795660727279,-0.0662251441071859,-0.0897437209411773,-0.170499032568722,-0.139888827726248,-0.18757154070469,-0.0129539148203772,2.69680844375841e-05,0.178597166050851,0.206531759043973,0.193456741120871,0.147102210110205,0.0282132996968123,0.0101296128077237,-0.122802427366164,-0.0718576593839781,0.0693466089058727,0.0490858399218457,-0.00346070579437097,-0.0268312815710861
"PTPN1",0.0240389773486882,-0.0307648432258247,0.0170422676391873,-0.0209828325816499,-0.0266458655521582,-0.0507490913690862,0.0580030640075169,0.103126936278061,0.100843998116352,-0.295315164049885,-0.246323726566493,-0.262361170151243,0.0211063655200512,0.0811256348764289,-0.018081122390857,0.382610895765465,0.339558757782573,0.316416229451182,0.0236401666506421,-0.0714299066659976,-0.131072127821939,-0.187771262661743,-0.0980200070840826,-0.0937241987246598,0.00344736391159728,0.041472086719244,0.0208085747785827
"DDX5",-0.00144237951601589,0.00252337303703776,0.0442459949994767,-0.0462846609768839,-0.0717194381835355,-0.100993562539832,-0.080500500953125,-0.0838317634550574,-0.0686400155469649,-0.151130518053442,-0.150994031257355,-0.120864309743634,0.12769308589392,0.157516085789325,0.127786581344044,0.217151851614537,0.20943075757812,0.198422506094142,-0.0107449784322124,0.0712487910878359,0.0615190064142528,-0.0440629858231532,-0.0631070929787381,-0.0550935747064205,-0.0409388824991908,-0.0419492885360118,-0.0852400506511177
"SLC27A1",-0.0944760395749196,0.0242096576399256,-0.102662061147949,0.0693136394914369,-0.0810906988729361,0.170961517819125,0.146145088058237,0.133223279513789,-0.0336219345352049,-0.160934410056884,-0.0110016558176049,-0.141075504212262,0.184063143069629,-0.0576245712532426,0.0417827503801167,-0.00654077545271115,0.00369975676507117,0.120072221681996,-0.0328726698625079,-0.183784269144109,-0.00483205252952601,-0.0104094428985313,0.0036480203809095,-0.0553013326873195,-0.0266931077078763,-0.036976421941155,0.142777872894595
"DUSP1",-0.00455551531432441,0.101311558454231,0.0261386659507501,-0.0684365862482537,-0.120041722534639,0.059139198816144,0.194546831284754,-0.0143276748492429,0.178838424324949,-0.0526552408272156,-0.0802605238759355,-0.082926816034778,0.113288925664563,0.0397748346881226,0.0646691565112558,0.0921988435152095,0.0170577050946097,0.0886623728899423,-0.141194355068089,-0.161027309180694,-0.0166068537345527,-0.135236081852016,-0.0632826517915852,-0.186533888277578,0.04770259854517,-0.00615201673351251,0.109908120582677
"TREM2",-0.122911856354398,-0.122911856354398,-0.122911856354398,0.0849859725838211,-0.122911856354398,-0.122911856354398,0.0824388584765776,0.215684270644286,0.070939627476629,0.0664742235683935,-0.122911856354398,-0.122911856354398,0.0828662277073065,0.0735539819603721,-0.122911856354398,-0.122911856354398,0.242905549528693,-0.122911856354398,-0.122911856354398,-0.122911856354398,-0.122911856354398,0.163206842774637,0.082069710416298,-0.122911856354398,0.322848292617889,0.155045278116854,0.0777471530898124
"SREBF2",0.0205796485801137,0.0109528284740552,-0.021233493579615,0.122597213373467,0.0924066762179265,0.170987510693331,0.295606123633545,0.297941395625459,0.222266903183977,-0.339644404383872,-0.344884078645521,-0.387950295311386,-0.0153031877594607,0.00673459346333338,0.0138121221924372,-0.244477537922204,-0.260455256082603,-0.194195628392729,0.0468952827112119,-0.0543102233850234,-0.00854058814348413,0.0120066267975147,0.0275901668205574,0.0219447536317059,0.15241194053621,0.141651568252289,0.214609339418747
"ZNF385A",-0.2411434763515,-0.202101040956222,-0.310466306810227,0.279695587649647,0.158698234451625,0.452342576216029,0.239717126396272,0.269688541455311,0.284500894078324,-0.343492519966553,-0.428627211636194,-0.55377538791929,0.133769025504623,-0.0911796433062388,0.0814102208836065,-0.000716360478927314,-0.0790900952778699,0.0415911148761516,-0.178717449635398,-0.365777378670707,-0.15966201398636,-0.000136988271954408,0.196188633351108,0.15124033614398,0.191778610463276,0.197436393587626,0.276828578209841
"ATG10",0.620315194119776,0.455982125693989,0.548320957354491,0.230653843910176,0.266253427479683,0.318935361844561,-0.108043910454178,-0.279141442299405,-0.213545421262406,-0.260557260242193,-0.199315060485722,-0.196934193463912,-0.393085642172977,-0.432350946626146,-0.340002273616971,-0.614384914301946,-0.463250212123741,-0.619925572985073,0.399698888633788,0.361249851630975,0.381058500347327,0.351882345010353,0.331753342472803,0.294913003577205,-0.117173650122984,-0.0936832149223186,-0.22962312699514
