"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"SLC30A4",0.112771403486942,0.0217082607640862,-0.0651756735471096,0.0857307053830336,0.0775214998194489,-0.012278778546019,-0.0494253261934574,-0.0747359229443223,0.0116899212311363,0.195294626092167,0.292203225494882,0.0612665967515369,-0.118533219428276,-0.106978397156828,0.137280384696599,-0.132184547508212,-0.0852634991566426,-0.225867283712466,0.00838174282965731,0.169246290285296,0.0324266799022173,-0.195979596360289,0.135085598149143,0.0998255926879068,-0.0376555818577238,-0.18200729348815,-0.154347407674569
"SMPD2",0.00764110007126817,-0.181027798523903,0.00563434970164423,0.307990143636433,0.165215379071537,0.0822568701140511,-0.183149992137125,-0.0552366589451907,0.0281336273103907,0.0484624916260117,0.348953193524984,0.05069363029898,0.0128314717562805,-0.0664956642773866,0.151527093221604,-0.165116264396991,0.115441963334145,-0.151618139753257,0.0116210202855189,-0.238440685709325,0.00474533160202562,-0.0936556098691366,0.0574711416466887,0.197908388825459,-0.122255855471018,-0.217908987057065,-0.12162153988659
"MRAP2",-0.219559651486883,-0.176723864489655,-0.181708075428195,-0.0414978620512079,0.116499587737689,0.0951380241355544,-0.0715469890749763,-0.147078020551419,-0.141647743031601,0.0642324661443654,0.35880483377845,0.454835484779601,0.238067284282209,0.205014804072853,0.174054809452091,-0.357082624305383,-0.329895745185974,-0.402969976763796,-0.0960437913608629,0.02760616488907,-0.424599581511117,0.335480527263067,0.369394523846074,0.087141457445342,0.157253288678124,-0.0875445489459379,-0.00562478231751928
"FOXL2",-0.125720026113315,-0.125720026113315,-0.125720026113315,-0.125720026113315,0.162043566123037,-0.125720026113315,-0.125720026113315,0.0700672387332792,0.0681314577177119,0.141920729143292,0.23494566589238,0.2663670967447,0.0800580579483894,0.151910777114219,0.0758998142947034,-0.125720026113315,-0.125720026113315,-0.125720026113315,-0.125720026113315,0.0806789310543721,-0.125720026113315,0.0767619417175931,0.0792615406573809,0.0753364258268556,-0.125720026113315,0.0709770965052021,-0.125720026113315
"ATOH8",0.0725402225007539,-0.259592069084527,-0.130330353010434,-0.218631101589706,0.110200920941027,-0.0131208363317707,-0.255011138803876,-0.197174381113163,-0.134296584065424,0.465247827208406,0.615957560817533,0.441335141858923,-0.107428376765876,0.185621662626689,-0.165504207024881,-0.337311300616558,-0.508973687477424,-0.0545006294970332,-0.195502592366939,-0.122076418585189,-0.0704683342660424,0.233356561231945,0.373018587713849,0.257086085752521,-0.145481391174473,0.0632241557303672,0.0978146753912963
"ECPAS",-0.00446265638384169,-0.06760679631887,-0.064589277873619,0.0060969137646314,0.0696587747591568,-0.0597853725426205,-0.109228009034751,-0.0580282988994263,-0.0633454262356583,0.128690778958831,0.16634353024217,0.124462606194367,-0.0994141194105449,0.0329333124041451,0.0505096503591176,-0.177303307724339,-0.16106776933135,-0.125895784444499,0.00178163679010801,0.0279036020699284,-0.0992487938900108,0.126244636267542,0.135462722062632,0.0460990448683862,0.0810166088483264,0.0779680642616523,0.014803730238528
"ALDH1L2",0.00888583044171121,-0.193398816801137,-0.114764708889608,0.0474560084749083,0.218161502802033,0.0275563685397753,-0.215819048156048,-0.131001310229772,-0.253952660188903,0.378422085152453,0.413818387106737,0.339428243053851,-0.259558406527894,-0.0481439470391081,0.00814882355340885,-0.133937073534698,-0.167758723608927,-0.181916265342066,-0.0862022032466196,0.0339993157354268,-0.157564872267519,0.119298361271941,0.0742706836772573,0.218168719757289,0.0161441782622465,0.0265282707161738,0.0137312572871391
"B4GALT6",0.119997133136536,-0.0285248918836629,0.0939943659767266,-0.0622087790114687,-0.0559127371222541,-0.103269890177513,-0.0304160271450407,-0.0511132439274267,-0.0411170352186367,0.203767683335343,0.263356126965988,0.17257076651301,-0.0924373918682253,-0.00533692750570225,0.0360632026061083,-0.236517653399698,-0.283106449957399,-0.0852700404912206,0.00736368370763252,0.100459158783879,-0.0474609209836157,0.0722658562591256,0.0250929925315457,0.183870533071801,0.00734584215499545,-0.0453491376278947,-0.118106218722888
"CTSC",-0.194440448413237,-0.0652049800523731,0.0176284933350068,-0.111571144195567,-0.0875345202563089,0.0707052831384338,-0.135148506743235,-0.119959252514155,-0.173703362161023,0.602275435114283,0.537274670502788,0.543814770456221,-0.0348213802006505,-0.0507162325251986,0.116847003820819,-0.451391228973684,-0.411839480285472,-0.334743796385242,-0.0456607790426435,-0.0389352087788435,-0.0744168991675789,0.137668013396548,0.170956840515348,0.175945286802182,0.0276780634533917,0.00124323011057825,-0.0719498709502933
"MAN1A1",-0.0355036757069573,-0.0361323198332482,-0.176591551969128,-0.170682674635405,-0.168591386716631,-0.127003321446287,-0.126188743989742,0.0651096805550413,-0.238532107127577,0.515090411186636,0.462744639719668,0.502677281911362,-0.0628298636017668,-0.00941313593600945,0.162520155231451,-0.302512362841663,-0.321419863013457,-0.1513313375225,0.112407829805083,0.186161154933515,-0.0146459904761258,-0.00633368219073915,-0.0167311122624749,0.0818287917368803,0.0682180242694912,-0.135280031684806,-0.0570348083946701
"TRIM21",-0.126823100912254,-0.0135627234702227,0.100947639434617,0.32276418532118,0.0454947418837044,-0.052785443536095,-0.226844435823185,0.0419688331910351,-0.0732141707885798,0.0478247546166397,0.140501815473245,0.130575298681579,0.248528118930135,0.0118697231350762,0.00637442055134763,-0.097872513679242,-0.20038365547722,-0.306248554082474,-0.0123709806760388,0.0303276744670367,-0.00383519250144637,0.0730420453026301,0.0817379825350724,-0.0200172118355439,-0.173582585244469,0.0206613112311,0.00492202327234104
