"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"FXYD2",0.00658593476364189,-0.0903069125793801,-0.120149874463944,-0.0785806059330367,0.0935991922075088,0.225035499739465,0.283710492127124,-0.0671488259235788,0.0947106053532858,-0.0720895996529229,-0.107277376076824,-0.0368319558780748,0.0450495843590915,0.0787845464863617,0.168463788058073,-0.455056908259814,-0.224723217932753,0.101219736684464,-0.0297096130647319,0.030304431012298,-0.119199558336613,0.0369721114495078,0.141176181050882,-0.161384447990507,0.0494270542377704,0.197088239402222,0.0103314991605057
"CLTCL1",-0.195753347843588,-0.0674944481064816,-0.296574786271862,0.0297577934358468,0.180908404334389,0.137826898443214,0.224821701850543,0.00840989438816209,-0.0552260287563993,0.147275697043542,-0.0682062514512012,-0.129374528675886,0.268672533422265,-0.00766309425559442,0.0385309424028932,-0.397689384106437,-0.20042702938788,-0.207942817150879,-0.0979668797742512,-0.158971696585017,-0.148179949298541,0.21492250469905,0.151364723098249,0.187058034488231,0.109280283641722,0.129667732719087,0.202973097696747
"MICU1",-0.0554839634578954,-0.0101660632733083,-0.077219141749957,0.0625940519297163,0.0923602105036583,0.162997665112822,-0.0751513883193518,-0.0380692917718015,-0.0444233471953819,0.0275552077573931,0.0763269127476782,0.0757309528346521,0.132776273419314,0.145131810972016,0.0188347248070109,-0.175471915064515,-0.154211917182554,-0.094738272898546,-0.0687380448983994,-0.0432527738377999,-0.0439194485022458,0.201398567366885,0.0408804786299672,0.0224336815657189,-0.0330979882202058,-0.0555190427761563,-0.0895579384987695
"PLAU",-0.309922799226524,-0.158204608030079,0.0466430146179144,0.228756031785189,0.200005022529274,0.351609303193936,0.0195493322741935,-0.0415815341446111,-0.182276604062096,0.0585624356843288,0.0978754407700464,-0.022810637381685,-0.0702021693575183,0.148116567585823,-0.121295419128226,-0.259769819270729,-0.0355937182794408,-0.0845003662360044,-0.0186850967311347,-0.235536759672092,-0.111462415209933,0.183058880603128,0.0967160976444408,0.304137189983876,0.121885990941943,0.0403563375756164,-0.245429698459662
"RAB32",-0.750962467117619,-0.629337026723904,-0.48892382204259,0.928399218897932,0.957066664308085,0.955021801512157,0.22681282847674,0.0943510705287558,0.262416909262956,-0.254343352018529,-0.374473483599386,-0.234665628417284,0.42603203699405,0.231124437251413,0.293255949359722,-0.411772200143396,-0.673512588140104,-0.489732653069513,-0.718358078797348,-0.626137138037047,-0.569682991008529,0.392552693255654,0.459023490241348,0.6261287641068,0.00835903885693767,0.194099075724894,0.167257450337827
"NBAS",-0.187363635755338,-0.282826488214875,-0.292802799486772,0.273813924942822,0.35434055702703,0.146442230787063,-0.0860077885609467,0.0296488736337821,-0.0296920624113763,-0.0265485870435445,-0.0120435140990658,-0.0181760959036836,0.0722635885471963,0.156611449935079,0.0528792866482011,-0.164933574821957,-0.0663110570944507,-0.0894586488987983,-0.112919133891788,-0.0473440323281551,-0.19694027223275,0.170663671024354,0.197915157698944,0.136210529077545,0.00562634689670993,0.0243351176065083,-0.00738304308160487
"ITGB2",-0.0431428603837203,-0.033514241678601,-0.145174615274628,0.0387943763721221,0.150525357683494,0.091512537390309,0.0121516316666241,-0.0745356951440295,-0.0156855208064481,0.0101804155957081,0.286995550960684,0.0287436190840165,-0.132939942787686,-0.0731076879768056,0.0421122996225147,-0.278089278161208,-0.0938048655292603,-0.0246934211649288,0.132839797694183,-0.131869985154518,-0.0299872230883622,0.114776279730198,0.0112585873187436,0.229313286224524,-0.000835948668225228,-0.0726209853118558,0.000798531787175705
"GTPBP2",-0.0153222156627528,-0.000515917143166789,-0.0645661178017445,0.204794515140041,0.211467276269344,0.301162300806141,-0.0474333014534629,-0.0379287244626685,-0.138312902481173,-0.0305962854589819,0.0180749141947718,-0.0870512917959179,-0.0413229992607409,-0.149821188357864,-0.0833974070590902,-0.100650209649485,-0.0599675080146138,-0.158058568262865,-0.040044749846162,-0.128447783505385,-0.0475890030041572,0.111683341942003,0.116783194151974,0.0063748276015474,0.0668410122528176,0.0819695396328015,0.111875251228774
"FKBP5",-0.0133906365088361,0.00292923489596575,0.0339486890268308,0.305946557190726,0.24601398110199,0.264847747720758,-0.077404373335904,-0.109824910337544,-0.150508791432285,-0.0482661912099474,0.113907169058487,-0.011426344077325,-0.254745662728375,-0.170014827026396,-0.257903819257482,-0.519109289070911,-0.346167075645406,-0.311188011307378,0.120461609566703,0.0588767945400477,0.163216468667532,0.261838190137244,0.304373382909807,0.214371481058656,0.120204116228798,0.0513763343063474,0.00763817552788026
"NOMO1",-0.0229330791486149,-0.0320480221484356,-0.0587841538188361,0.172665692714203,0.012654196287432,0.058544473529409,0.0311058264130022,0.0215248153020688,-0.0618541755071682,0.024573710447271,0.00148164269711515,0.00145939380806581,-0.0437483915825734,-0.0790819279608517,-0.0107984924464191,-0.0682105648103715,-0.107280916869314,-0.0715379239292542,-0.0325825349974007,-0.000857830903280288,0.0237370384985311,0.123074397880293,0.0133793594048832,0.0244238046393725,0.0735323537856729,0.00584206667928022,0.00171924203593576
