"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"FIGNL2",-0.104382825291349,0.386908839829591,-0.0564791762625294,-0.0118404607872122,-0.167858686122196,-0.0846358599189934,-0.289201909465174,0.163597076160846,0.0873804711972515,-0.277889184660677,-0.303198029064748,-0.373325685800354,0.0829526542616694,-0.248762651339243,0.0915430444905407,-0.0276030561359679,-0.0746014940305422,0.202243151453642,-0.0388321970824261,-0.204146143907331,0.184695510925934,-0.227155679387257,0.162883876367541,0.222214069436436,0.308808023880378,0.269484886422832,0.327201434829327
"NCKAP5L",-0.0238881249523182,-0.0210488984526531,-0.00883099851546554,-0.0583031481451055,0.082628218352994,0.0214931121848245,0.221013819967119,0.0236835790494521,0.121554078268787,-0.1397702609455,-0.137212135797272,-0.119734128134224,0.0656677668800683,0.00606975715980163,0.00444619812215308,-0.0343386473931826,-0.032473328794671,-0.0700797288330897,0.105955683825778,-0.124668398290519,0.166131049337404,-0.061659263776713,-0.0351140144981077,-0.0798138765447032,0.0156661523281336,-0.0438695234000015,0.156495060997031
"HDAC6",-0.0838135990630509,-0.126034525740993,-0.130545155628324,0.0201546013917486,0.0559912869915102,0.132192726650356,0.146726637602026,0.0586151768317382,0.0484366114036323,-0.190027981215881,-0.0805300320065427,-0.161885019615381,0.0560521156072884,-0.0183677361818919,-0.0578537984146479,-0.100212715148043,-0.034641875893108,-0.0501409808746356,0.110486343501654,0.00155407969060661,0.103476059708951,0.0610901219002269,-0.0402043759143638,-0.072093223312768,0.0822189274467071,0.117343461023173,0.152012869259989
"FGF13",0.173403968756912,0.179960511000434,0.129629391567095,0.102761040927186,0.137980574528257,0.114232703286985,0.402636252109181,0.472316315101263,0.442790113315263,-0.660371870786813,-0.62412428788786,-0.613702526675414,-0.0956687846494528,-0.146499367164816,-0.13244954852464,-0.386529413006118,-0.46270204324801,-0.405980885417115,0.0397222684493617,0.100657473573664,0.15429301091163,0.22547235159834,0.129993248021021,0.0958867207849394,0.215092090430884,0.189222712019692,0.221977980978185
"KATNB1",0.052363622045192,0.0253778371134619,0.184918965619667,0.0583344842056288,-0.0602715534718481,0.00580629402912614,0.156920173918857,-0.0152860784029887,0.123639276233215,-0.236078989607972,-0.22752514496319,-0.160364160030701,0.11311389759981,-0.0530783562836401,-0.161455365932541,-0.0178667240051986,-0.0934904407259172,-0.0808290040726227,0.231714233795364,0.0638922018207069,0.219290550155758,-0.0257609562628183,-0.161559887430871,-0.0457315493435839,-0.0816084718335777,0.0170850465949108,0.168450099235798
"DIAPH3",0.177750153776772,-0.0295339853879781,-0.0296822231324239,0.14805555355756,0.262365465605408,0.119419236828101,0.0133385264403376,-0.193252318468568,-0.0651886388509144,-0.0103606105720964,-0.0303929142306707,0.0798582730571997,-0.0890508057019872,0.135142103697683,0.0167475100633414,-0.541694287962919,-0.4555392236953,-0.287708941220664,-0.0590940237895747,0.0511501551247289,-0.259606337173629,0.105378787649062,0.229057106664396,0.399128528327108,0.0833263809422142,0.18377126320768,0.0466152652451441
"KIF18A",0.296527741813065,0.238037176420979,0.343380092217544,0.190188546773456,0.128160067779403,0.192717096469467,-0.122842593998637,-0.163696842712321,-0.120347754538523,-0.307723843727981,-0.181877989954511,-0.0662876940389481,0.0530561817226793,-0.00472397285877157,-0.0848271912291292,-0.460782827984582,-0.568461883682842,-0.503933507378887,0.0436409030820961,0.0986922627941915,0.158663736496944,0.330949351332803,0.157560413465104,0.258312831178845,-0.00516821801332945,0.0673904294066059,0.0333974891652709
"CKAP2",0.189308592787116,0.183298049513949,0.141274978641944,0.099297533063325,0.12679046250061,0.0310886093384557,-0.210767909086432,-0.180375659172951,-0.121121718820682,-0.10371090235555,-0.133389785252188,-0.075877702049258,-0.035564700429541,0.124617129030996,0.0568192971710602,-0.394752635999611,-0.349640895844644,-0.428584438586125,0.0429726318466912,0.170709124989607,-0.00516165270374636,0.175897089023671,0.150268360656687,0.222232498455718,0.129990493199637,0.151803413414354,0.0425797366669123
"KIF14",-0.0141846354601398,0.0894061799756098,0.0850032792306585,0.284315286434495,0.27130357811104,0.215887888937269,-0.214328446890747,-0.189194630571826,-0.148674674959338,-0.226084802260104,0.0155186739167199,-0.0953675749648166,-0.193313422402413,0.106112451541222,0.056415213110089,-0.557154183021996,-0.463574316065813,-0.544820799436161,-0.106831668364132,0.04519587354077,-0.114400642409029,0.379845375348122,0.436875794425449,0.291513221232586,0.249911317098622,0.20751500948351,0.133110654420332
"KIF18B",0.198360596623177,0.036406928813161,0.0528240103174902,0.25483747979678,0.221696993280265,0.287582298924848,-0.153917919238216,-0.0144216731747449,-0.15572479586802,-0.286099978965327,-0.143476777017581,-0.270102186402655,-0.0379514056703041,-0.0808871005636043,0.0741561040873098,-0.686868807868514,-0.685395398315356,-0.644930715353704,0.251577455747837,0.0976756047394396,0.102385178807662,0.250001983913371,0.186005192692896,0.159418939559242,0.378207029391875,0.320139451551084,0.288501510191587
