"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"DLL1",-0.148810880010767,-0.110817053825977,-0.0542803935208678,0.352114432221789,0.339699531655226,0.368976476863217,0.38160923651847,0.301309140962735,0.288475747442742,-0.842925653433724,-0.761244960690638,-0.909744552352388,0.130414925444143,-0.0118067367472783,0.189382817792897,-0.126401907509747,-0.12180536024696,-0.187894174408079,0.100286548727684,-0.15915000914516,0.0597264111126563,-0.0546963480672034,0.0657873505830011,0.00820594060349755,0.269454272457217,0.270008318371193,0.364126879202406
"HOXA2",0.0697774414370045,0.253811952685238,0.198592851097625,-0.480660397958159,-0.511449097902644,-0.344443457254487,-0.62142619009947,-0.500239324890501,-0.457493427273593,-0.921065186503871,-0.921065186503871,-0.921065186503871,-0.108055593046594,-0.0761550056492268,-0.00109770339171433,0.737566491077934,0.760276785906234,0.833128542344052,1.29941775827139,1.20830285674564,1.28633163323829,-0.777830108391278,-0.921065186503871,-0.921065186503871,0.623857946110529,0.584479161966638,0.628632817496457
"TSHZ1",0.871386319987186,0.742190229948879,0.701508036882865,-0.579812749619,-0.416614918818315,-0.480500903905183,-0.0581186632549322,-0.16920554148529,-0.0910266916891374,0.20815035088752,0.389337993089995,0.239505630894964,-0.122567580048667,-0.0302179246309269,-0.1118816155349,-0.250414590824313,-0.251694285176692,-0.367338414924815,0.716780757135284,0.754120493358462,0.625109036724458,-0.419575804712142,-0.490736042566803,-0.713202557557864,-0.32586031149059,-0.257500871522161,-0.111819381147741
"EYA1",0.236482012950759,0.439003441767859,0.175337739828763,-0.184906749275067,-0.473967606693482,-0.430158302437779,0.244613674337259,0.0790961131440424,0.110455309207997,0.174099234240637,-0.0416411076342182,0.0376627161125667,-0.195743660070387,-0.0158166883984743,-0.203828235339437,0.0609509495511569,0.114719853366585,0.103960121486874,0.271991091417487,0.160778261470147,0.179012419007162,-0.231349989988097,-0.430401193604807,-0.156883123689028,0.0723230315384313,0.0162981458865312,-0.112087458183455
"RBPJ",-0.120970369191925,-0.087480498739831,-0.132875050050984,0.109696161081395,0.0301533583091,0.0754822689387584,-0.319273488024322,-0.203208672969222,-0.24866198872199,0.205502140049472,0.204353577894516,0.233194715462002,0.0202879371583951,0.206261688723719,0.130162810191678,0.206098755607742,0.190537602029677,0.174927156289979,-0.126739901925681,-0.100600461723996,-0.152258013424918,0.0369675015794506,0.0516056429259439,0.138631595335477,-0.132540987464274,-0.198648835346459,-0.190604643993666
"FGFR1",-0.416828777414906,-0.39528356618082,-0.407968906256269,0.128033019989935,0.197203538209937,0.180640196050744,-0.296873420307337,-0.365331520462403,-0.337829850608706,0.320543217745142,0.348898231059593,0.364990107322491,0.351095840894979,0.299237154227814,0.357639202572845,0.229051707706409,0.238046955863343,0.294667956815937,-0.328955774669639,-0.335498929302513,-0.34651842763733,0.117457604769147,0.124527396748791,0.0856522257544121,-0.13485691234381,-0.160760596800648,-0.11097767374706
"INSIG1",-0.393593155358177,-0.235671157556666,-0.276214284535557,0.283297692722494,0.263247291098644,0.147867009916002,-0.226791763365958,-0.175057468617419,-0.246826029695432,0.02068278973689,0.0735837002502411,0.0210213058416091,0.247018765359178,0.23706881026723,0.292015711962241,0.769195332534144,0.655503514568746,0.650048007926074,-0.438966684999981,-0.475761151926971,-0.44833235551804,0.0844155860130531,0.196751515295468,0.255919105123844,-0.394849413211205,-0.4223192415442,-0.463253432286297
"INSIG2",-0.279021680499575,-0.30015807223724,-0.306626177216437,-0.0108478783674624,-0.0630315505512673,0.0878224806868584,-0.142639692097399,-0.128734174227294,-0.0752456911413635,0.200038190458717,0.328367224544449,0.277856552810109,0.032270651268238,0.150837754073027,0.0850136453103616,0.528946269562725,0.454691932740571,0.501330846149314,-0.409983732978439,-0.173497107829569,-0.251406954804596,0.106181521209576,0.056430586329423,0.012329361441429,-0.150894549173605,-0.192862365109827,-0.337167390350695
"NOTCH1",-0.549754112320326,-0.454082965835907,-0.469530053111381,0.153696390944681,0.205578595255743,0.205020860227785,0.237747628566819,0.144403539080049,0.10442189182632,-0.321327102382673,-0.335120500788017,-0.386614084331299,0.188904111480124,0.227405891329779,0.288029721698081,0.620998568880417,0.681911084517909,0.677426629310336,-0.310347444012374,-0.70312824973572,-0.456742477443997,-0.234891016758846,-0.0207906952246582,-0.0885614576223883,0.151962621464154,0.134421481220237,0.308961143765149
"RPL38",-0.00461114740612167,-0.122261747734537,-0.0749381712606354,0.0257981645094532,0.0442015340036406,0.0190523278298933,0.041184785534309,0.0760893840755106,-0.0336216854302496,-0.238354558244326,-0.212845221568324,-0.236967492839799,0.335528427389034,0.099648097865245,0.199376084872807,0.583041372124786,0.528567464988827,0.528255115862001,-0.277340746085967,-0.24720519857653,-0.18421934802644,-0.170558674515565,-0.199670684478479,-0.0637899439438936,-0.131275436873828,-0.115602972766128,-0.16747972930466
