"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"POLD1",0.0319058750010175,0.234014727472156,0.159064148711998,0.0400996197382284,0.0176894246318646,0.217877742214931,-0.118559857740669,-0.036999997864676,-0.226089061130027,0.0242421027196009,0.0226166185578549,-0.137876993818294,-0.00717399182659229,-0.123978615668049,-0.228330453103021,-0.270581640100266,-0.247110525044636,-0.263125716362957,0.177622251686033,-0.0401944251236497,0.211301294019441,0.0538225702941659,0.00443421273746836,0.0501451897301948,0.133763867202822,0.0180663573732538,0.303355275691834
"CHTF18",-0.188459053942967,0.11469628119819,0.0709079422668708,0.11342517406529,0.200207163443613,0.137845227814934,-0.158568639666218,-0.159799310262589,-0.287201685952644,0.0680321066577179,0.0288016500413519,-0.0830502218423721,0.00412493329681141,-0.108896587352019,-0.0584803884910023,-0.314732520929894,-0.414959467611643,-0.29508093220163,0.175347003712613,-0.0845998180098562,0.0611706897027258,-0.0249384312344532,0.238958789415276,0.14464205966236,0.235059942798987,0.236751126372873,0.348796967047679
"DNASE1L2",0.198976807509992,0.289343133024903,0.055796441428134,0.204300977966228,0.260610103782079,0.225036543956947,-0.088542653415808,0.0427074327484771,-0.167869697017012,-0.0057891352314785,-0.143322044137624,-0.144546164516286,-0.0101277780857103,-0.162903599035451,0.100714264647645,-0.318062358001963,-0.090847084835989,-0.277976904927623,0.0501623577562809,-0.206719746263136,0.154519890000755,-0.182786802946766,-0.040104626817878,-0.060212721833599,0.0314925079213575,0.114085738362263,0.172065117961227
"XRCC3",0.0330582889017919,0.0300493695996895,0.030094861010113,0.0773301137479088,0.202948492917658,0.258820724822286,0.0470618331214432,0.0499706400507076,0.0378385623596671,-0.042039405982786,-0.0330560781011577,-0.0647192457339614,0.0553583650440554,-0.119533817222647,-0.159278985465473,-0.216302671522298,-0.254160311063471,-0.17066313404554,0.0724802963912943,0.021719082255105,0.0922407086006007,-0.0199296322624569,-0.0917960171979395,-0.07712531976013,0.0309808163014598,0.185095022697487,0.0235574405365409
"SYN1",0.14097132690334,0.314260925279868,0.287999267414683,0.147771511920086,0.129494033238005,0.12301663204021,0.174269090350846,0.24002030243231,0.0403576319850263,-0.34984263846591,-0.313730646524268,-0.36576688003742,-0.263001719966409,-0.371356165098824,-0.199005335130867,-0.327815368867274,-0.308707354074196,-0.499276371609804,0.21019044909953,0.216307438211771,0.178720585696517,0.00760617111276218,0.360376901241576,0.386094395605749,-0.0339129381565506,-0.040156143422001,0.11511489882129
"SYCP2",0.045842158030057,0.279191077833106,0.265908220977403,0.0139223753853628,0.165654464267369,0.178385842027362,0.305100752686757,0.325498174107208,0.36866871143387,-0.312925561244781,-0.213177106907609,-0.234967908450987,-0.621594170730537,-0.376762150974489,-0.469357780601548,-0.561648611037588,-0.428818751617753,-0.374849320225455,0.156615834301716,0.387316206156131,0.054777850935599,0.276096270227537,0.198919299074616,0.322648233058763,-0.176019422528546,0.314917365608867,0.110657948207587
"QDPR",0.173979928258273,0.170304030052062,0.234218456181559,0.106097792462913,0.159413183250729,0.162083357489726,0.213685667697487,0.166305962268748,0.188022946076863,-0.173351264284042,-0.166922181893405,-0.238696504164633,-0.18116119145748,-0.269446448137822,-0.319915661298229,-0.283683055028023,-0.285178734416453,-0.270919656112161,0.0859129359792234,0.01539804703458,0.103458449102165,0.0711839687108551,0.0752680316331666,0.0449106853198735,0.0230544977082854,0.0915371651164758,0.104439592449307
"SFR1",0.0257423528659579,0.0448005029061651,0.0875381725657061,0.13629187266287,0.10225457871649,0.0804141729284371,0.0723348078884936,0.176326624584545,0.0279977093933574,-0.0365414337071215,-0.0588897702500812,-0.0815315001247985,-0.00499837110888279,-0.0306995919216497,-0.0997275369342248,-0.311861855567653,-0.144661610243089,-0.285030517724707,-0.00808423626127563,-0.0542248053348384,0.0432591517734568,-0.00897027984739296,0.0988628646406422,0.159389779966148,-0.0144049322912423,0.116743014409234,-0.0323291639845706
"CLIP1",-0.017926518354022,-0.0684598871458881,-0.0832631034774654,0.442970354567082,0.422132355841017,0.430763208076559,0.128769022665971,0.0616879888032038,0.130192851123059,-0.24156501484498,-0.274336272658903,-0.322109907190043,-0.143426312875011,-0.093219928885004,-0.0932050551501309,-0.718595139219779,-0.645528147319144,-0.705319150957095,0.0407832130132721,0.108133168104397,0.0445548125981645,0.31602317547544,0.343146453744831,0.409556401841035,0.185570352439367,0.238718435787696,0.103952643996355
"CELF4",0.224316725782211,0.219346365059657,0.141035671059326,0.431775171550829,0.404166563155037,0.367331143850054,0.414378731497482,0.376139536144134,0.363403333099496,-0.397920487620102,-0.333386146595913,-0.355055563209794,-0.216818342934296,-0.319108662635537,-0.35643574686055,-1.36170789579316,-1.36513920143939,-1.35924927257425,0.304508003224626,0.137115214416246,0.387196691996825,0.555946112465252,0.546794945515058,0.518709424599569,0.218800014210213,0.211095016243647,0.242762655793415
