"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"PMS1",0.0241848789323758,0.0800094433259346,0.118594811754779,-0.204883185525064,-0.0688490143298388,-0.138649577087985,-0.126480982102057,-0.29013536706845,-0.289652017647363,0.0684285217240177,0.184720352882065,0.19646661294122,0.0549961360732674,-0.151243365693817,0.0323556736735835,0.0640804546432445,0.0667285593902722,-0.0067423394575119,0.112311256295003,0.133246713575407,0.171948374765577,-0.122529353678331,-0.0596288564981275,0.0447871714681334,0.0918813954648421,0.0759823539510531,-0.0619286517723374
"MSH2",0.00488514601187617,-0.00264481720625298,0.0502816477971919,-0.26720559129102,-0.0610968078794851,-0.0945675617071267,-0.111551662400005,-0.0301188113832769,-0.148396621027286,0.0466589003359008,0.20750035432094,0.0893766739595456,0.000661611317564592,-0.0457548039971538,0.0508678284596087,0.0794315152127432,0.0776697047451638,0.0103279891110049,-0.0232500235613653,0.0940574563865351,0.0888534845724518,-0.0270062034567733,0.0114693440505462,-0.0687543123803049,0.0284840553618544,0.0343479773517537,0.00547352729544137
"MSH4",-0.29370652973583,-0.213148477900514,-0.379663740495514,-0.476060406984181,-0.422648647626281,-0.505411555713139,-0.0631015627690417,-0.374788872659892,-0.195516538678699,0.363276225189797,0.467193131232216,0.514996455678522,0.586751130021165,0.568606749895327,0.475950176718603,-0.475087116337868,-0.501320111779541,-0.33801816707601,0.427744371892159,0.376847782736204,0.566813419741369,0.260008617694492,0.28334918200698,0.432355868805855,-0.214362531320953,-0.461806984012092,-0.409251868523183
"TDG",-0.283943759679609,-0.268927933779937,-0.312679006091486,-0.171891477014999,-0.142852424020786,-0.140659555118248,-0.0909701898103457,-0.0424739990550052,-0.240588251896696,0.149047565522256,0.30976621849879,0.24008612896262,-0.0323896842066276,-0.0438186940661716,0.0671685681602607,0.0905720223691642,-0.0998631045438128,-0.0481454219936879,0.399984189853313,0.364772139532009,0.405417930252375,-0.049734369045666,0.0188855908612915,0.0525371711833031,0.0208945156199416,-0.036010998149214,-0.114183172343134
"MUTYH",-0.144857357691261,-0.172954481630384,-0.0346579144001122,-0.191320929505037,-0.169259202774253,-0.188300270798558,0.0726906761663102,-0.10185551456995,-0.0725580426978372,-0.0325040005122528,0.191756708502057,-0.0559391383894994,0.0419760803701976,0.0376482218674727,0.0713187183799331,0.253215911714058,0.170877758292153,-0.00241238739726679,0.0930051494443234,-0.0583683016845411,0.20812033155007,0.0464201987482085,0.0562508700260018,0.180236100393037,-0.0446613827650797,0.0103673782836751,-0.164235178921458
"PMS2",-0.151859604809555,-0.152485208516472,-0.167328677355005,-0.201250086651708,-0.0289846224422092,-0.147007687510159,0.0049736748217164,-0.0572526922108594,-0.0461095099536859,0.0340227653151999,0.0834464724898734,0.131845322355918,0.100296377703801,0.128903631467825,0.0461137157557374,0.0169271507892592,0.0744800134719998,0.0571556445541415,0.0176399201414714,-0.0632648273675986,-0.0639815527316223,0.0424073017983577,0.0230111062542342,0.0481440446228341,0.0904573076840531,0.0779246671244991,0.101775353197993
"PCNA",-0.186950545823107,-0.0720772562567085,-0.138275075501101,-0.196156204058571,-0.269255673688768,-0.262388807703163,-0.41823725468597,-0.494768452087508,-0.480333993191167,0.202988634294092,0.188544230259073,0.267247467344347,0.15769572483841,0.043970949716952,0.12495560331789,0.177191608700126,0.170729759937036,0.181824077793527,-0.0537431986310057,-0.0743082640203099,-0.0788430707842025,0.240635403500823,0.316691159487156,0.259179246805461,0.167616758214482,0.101105689924889,0.124961482297291
"MSH6",-0.0864298665807297,-0.0770762171968844,-0.0767786635069339,-0.246027232689231,-0.159376336392528,-0.152587769039366,-0.209714270618933,-0.276446541608808,-0.258715967855613,0.121097663813499,0.168965176639908,0.185803162278734,0.028369486948133,0.1378714744414,0.171692970107756,0.140492599905956,0.105503198495764,0.0940013092941623,0.030832564251666,-0.0394431015808188,-0.0126850731206201,0.089892464067054,0.140119484806581,0.074381426769639,0.0543821620211862,0.0795268989574147,-0.0276510026084242
"MLH3",0.286892332808588,0.144136837894079,0.133929008670288,0.0275464144710664,0.000999162696691869,-0.116479239803649,0.229330824999696,0.112949298403827,0.221339096713992,0.00750052654339584,0.126551894418398,0.0269970233252081,-0.112913620589216,-0.159601086671316,-0.0242179948812318,-0.0829123845311734,-0.0624538581198664,-0.129106564642584,-0.0151087158003627,-0.0164005099460027,0.0402358702217018,-0.124986765106827,-0.12523435208311,-0.163782408943396,-0.0589475130817902,-0.000172550014310602,-0.166090726952152
"MSH5",-0.168611134860226,-0.19880050544505,-0.00428174478335386,-0.117407125214081,0.0763085515469619,0.0672045660608465,-0.0987017960351135,-0.171782597246333,-0.272631061447612,-0.0752247318147674,0.131576548702272,-0.0347995649073223,0.150521408640708,0.0211798989539407,0.00467438171620671,0.357286787806888,0.39672822463829,0.420264419695844,-0.549044624263201,-0.434509951896118,-0.259176036080213,0.175976679738289,-0.0388089617236229,0.101425043769483,0.248774277117024,0.0949752721996155,0.176883775130673
