"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"CADM1",0.374267735817876,0.38240404950994,0.345751109714524,-0.017488993423429,0.087195843974964,0.0724131913768833,-0.323783523152104,-0.270071223644475,-0.261098929970576,-0.0259888715640866,0.0386726014793641,-0.0957967836477565,-0.00281898810920111,-0.0766067473420264,-0.0138033067202823,-0.0626129311805066,-0.0848986798026292,-0.0970249839446975,0.248643733925659,0.253995524923985,0.216908968904718,-0.070483445554288,-0.0405760076180286,-0.0475925489960893,-0.191272301237497,-0.173621286393224,-0.164713207327042
"VCAN",0.522809180714118,0.537956574780196,0.556561248954262,-0.317244151811657,0.00686812267288595,0.00344263079010965,-0.517186788806544,-0.418468329342559,-0.419103352273114,0.0897848769464211,0.140624931907258,-0.221643427268109,-0.0372675717344464,0.165286429264377,0.0598203085216085,-0.00140359829993031,-0.0165753911550528,-0.02938432293349,-0.0277818013780564,0.067428328428722,0.0549027910471711,0.0800803199542681,0.0648628321688207,0.00212945371613671,-0.06649116608288,-0.133533870687218,-0.146474258093265
"INHA",0.216598003839329,0.318882813554761,0.374375315899294,-0.065773287831739,0.123209496039776,-0.187061149090896,-0.164994022906655,-0.202986832614118,0.0068460874536207,0.164850647700958,-0.0538616919765955,0.13196458869386,-0.24312096272959,-0.0189070837220395,0.0530416413325785,-0.296355459643969,-0.0631978996791149,-0.144907516719203,0.0707137446290291,0.138672697181234,0.0347648119976816,-0.0365171898498557,-0.130365506363006,0.0811368148731892,-0.0190226021606357,-0.0576386294088946,-0.030346828498991
"CNTNAP2",0.690070215945935,0.687632000109085,0.68456848310891,-0.353476235992021,-0.227847867830839,-0.222437451023357,-0.128298516626323,-0.0561731404742787,-0.0707893651741571,-0.0991207676903176,-0.0769978762423857,-0.217083419230221,0.0366855155640788,0.074927138837694,0.0702711934067821,-0.267473150835439,-0.298746726760275,-0.313267499033813,0.253541285326619,0.285417258152172,0.311338377293499,0.0814037219044685,0.0812163748105696,0.0350157411663758,-0.30759071021809,-0.313595687697351,-0.339188890797312
"NEXN",0.954717332099134,1.00840936890882,1.12930444652185,-0.156465504694805,-0.0994469318405313,-0.16385099903122,-0.196769838746978,-0.322873804729246,-0.167284827620567,0.0264287848188172,0.022188557585805,-0.221848647535623,-0.0918975509126945,-0.0205512056239883,0.101308620015896,-0.135519231589633,-0.261690798277693,-0.257424813546064,0.0281436801453214,-0.0826813295978868,-0.162708530375181,-0.264085551780496,-0.302680300836789,-0.161077442827634,0.0229870586669438,-0.136470765368752,-0.0881597738268463
"LGALS3",0.711144511666076,0.807131466535383,0.779545824918662,-0.113294848946777,-0.112583526665875,-0.184265343648373,-0.171139004765371,0.0265565132725367,-0.166196303543792,-0.133722225292814,-0.158935553155599,-0.112848593112212,-0.0780121545147532,-0.0864706156834005,-0.123824010800569,-0.176771671188449,-0.186611664624998,0.141826346296792,-0.116986891154949,-0.0528318707220405,-0.0534516272577612,-0.083327422957308,-0.269596531822352,0.0903573252173189,0.0728598035874821,-0.0610810296542885,-0.187470901982552
"MYPN",0.84354996826798,0.985067095482528,0.824691605572817,0.0751831840628467,0.075761264173801,-0.181787766684333,-0.0857409217776786,0.0386280429189023,0.00535519560725817,-0.141082410661641,-0.383407607092352,-0.383407607092352,-0.0972889079633159,-0.093762691330392,-0.182351155152181,-0.383407607092352,-0.142596837929878,0.041064911501496,-0.0524759638352377,-0.10813935398548,0.0406431698327303,-0.0207091574421039,-0.0813957922636153,-0.181290515250563,-0.0915814648734017,-0.234206610402077,-0.0853120665914169
"COLEC10",-0.0945266884905784,0.0464872317239449,0.190647293099512,0.0964233474080123,-0.0224013694971763,-0.160547603339167,-0.362167443747186,0.0598682062640679,0.185987944684245,-0.0198683228147694,-0.0705230921013573,-0.21654126758553,-0.0760487446181504,-0.0384698516564521,0.0389774534073188,-0.0463431325588637,-0.0220026142684242,-0.0786205494358905,0.000192070407120326,0.072089149240341,-0.0789033899735729,0.227563236074683,0.114062455308468,0.0653721818706154,0.0498394973058076,0.0315344530086392,0.107919550284389
"DOCK8",0.253767237223148,0.310945396472509,0.215707857658121,-0.150932473005922,-0.22168516121004,-0.212800217067669,-0.350782776442622,-0.195633829576958,-0.267194545204299,0.118444743626804,-0.0792376999775977,-0.150771322958453,0.0583744087866078,-0.0412319972736199,0.386421259895855,-0.115691086487763,-0.00807534826337708,0.127643153462238,-0.0944579475348908,-0.0861022022284814,-0.0723802311925938,0.08037057135203,-0.0852213364043957,0.318118045633865,0.0539843543465377,0.176804920606646,0.0316162257642825
"SPA17",0.283628187518145,0.174683794652918,0.111911662928176,-0.000653883323215254,-0.0942063555218251,-0.176335925207368,-0.825769354507567,-0.448408091310274,-0.605446746658082,0.125738533278682,0.160196446471145,-0.0282671632256264,0.0539753708415116,-0.0359806216078429,-0.121010020646763,0.103238015615716,0.119702299571401,0.0723373624575583,-0.125068315511571,0.12147510569484,0.170461156670182,0.156349974037473,0.135845251781218,0.298769105020847,0.116986689053242,0.186025496639946,0.0698220252870527
