"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"DDX11L8",-0.159012521686852,0.0341295439700211,0.0374830162664264,-0.159012521686852,0.0374533166279187,0.217421936911946,-0.159012521686852,-0.159012521686852,-0.159012521686852,0.0833126747438593,0.0473864354808358,-0.159012521686852,-0.015777443574259,0.130632394075108,0.0420439302533193,0.0409712466076462,0.151633408332811,0.215635172498,-0.0107559556266184,-0.0212219032202654,0.0414460082877879,0.0977907795867576,-0.159012521686852,0.0431045701549371,0.047515308371981,0.0518957337465888,-0.159012521686852
"ZRANB3",-0.183875333796719,-0.0648288222649303,-0.0257210035062148,-0.117347619979983,-0.0618258180297051,-0.0974266456254878,-0.160571793786485,-0.317224254595644,-0.202488759002701,0.0600286883700321,0.174531865415112,-0.0343281782471809,-0.0491514536827555,0.196154799798665,0.0870176946605117,0.24364360137659,0.246129063427498,0.0479089466831297,-0.000628696012663355,-0.231779162046569,-0.223101839283034,0.101925545082741,-0.020014340372569,0.14660723831752,0.108326665570619,0.198985673425927,0.179053938104312
"ATAD5",-0.289540166605454,-0.233935360390092,-0.261952959741052,-0.00477605691932048,0.116246983299721,0.00349130420784149,-0.368766980751431,-0.278925156663259,-0.408745724466032,-0.0551140537088521,0.180786295783317,-0.119320048117562,0.200659378306314,0.247330112676497,0.229581647221092,0.28191139097202,0.191209126966735,0.0771179522841958,-0.185047581728186,-0.236404553994346,-0.129876577672466,0.20052948759411,0.110313184221432,0.0758539761989887,0.217612571494247,0.254209251919812,0.185552557611798
"TTF2",-0.177236157474063,-0.053623030627147,0.017524417138203,-0.36876729368295,-0.264849642896632,-0.211987960038396,-0.715826980846311,-0.624996728681696,-0.518006545293671,0.0648186590237323,0.276022724862649,-0.00763766560139878,0.416493932801005,0.315741308102876,0.286443777020397,0.289086105057537,0.445196591063283,0.144636636978914,-0.246211178270405,-0.279556813542941,-0.223642138947042,0.343525223670866,0.227148324219094,0.326438298313736,0.187948861920807,0.140145180242206,0.211172095487395
"KNL1",-0.26111197930218,-0.101476700655024,-0.0468749060719524,-0.379828234808931,0.0370837638260397,-0.0806604855346027,-0.989881922368077,-0.847159560328715,-0.861086302492891,-0.000545772847871717,0.139571964084316,-0.0194935052917611,0.317685882224534,0.427661323114409,0.478875584829886,0.242702049675826,0.341553074161364,0.2192275363939,-0.345863181181009,-0.101399431368819,-0.202550684428079,0.460339321594956,0.448398456159659,0.437620633820325,0.26878184670842,0.277937840267754,0.140493389818607
"NCAPG2",-0.12397253126818,-0.128522280389221,-0.233280241918944,-0.229361933287199,-0.108353963787824,-0.0904413064112131,-0.67853134333423,-0.763983186968421,-0.695640985152856,0.116538131374329,0.168918143228071,-0.000754054685465633,0.256086982248155,0.346964789882515,0.241390179311082,0.286036284666025,0.373961857469322,0.283632567262822,-0.277315123400554,-0.335485543651883,-0.208825506437961,0.345648133962888,0.457114002977068,0.36396531673047,0.18351037307502,0.230032264313788,0.220668974192417
"INCENP",-0.176293388411562,-0.28034745326628,-0.27434734536914,-0.250598628552346,-0.0945329286550667,-0.012791709248928,-0.44751572982957,-0.488226048332667,-0.399741781485297,0.223686884919996,0.200262847093349,0.0304200108780286,0.211456694999907,0.318509781697662,0.159816754211086,0.141567320774239,0.175345175948211,0.284479437287789,-0.148189306043733,-0.109178581928331,-0.208533240970054,0.19523922501806,0.300994977956739,0.258794087055666,0.13968832276141,0.166506850019346,0.0835277714715179
"HAUS6",-0.0674108395929807,-0.0857514833636763,-0.132759982421206,-0.186720385050062,-0.00952588584342173,-0.155781713587205,-0.302740871114986,-0.257444855700463,-0.332485555062915,0.0501229992651968,0.333240087777478,0.00801472533877323,0.087927690773224,0.137707397251797,0.119124573055201,0.167347248997672,0.111157825790089,0.0961101198381016,-0.0576752827388898,-0.0494170728817647,-0.0659596161252107,0.120901737955041,0.186135406988054,0.0497174141311305,0.0972770629194102,0.128262162059203,0.0106270913423838
"CHTF18",0.048055782437018,0.0088253258206521,-0.103026546063072,-0.0158513909238884,-0.128872911572719,-0.0784567127117022,-0.334708845150594,-0.434935791832343,-0.31505725642233,0.155370679491913,-0.104576142230556,0.0411943654820259,-0.044914755455153,0.218982465194577,0.12466573544166,0.215083618578287,0.216774802152173,0.32882064282698,-0.169242990923182,-0.0640691366981336,-0.144669188462835,0.165862534968564,0.101037405331887,0.0796976229312332,0.00775363946552687,0.00147441987021679,0.224782628453735
"MSH6",-0.0864298665807297,-0.0770762171968844,-0.0767786635069339,-0.246027232689231,-0.159376336392528,-0.152587769039366,-0.209714270618933,-0.276446541608808,-0.258715967855613,0.121097663813499,0.168965176639908,0.185803162278734,0.028369486948133,0.1378714744414,0.171692970107756,0.140492599905956,0.105503198495764,0.0940013092941623,0.030832564251666,-0.0394431015808188,-0.0126850731206201,0.089892464067054,0.140119484806581,0.074381426769639,0.0543821620211862,0.0795268989574147,-0.0276510026084242
"DNA2",-0.00610380146981626,-0.128718914078082,-0.181238152984339,-0.061373912341331,-0.341758796497345,-0.195908530686552,-0.533161424688911,-0.296780325725585,-0.378485258184019,0.138835999628443,0.145596340353913,0.089870527382736,0.105829699482898,0.126298680641867,0.12845187599372,0.25452127003466,0.0618040613655193,0.13496582903861,-0.0211993535731452,-0.0299389841371127,0.0449206123992631,0.142097112740055,0.24925002408226,0.149991079912756,0.185964788487862,0.191497082785231,0.0247724700364333
"RAD51",-0.167390200301032,-0.154024416630573,-0.0724808904441545,-0.366420566749378,-0.145803597753041,-0.249828324387106,-0.728225577883375,-0.617791704210392,-0.536477491230741,0.184127585030978,0.189672059516624,0.164738302407075,0.173601592535828,0.113138093389255,0.230987374269732,0.431544526492702,0.212241518534105,0.0832079618855932,-0.00330379588858953,-0.177570961629739,0.0257481442317609,0.219337498121439,0.277164790046594,0.355523107793976,0.182491995124707,0.23589106832366,0.13990190940409
"BUB1B",-0.0959940292441797,-0.110705163146104,0.0633593535627739,-0.274697076636903,-0.146906445154787,-0.232083097435764,-0.96622303932998,-0.974707210916415,-0.953181759976845,0.24363652089208,0.397115836467155,0.135793769275619,0.236657299570357,0.364090278163298,0.226145397631319,0.356165182177703,0.351564973133138,0.264136261044058,-0.141499833745465,-0.193637566477166,-0.253549711199893,0.350981536932634,0.411254375874661,0.383471761756233,0.246426738807726,0.190672741986047,0.1217129059887
