"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"FGL2",-0.182262031879252,-0.114866646661809,-0.0355355057502482,-0.120806628973045,0.0568553664466123,-0.0647121644063304,0.2541794220294,0.122499108326898,-0.0341359688616576,0.176816663142252,0.302806849144173,0.172613204568487,-0.12593369581148,0.125046365641814,0.0205072547257217,-0.234620677205839,-0.111900288592978,0.0414988637729206,0.00882942107341655,-0.242556713680421,-0.0490156592498661,-0.249839321915282,0.206324900623377,0.090194114728992,-0.0316962427776364,0.100893351057707,-0.081183339515916
"KLRF2",-0.146226170770019,-0.0928712944636514,0.0261238351838164,0.040644887869278,0.092559425276777,0.135891581931645,0.0674351077835809,0.0509499493802279,-0.0937946937874292,0.450427720757406,0.415551451645316,0.229855178644196,-0.035727006198953,-0.0471183455966022,-0.0408134808799536,-0.287646177618456,0.0464462269851431,-0.0793952720726807,-0.00794236297276729,-0.287646177618456,-0.081786907958878,-0.144411099505864,0.0360514144722774,-0.0865897256782855,-0.146179738353345,-0.00968904314720387,-0.00409928330716092
"TRIM38",-0.296992483694944,-0.108241435470878,-0.216156014382931,-0.203152011910635,-0.352850093628995,-0.150681801880345,0.0805369929859676,-0.0191497499529021,-0.110075834613875,0.829133752441387,0.791934826389277,0.979907497281423,0.0635820825732658,-0.130061788515187,-0.0257815726975741,0.359825272152031,0.243655459603279,0.123590877487674,-0.127328935592709,-0.496910665265558,-0.29105139560598,-0.146773643690119,-0.0879730069078013,-0.149230762610697,-0.496910665265558,0.150518871726586,-0.213363770954262
"EMP2",-0.212412441095221,-0.336725222824361,-0.145821345306128,-0.178965442477656,-0.254940321520053,-0.055885268775107,-0.159773515933264,-0.23908560313161,-0.212661017748673,0.871277635062224,0.949575090595125,0.787164826559964,-0.299852652523358,-0.15755965316569,-0.244619361485547,0.24027601306091,0.171385536964813,0.137544009376413,-0.198737866789992,-0.127062134790465,-0.255403170862449,-0.0712517297723547,0.0222682792906141,-0.264684978800572,0.182087772932665,0.0178659163441779,0.0359966468156294
"A2M",-0.00577052324350991,-0.262202765904481,-0.0425781495758404,-0.0556505956187552,-0.06199853924808,-0.155139676244687,-0.155874640289772,-0.104599431699421,-0.204553020078529,1.00074299878336,0.842487314303344,0.794311773596637,-0.30219932006263,-0.272998539381203,0.00399827996126234,-0.292227360377471,0.128061586749356,-0.238558774198829,-0.00270099872055241,0.172285872948891,-0.050055569357526,-0.170127007168203,0.088663710949028,-0.241979401087566,-0.0505269388455529,-0.181614285780939,-0.179196000408269
"DYSF",0.0682425338948738,-0.134051190796279,-0.0775590310667846,-0.0775978110159841,0.0948264901544826,-0.117199620850694,0.0143196646073038,-0.0462683359567624,0.0441090500708716,0.626396114102309,0.549334813975359,0.403398990066243,-0.223634306332073,-0.113809297320833,-0.128634724787419,-0.253745493295034,0.0767000920634295,0.125155435909117,-0.0387312643503614,-0.130800020066013,-0.166995399246463,-0.0227898752307469,-0.245840324173385,-0.114593580301663,-0.102656424957397,-0.113075799398938,0.105499314302775
"PTPRC",-0.189952647519197,-0.0837851301942036,-0.273774471585039,-0.472454359988883,0.00337932140177344,-0.272239693918073,-0.0627839233881113,-0.472454359988883,-0.0623064523547692,1.01752177881181,1.07015170885412,0.993250885733778,-0.266676275927178,-0.194823556761349,-0.270834519580864,0.18853343071553,-0.260872981008502,0.0559853650011854,0.0488035632799679,0.10790688721599,-0.0881374692546046,-0.0441472680055996,-0.472454359988883,0.174144899970275,-0.0734395040592659,0.0269186792913096,-0.125459546752335
"RNF125",-0.272498559281404,-0.00465453413297734,0.0392897866808495,-0.196400477572812,-0.154129550433909,-0.215517561429956,0.304930769763624,0.117447831513642,0.0926968466960307,0.423807459885293,0.413236853658631,0.466601082289817,0.0682515743937042,0.0653045162486139,-0.130745307520753,-0.43824160013998,-0.503788581946673,-0.2434464166949,-0.158395265229132,-0.105584012269499,0.0254511084573918,0.148155066114946,0.111643031696428,-0.125480717707297,0.193174003043367,0.135528838488854,-0.0566361845718699
"LEF1",0.0194966338264386,-0.0754406575419075,-0.0851728092456057,0.221411487801802,0.086213063413334,0.0919926279606518,-0.0902392330867112,-0.103673454396942,0.00686889483766961,0.80052383168616,0.879418433265771,0.797103787781888,-0.464204174139374,-0.595245415560045,-0.607284850250156,-0.438448305795021,-0.460556515604818,-0.362061296654602,-0.262584931126238,-0.212781677479517,-0.147519248672253,0.185232603564891,0.0619113867603165,0.136477006084334,0.153157465588546,0.231997903457707,0.233407443523706
"CASP8",0.129010534166254,0.00662695415170766,-0.0667450138045496,0.0627819484205974,0.127219684672787,-0.0729832875667249,0.0627800099869642,0.061698192316614,-0.214150401377968,0.547796717772617,0.449148248721767,0.431341208522077,-0.256152112530334,0.0346293734378138,0.01412376204678,-0.406830340047042,-0.276227261611729,-0.285195703546307,-0.200907476011339,-0.0751677203955294,0.00893045086801258,-0.129283620282258,-0.120528437129332,0.0335451169541647,0.00728330300492619,0.00427412829985752,0.122981740960149
