"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"ASB15",0.133394997940401,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,0.138827531200763,0.129264081216381,0.127328300200814,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,0.0724527723776935,-0.0665231836302134,0.0825080255092256,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,0.0794850954009627,-0.0665231836302134,0.219595515498822,-0.0665231836302134,-0.0665231836302134,-0.0665231836302134,0.0726165045991181,0.0754212977694682
"ANXA8",-0.114771464790451,0.160473427059615,0.0839084236133933,-0.114771464790451,-0.114771464790451,0.0854432012803592,-0.114771464790451,-0.114771464790451,0.159170485529153,-0.114771464790451,-0.114771464790451,-0.114771464790451,-0.114771464790451,0.224994609459559,0.086848375617568,-0.114771464790451,-0.114771464790451,0.140172405442939,-0.114771464790451,0.0916274923772367,-0.114771464790451,0.0877105030404577,-0.114771464790451,0.41462922615061,-0.114771464790451,0.30136528707633,-0.114771464790451
"TRAT1",0.129364573340836,0.238890288224429,-0.0758098488323773,0.143117433756449,0.237521544121392,0.0287605850516295,-0.216353207275606,-0.0205659424290117,-0.216353207275606,-0.216353207275606,-0.0232111416187335,-0.216353207275606,-0.216353207275606,0.123412866974403,-0.216353207275606,-0.216353207275606,-0.216353207275606,-0.216353207275606,-0.216353207275606,0.0752911443702224,-0.216353207275606,0.419322004629465,0.515468749317337,0.27416504582784,0.0662410376238114,0.263611137505396,-0.0156941978313956
"TARDBP",-0.0293440273401728,-0.0569511261698086,-0.0560959288290839,0.0324002964783325,0.0660934241164703,-0.022361913200486,0.00144412268017646,-0.0866806216733274,-0.0344697609401319,-0.0432507317394553,-0.0568377183134192,-0.0410727337628689,-0.0203180619220369,0.0638006928493606,0.00904613917184527,-0.0170272124247504,-0.0616464731992235,0.00906458176600999,0.0192080756621724,0.0484177969937711,-0.101016790096786,0.0613869990415026,0.0094530406605493,0.0577677518982593,0.117323068744117,0.0801220625854757,0.051545046963497
"RDX",0.00714291121935773,-0.0611781670956546,-0.0306214105483296,0.0661711220262458,0.0752920716171666,-0.0136071819625236,-0.00101461799717306,0.0242302231590905,0.0571703207283214,-0.0157075135986595,-0.0516643648043615,-0.0416541976188096,-0.00266096948571182,0.0982440092706263,0.043201656453487,-0.120587394380159,-0.0994852007600624,-0.139735425502607,-0.132871553381742,0.094938141486077,-0.0980293602234088,0.0661109585771591,-0.0144362644245088,0.0175121957878961,0.0947894576527855,0.141697422226718,0.0367531315787186
"USP7",0.017242779221851,0.0169898371912147,-0.00267151864703408,-0.0206819692532427,0.0383772236066964,0.00089797938551861,-0.0502887210082523,-0.0191916151465428,-0.00308467312415495,-0.0179334748144626,-0.0212731571994524,0.0326565177603406,-0.0894384190335895,0.0716180964047695,0.00875140023264542,-0.171480055686763,-0.0647154859183878,-0.0860309981763443,-0.0196132958798021,0.134615340001359,-0.0687298845834796,-0.0118258339590369,0.0184522996340171,0.0334244592413846,0.0894916249857758,0.108932566611672,0.0755089781533229
"SPAG5",-0.136989526805259,-0.00933028428314486,-0.0280855243010087,0.168519569211517,0.135769145292244,0.15267310872389,0.158381821457258,0.100859919974736,0.141760778850987,-0.188888671779361,-0.244484761828629,-0.165216386298528,0.0607211252587501,-0.0579446950780973,-0.015889175800913,-0.547918866975436,-0.495997527399668,-0.466595903566072,0.0114021959427237,0.131558929576167,0.111466614622989,0.179165301742907,0.145550642306715,0.0892954248714819,0.268379312232772,0.182009968484804,0.31982746556611
"CHMP3",0.0122849466587933,0.0153780063201783,0.0868441534833,0.154029408995534,0.145871783135306,0.120294944144312,0.0761967133483168,0.00491789745970195,0.0455110584739451,-0.110299519392957,-0.128220773838176,-0.0724088853563654,-0.0342149942245786,-0.00582437381303968,-0.071719553945714,-0.455702191127461,-0.454864403831271,-0.496399418017313,0.0637973342416487,0.16623199965211,0.112299688153252,0.116808722889365,0.16045411469528,0.082968353547674,0.162486005411997,0.118253013036361,0.185025969899851
"ASAP1",0.0700097204150154,-0.0173633265886455,0.0220918623176125,0.371942228640371,0.317128835530806,0.16867052341639,-0.00614521959022518,0.097130569898404,0.0973582116492864,-0.291763330439515,-0.344354653945823,-0.320986077753865,-0.23193621627372,-0.119631618557998,-0.118823536894189,-0.534384644561291,-0.424689719264311,-0.402190284094036,0.163505016622807,0.206109263058803,0.0556012676335644,0.250506963248478,0.191483231708801,0.167915665167355,0.231410091881099,0.192785757325296,0.208619419449491
"GLI3",0.149973278734656,0.0312353835618566,0.0758993467407016,0.162225446233137,0.23352206865122,0.0824396389873261,-0.0531946157103036,-0.0045622016057365,-0.0672236105367929,-0.0756767684874973,-0.0851372637568009,-0.0709020552265596,-0.15650363102587,-0.105793771554364,0.012758955432929,-0.397358029625778,-0.255391744812782,-0.332700368135351,0.0700803241962706,0.155870578656703,-0.0429979495886723,0.0681640175367395,0.158835934190574,0.0134112742481047,0.149319130270037,0.141723264665146,0.141983367961108
"CHMP7",0.263450742841664,0.424575352091768,0.311182712041349,0.104809313148268,0.109508412557549,0.15005151375909,0.148844127352699,0.0592043868144003,0.103907543923517,0.0141730780825124,0.0989019022588682,-0.027598880010359,0.0201219106846153,-0.0018449898136037,0.00849781552638085,-1.02487175528964,-1.04080355387474,-1.15951970396057,0.186443554932405,0.197624912826141,0.199353105342301,0.254359331266826,0.0742289646686771,0.162987576726863,0.0705563864594261,0.163440769550002,0.12841547009365
"CDK1",0.0242270167200633,0.124647581690366,0.0941624688877472,0.297091373041184,0.198723821066084,0.227117484109215,0.131456234218527,0.0594482981524678,0.110921987384629,-0.0779520912620058,-0.0752891686452148,-0.0117507555303327,-0.0203129511035733,0.0124598537920075,-0.0915787311371545,-0.597241243965025,-0.543915962732303,-0.545240014857058,-0.0525796931638318,0.0561233257934841,0.0172146505439237,0.217704401725809,0.0808418360815022,0.133037052813345,0.135031051149229,0.0453561913980582,0.0502959838288533
"GRIA1",0.364055252101759,0.336049598732126,0.220772782070824,0.586599545274463,0.609982691281841,0.460528778745966,-0.418845199882631,-0.366234664607198,-0.4159956373536,-0.370341612131387,-0.427091996309921,-0.388517695608865,0.16863425037578,0.203807098706758,0.228300625318472,-1.18243584098126,-1.11086695087739,-1.10640798321446,0.41454875029847,0.41804669123422,0.374164422246842,0.685577973577395,0.664994137541054,0.596256401947329,-0.206567461454867,-0.14239521599751,-0.196618741034136
"EXOC6",0.213284990919556,0.118365212669191,0.151857708175966,0.357592323160311,0.379770785512761,0.217851149495949,-0.170658543731411,-0.15497644609313,0.036356261032612,-0.132900374343645,-0.258019560388469,-0.252492232000202,-0.00803104180854852,-0.100179190378361,0.023788972546992,-0.405623179681111,-0.695495114523322,-0.543480543724673,0.0268105254362716,0.136970174567335,0.0206580195736876,0.322229480927902,0.335577458415628,0.388219389089382,0.0395833380925037,0.0929479263927817,-0.14000748933594
"LYPLA1",0.204805729563484,0.178897225377344,0.159307951059899,0.14826282704967,0.113451533562724,0.160420456494396,0.0811415490000282,-0.0865003778374724,-0.017709050409378,-0.119164998307433,-0.117756925049967,-0.056210474813847,-0.0979192109709697,-0.0485333068331872,-0.154575413795991,-0.267319669438713,-0.375992465611235,-0.283394042235205,0.0246647297482756,0.139215693956942,0.0656197193565031,0.1036666653801,0.0639229669459773,0.129113922537094,0.0313525137711004,0.0416407202100668,-0.0204082687102574
"VPS35L",0.0372161465270313,0.0750246205686373,0.0690244041052175,0.213633242508251,0.119019649751985,0.0643622913568525,-0.00379386323970898,-0.0610679234064975,0.0312273593211216,-0.111975266610706,-0.0538138093048754,-0.0573956518928984,0.0133048805904821,-0.0847119629248425,-0.105367255752903,-0.255993709615037,-0.250175008471258,-0.202498747769251,0.019406226159898,0.109160603947577,0.141833997487986,0.112874380536725,0.080899970787689,-0.0221627500399375,0.0167688380481916,0.0323017755622015,0.0728975617680625
"CHCHD4",0.264764392055691,0.221937109960043,0.184187461825212,-0.0236309830021852,-0.0286209090851486,0.0959834470937526,0.118811690993898,-0.00324974710488846,-0.0734070598607381,0.0912561863906287,-0.124792813960184,-0.140087413132617,-0.0958554540431162,-0.0624897759335852,0.0152224677453479,-0.129164089776843,-0.393687970773541,-0.387657497542763,0.12653902994416,0.185689180589913,0.19449698164879,0.107039422772482,-0.0744679670220378,0.0654137443531102,-0.134120258326794,0.0880563211131058,-0.0881654969217216
