"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"TRPC5",-0.0416233783564026,-0.0930365146366263,0.0611378617393914,-0.141599678231109,-0.172126386052156,-0.0924206659973592,0.292583024845257,0.392461677545171,0.396158597747988,-0.145451377164368,-0.0392394600779715,-0.234423255996117,-0.367312609946858,-0.208986428365847,-0.363351752388121,-0.250256054651685,-0.402002581923839,-0.166451213199517,0.00317734066884778,0.109138289488683,-0.109680951885373,0.0715065031846134,0.355646872706298,0.145960449903118,0.266282318988729,0.404119124653127,0.329790247402087
"TOMM20L",0.138117283851819,-0.0376709057850828,0.0367152178513264,-0.139069437885654,-0.0476003216430954,-0.0568570353232571,0.042198043422097,0.148023708538267,0.32218316794059,-0.103414155688454,-0.171751036734789,-0.186639760376629,0.0591989973035458,0.0146934518841286,-0.253701290070418,-0.209096076994469,-0.0455215150460289,-0.138287992449091,0.130915703826389,0.0127043201419541,0.118563725541112,0.0333229034422731,-0.0440059734583338,0.073809572153757,0.200246154923421,0.0304285408090283,0.0724947098255928
"PEX7",0.181445584270481,0.159628159787427,0.0761514118209359,0.184630381234456,-0.304396833125079,0.225016161705383,0.100305837006381,0.0754616330454034,0.15997683674216,-0.0236599718342134,-0.0735344757990006,-0.292945659596118,-0.0153786209699636,-0.0388980969009562,-0.0663624757456791,-0.220757376678289,-0.221550625163596,-0.47522771529314,0.0104913736825267,-0.0643215313420225,0.1730430868129,-0.241685272572742,0.226877076993301,0.13494256099775,0.108771350614299,0.125790983623626,0.0961862166837602
"TUNAR",0.425359419539332,0.358409192045487,0.355627989390863,-0.0529677165677569,-0.0436246959091608,-0.038030040324406,0.0302125141184089,0.147952541748111,0.146967982918408,-0.234300036795785,-0.392557802854222,-0.304650348813542,-0.162625593422948,-0.181593098409829,-0.134134323887386,-0.296770652981282,-0.245681501891122,-0.276637632497673,0.386068662869913,0.359461323147885,0.340203439060581,-0.161595239450794,-0.153000145250102,-0.0878196057096616,0.0431394420396511,0.105441376739959,0.0671445511470132
"TMEM178A",0.207295238496453,0.297171431729351,0.162740935772048,-0.000615265015239785,-0.0631168630325121,-0.152704213669603,0.125794282123479,0.171094344183247,0.00657765519796705,-0.347967695449237,-0.318241060801862,-0.434598266752504,-0.0261396100481655,-0.0479233295425541,-0.0672144917561237,-0.287257443175239,-0.17079486543812,-0.161116079038928,0.0858769809799753,0.109051586474118,0.24815190965681,-0.0122560574166837,-0.0463682635115603,0.0685410375237296,0.199118430711962,0.310799148329014,0.144100523470184
"ARHGEF10L",0.199768353607446,0.299149078920573,0.21187878917006,-0.0873205646265838,-0.126286183617326,-0.0386463937918027,0.2384008574983,0.266870794541111,0.249465245551553,-0.244898430427851,-0.382411065988521,-0.297153533364295,-0.0369921134061038,-0.0995216413859144,-0.0832013815356021,-0.403782038136701,-0.353258657624657,-0.411755262969896,0.292004665094439,0.0790986708748207,0.174520278021511,-0.0614054741311509,-0.132705661890068,-0.151967092517287,0.308114325784775,0.250918390297606,0.341116046051537
"BCR",0.198058720962369,0.213025843325253,0.196717943928721,-0.0186592247543516,-0.0459969170808758,-0.0629039191563923,0.165109493063451,0.191803051963751,0.12638255461534,-0.272142314004739,-0.254192155184025,-0.277211232206945,-0.0150964288583673,-0.0849851901735406,-0.102552875286355,-0.350957524920599,-0.299352005108457,-0.288661526738325,0.282223779923308,0.145590886612695,0.234684818935687,-0.0275951247964805,-0.0340032648098543,-0.10056168542882,0.148615789497619,0.127771739703899,0.204886765976068
"FXN",0.14613322510068,0.0186436990354935,0.0854845349830438,0.0251234928019048,-0.0638297993821073,-0.0350678403465228,0.0916801627385428,0.0224583630782771,-0.0259349168490424,-0.193439930763917,-0.135957488684761,-0.2294582730076,-0.0656230873615193,0.109606792647639,-0.085453879910574,-0.303018085689011,-0.153362210687,-0.181315410764745,-0.021182424747618,0.234295248223267,0.212131923386467,-0.0742929198579283,0.00859065514102397,0.0079086754677764,0.244506476321948,0.242327977619727,0.119045041506496
"BCL2L2",0.0389073118094991,-0.0273908763968915,0.122103542047308,0.0992044699752821,0.00792478470085101,-0.00732066221277883,-0.0308573238227865,0.0143573374990211,-0.0194654672438848,-0.0660819916881952,-0.0540099215256671,-0.144860948525203,-0.0665632288371096,-0.0234472545068574,-0.0452993637451709,-0.140975567170404,-0.0578079223556216,-0.0999372484641938,0.116523233745648,0.0537030315634208,0.0890041878191941,0.0235691582181037,-0.0407269344641783,0.00573489332609256,0.150515865216464,0.0944069935506668,0.00878990148740577
"GSK3B",0.120427521809424,-0.00437107722321173,0.0645885167241271,0.0415191592294146,0.0372861655273162,-0.0747823074612359,-0.124052254072401,0.00647202114853584,0.00614054555475896,-0.09653332590476,-0.157868950230174,-0.0858059316442894,-0.224165956688815,0.0566339769071824,-0.00632446697764699,-0.12520554383541,-0.0813210314713313,-0.100836847954229,0.110462987115106,0.168446181345546,-0.0680625313809795,0.0690371085637427,0.118726574061329,0.153519214381657,0.0839698221645158,0.0755783087839834,0.036522121527895
