"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"UBE3A",0.120131326112118,0.0586135734099198,0.095138839191943,0.0464364698391719,0.0588167631464085,0.0303574043308448,-0.170600331139923,-0.177190109669732,-0.113276315144429,-0.00623982057944161,0.0546890946630612,-0.0105614094479094,-0.0345447233649558,0.054542897814672,0.109631267658958,0.011386081576525,0.00189218899305565,0.00710614682626165,-0.00938531246200114,0.09127638440855,-0.0178427553464431,0.10753725399363,0.147604971341924,0.207529003232093,-0.169304209197712,-0.237867714641173,-0.255876965545442
"YWHAZ",0.0271590982015031,0.000118454388974953,0.0783700985707814,-0.0158726712625938,-0.0188946419978926,-0.0456637774939423,-0.067614098613765,-0.0686372569829867,-0.0417441074135585,0.033865155405028,0.0303007849905281,0.0819035476722068,0.0634862925917332,0.120121657362558,0.0654476996649862,-0.0337596320578708,-0.060234011807534,-0.0463590008270653,-0.0381126893645813,0.0386902380922383,0.00699080321385814,0.0983543751275384,0.00150605364290968,0.047218440108237,-0.056249171784355,-0.0988941969225898,-0.101497442504311
"TRIM26",0.117287919127476,0.238327239983587,0.169319615091545,0.0285835677145219,0.0190024568588996,0.0446981638752515,-0.224040122997206,-0.299140111149768,-0.304624669003291,0.130772225047538,0.00173450298795252,-0.0138685498672064,0.224415598180533,0.137624215476372,0.182755829002433,-0.0836820713853434,-0.0726332517145405,-0.196775395432567,0.181350888422143,0.215482897885742,0.185636744895612,0.0671515313541438,-0.0699140252930874,-0.102313072126089,-0.135070499323735,-0.265366603469197,-0.176715024141819
"PSME2",-0.0441298747179761,0.0460061469182698,0.0871661629104228,0.147702397311562,0.0105420146492143,0.115575965862238,-0.199803970387787,-0.244995211833622,-0.180599734072924,-0.00755694989364386,0.113332713895883,0.0660826642478547,0.237813144238771,0.205833483679124,0.233082749499907,-0.125346736289105,-0.110031590549275,-0.145644763385956,0.0265493840726521,0.0561688740494795,0.130734326173208,0.123451539445599,-0.146313225935332,-0.0230526613164219,-0.100400120391971,-0.179833321956643,-0.0923334062235615
"PDCD10",-0.0188870608615215,0.189753761662033,-0.0634635858488419,0.175949146923388,0.082207426921963,0.0438132076359157,-0.0354316092553706,-0.179377773399064,-0.126969633541711,0.0336374832616091,0.113240307425693,0.0242419007722212,-0.12995332536201,0.0289003158467089,0.0227188261739251,-0.0515174989996847,0.0214954119972113,-0.0488033501333476,0.000849830467757329,0.145602091992103,0.082082334161905,0.0748048231324265,0.0287667464972721,0.0186586344728923,-0.0520620394899787,-0.209589924573709,-0.170666447879789
"SPCS2",0.0328260649323528,0.19054704199794,0.0938483534733834,0.0226287201128095,-0.0777004232823479,0.0244028884007186,0.0683343114607133,-0.171837719180916,-0.163758307228116,0.00462170452859567,0.0752027021284718,0.0414741403828334,-0.00176925383891025,0.106658319017786,0.0504971839392923,0.0681645673230822,0.0644822852481219,-0.0834258655731777,0.0286045050124564,0.000614386797149535,-0.0525176337759294,0.139975040080634,-0.110567017049483,-0.0165077235479707,0.0319449166960322,-0.248200053624341,-0.118543134431249
"TWF2",0.0514971472609353,0.346114446731915,0.150066957248892,0.0113319367549174,0.0266830303516201,0.0957033657532644,-0.17107586062267,-0.0653006864818497,-0.107104495686983,0.0546863035272462,0.101833985796336,-0.0380239101708391,0.12508838948361,-0.0638164767456342,-0.065778218355744,0.0470821400008727,0.0925513421934028,-0.105747268928072,0.216633668947123,0.0199190197509811,0.121386868311809,-0.0645502284203268,0.0189218247140861,-0.0637219127142732,-0.252678667960478,-0.277779492991321,-0.203923207748803
"DAB2IP",0.154553067044423,0.19556625742285,0.164783180237633,-0.0635865447916579,-0.07769432402206,-0.0382615474745212,-0.0742456580250934,-0.0463639817929042,-0.155693997057964,0.0810608931821886,0.0554903581612631,0.0461771950065977,0.115751267069939,0.0811033005461201,0.121358012780561,-0.125265957820465,-0.0620895525960279,-0.0239098447525041,0.0508965556056786,-0.00828913313605106,0.0160128754651669,-0.0104681750325533,-0.00950996118216807,0.00105401376282011,-0.16617362964104,-0.168255597590885,-0.0539990713692635
"LPCAT1",0.0433538688771957,0.0774372520750202,0.0701046296223549,-0.130188445335596,0.0514813936803318,0.0742848550967388,-0.0480444999673679,-0.156532326726463,-0.18373823050722,0.128402509239818,0.108611180493297,0.0810471457748232,0.095696904241457,0.0668517486067248,0.0236232063296082,0.00474516096775801,-0.0174699682418886,0.00113436362763508,0.0819101554399335,-0.04299970684154,0.012229377894835,0.0193075798661351,0.0207704492461023,0.00182560001044862,-0.20966124179917,-0.118404036357695,-0.0557789253132945
"HFE",-0.247453123930115,-0.00020390098387324,0.203468272145367,-0.0605820652908182,-0.036726464816387,0.0346646287715489,-0.0987074711764437,0.0888877845341032,-0.151543571335032,0.144139653347459,0.137538209497682,0.243268412401947,0.0919007044789302,-0.0220242540281816,-0.10397069526553,-0.130972253868627,0.0331625192327012,-0.0600259594121155,0.113616410780695,0.0476713340850337,0.0698973833117211,-0.0387361092031133,0.0446908950617733,0.121472081689232,-0.0430422905335623,-0.192176008160035,-0.188214121334342
"TRAF7",0.0337193387155121,0.0870641492799447,0.0538993948767796,-0.0975873425878113,-0.0602559254602131,-0.0628528788903271,-0.0559893707149453,-0.121723365413457,-0.0426686163576839,0.28200049074918,0.360356058192215,0.30860900969537,0.0594120799733275,0.0452399982746297,0.00129866200318673,-0.284750806936744,-0.123876045766217,-0.0914432906805072,0.107190928253916,0.0175409499035801,-0.00149967926834726,0.0762409053209847,-0.0178703547034598,-0.0904237693632091,-0.112648346833977,-0.214482356093106,-0.0544998161685939
