"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"PWP1",0.105808026476822,0.0264972256534453,0.0419371527868044,0.0291121630192652,0.0106885440084596,-0.00915916315741505,-0.112650135454974,-0.182500756343552,-0.0924851151281967,-0.00501294513572503,0.0497860519701234,0.095195715861502,0.0536517911917276,0.0102765517737531,-0.00919296940828396,0.0324868528228102,0.0657801728539322,0.05185019340108,0.0809126662263377,0.143591179782627,0.0480519542544471,-0.00771011282749079,-0.0314242186945464,-0.00347457895158421,-0.156446318559668,-0.0834821779427823,-0.152087750478946
"LSM6",-0.0411568230649539,-0.0549204167219752,0.0282414213481772,0.0154863702784365,0.0515315606460156,0.194664762159123,-0.208655962534527,-0.109136506889612,-0.202526351511596,-0.033596088822037,0.0745717920150994,0.0830780701465361,0.220447268503419,0.0154243400855396,0.221753717203011,0.169170313160013,0.0487596889670652,0.139520917803823,-0.0779198812690876,-0.00867959479705682,-0.0459905845213129,0.0840172458055672,0.104353852024891,0.139301603866581,-0.218877202518227,-0.174942183648076,-0.413921327714858
"KRI1",-0.0923460354639527,0.0546738209559443,-0.0173191334459695,0.010174107869739,0.161102813073239,0.216058575598707,-0.143317031880379,-0.191772077269887,-0.241942165357688,0.133607791158969,0.05601960780624,0.135726298808981,0.219216248235728,0.126385555655917,0.0513300890528967,0.173023882731204,0.14538240309102,0.115419611802656,0.0196513627339758,-0.0761557609254222,0.154105518995774,0.0405280126368375,-0.0645165104214556,-0.137905387870539,-0.240745039139924,-0.285128055731663,-0.321258502700893
"NUDT16",-0.216460753590496,-0.274195604694469,-0.329689946830122,0.140834143669675,0.253589446993173,0.0727175386554677,-0.67559617328263,-0.831179427751861,-0.74093892133225,0.540869503906027,0.557024162263213,0.574527447106405,0.420412246701872,0.531315563609619,0.497099642867397,0.727342604006743,0.741344186978752,0.684871101175469,-0.219482415670052,-0.206180123204302,-0.216812798473192,0.161615922318795,0.215645554764647,0.16485973117118,-0.828819838070022,-0.802216080990069,-0.942496712298961
"RNASEL",0.0449303602017892,-0.00401747953155329,0.098633320061623,-0.114305180277926,-0.282515078650187,-0.13941272232279,-0.81045496642807,-0.827597584761231,-0.629757386058439,0.504651904626705,0.584317300600619,0.611232200570102,0.439921155693987,0.40230080146149,0.417489201547832,0.71615881075024,0.807910529466483,0.826663338699365,-0.012753995994526,0.0993892258192144,0.0518350282727393,-0.168590471462515,-0.00477083781780863,-0.106383569598473,-0.879021203231423,-0.761431834785538,-0.864420866851725
"RBM34",-0.0603970228310757,-0.082692585576793,0.12116563658897,-0.094269216082699,0.102813417779386,0.0945786934220836,0.035438461647459,-0.00901483647201484,0.0539989903647511,-0.147337446821554,-0.131768181191232,0.101486850087656,0.00712515987018048,0.0404345791541658,0.0654940137205573,0.00786277139374203,0.132768748507624,-0.0465563696288394,0.0105140116547453,0.0302923505399235,0.0074908384432204,-0.164035991722112,0.0337264986678347,0.0251653922665094,-0.00905040392184109,-0.186061990008533,0.0608276301478048
"RRP15",-0.0933629220558441,0.0670678188737774,0.0330709126956457,0.0420997009981434,0.137432287330247,0.0210330197813526,-0.0640721539264781,-0.121696266098025,0.0698605029667014,-0.101420187536991,-0.0824526594550736,-0.0237263796774219,0.011385226042929,0.0218845877962668,0.0472441704489714,-0.0230070683857679,0.0142330560174759,-0.0338209099710056,0.0218112483187891,0.10436313926974,0.0479440217665719,0.00800859928311404,0.0395182257516549,0.0612423376442699,-0.031456070608467,-0.0475960633788155,-0.125588173891749
"DDX51",-0.191633894459242,-0.00960390942525535,-0.0931222990328049,0.11989393020715,0.0296747575514793,0.102367584869947,-0.0715251116159585,-0.0274882741204703,-0.0720036739358374,-0.176365170429735,-0.0833380473967438,-0.146940655310701,0.126597820787232,-0.107158490857104,-0.0500469833310859,0.272463037501257,0.368083159775685,0.284997086879232,-0.0439312670584275,-0.126103289081414,0.0740175150782427,0.0729379290631069,-0.0896967083521467,-0.101587302928905,-0.0995260405191889,-0.021723928658286,0.0607622247999036
"DDX49",-0.0767145584370024,0.0564705307578386,0.0333552753007211,0.0610186297394044,-0.0662656252462774,0.0411170642240251,0.0942385153965049,-0.0184395284536798,-0.0550498483763189,-0.158334032344801,-0.102398120388495,-0.122820794104189,0.204451143836526,-0.023184353997534,0.0639356054040618,0.283730466882362,0.274758427046448,0.355095885255857,0.0675851492102755,-0.0861244434318245,0.191305734821386,-0.13320685302395,-0.289949562383056,-0.212073754795821,-0.135484886419347,-0.181274718817082,-0.0657413476559761
"ABT1",-0.0939797518645449,0.117510889719533,0.164926074332879,0.0330223941346688,-0.0193298385973204,0.120435279810135,-0.0252984754801098,-0.0730262260748962,-0.00283113318269734,0.0434381868129883,-0.0797174111525631,-0.0850700260426596,-0.0701013717598578,-0.103717870026641,-0.0543480456068934,0.145235413528063,0.10883728311028,0.168994244238371,0.0494079997551378,-0.120905127062628,0.0900672200072705,-0.0562272863321436,-0.0728851470232481,-0.0640680071722919,-0.0194567513365183,-0.0579101166294684,-0.0430024001048395
