"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"STT3B",0.0175713981345957,-0.115323473781668,0.0305558032010129,0.0439423955787053,0.0337288265519629,-0.0041271676168364,-0.0613595919242851,-0.0822648391310157,-0.0035621227331113,0.0259636002632568,0.0229474138531671,0.0370214833654448,0.0805346672394371,0.0478020423382848,0.106194414025481,0.0154719746218372,-0.0180065685036812,0.0674039471952046,-0.145857992439852,0.0127621867026768,-0.0210796582795822,-0.00685716166728234,0.0162622695613219,0.0447617311651207,-0.0578182758952615,-0.00944419121828588,-0.0772231106066013
"PARP16",0.128627495512625,0.00254913918782051,0.111149893264862,-0.0764520170967433,-0.132376630634097,0.00623129618891127,-0.120328100683333,-0.296562767248302,-0.158133972582489,0.00693520498364641,0.0253029134017364,0.0614220541606905,0.133135130968132,0.12680730632542,0.059974335702135,0.025290755836993,0.0120193880796844,-0.0198506217950225,0.0981221585658894,0.121134238213564,-0.0121233803439385,0.10651900550957,0.0944376029239198,0.0869622791378735,-0.0951633108460594,-0.110626807733922,-0.185002588999589
"APAF1",0.0264323725212563,0.00534440105636946,0.109143747392462,0.0567259521451682,0.187759843238224,0.0595145775076915,-0.226127869968625,-0.236537789293113,-0.207547464771498,-0.000181349690846488,0.130498646362129,0.0470442326260088,-0.0624033737790501,0.103287915532771,0.0574711496681868,0.0499971011196276,0.0841364204164776,0.0648754134466962,-0.00862905112355428,0.0783815821315379,-0.0695094070186695,-0.0149418737508231,0.106010684877687,0.0975199088186205,-0.18228155010598,-0.115757593977536,-0.140226625381288
"RNF139",0.0640587966111941,0.0338828693302684,0.0948974353250485,-0.0293919277829264,0.0492037683155164,-0.0975769734529752,-0.260406575320026,-0.226444705055766,-0.220335294886297,0.0515522397281387,0.016833015724675,0.0610870710447031,0.0332184116856222,0.117000834997574,0.116905457026446,0.110878504265633,0.063392948506932,0.0901065418425837,0.00386754330189909,0.170398461478905,0.0826731313868496,0.0535184204057764,-0.0141804666035181,0.0545848715444563,-0.109990615229272,-0.180167855925905,-0.129565908265519
"AGR2",-0.158105188911524,-0.0203262908979163,0.0405746994923204,0.135653464443399,0.16349162944963,-0.0164752842354119,0.132060470690585,-0.158105188911524,-0.158105188911524,-0.158105188911524,0.114835734255973,0.0383903490417543,-0.158105188911524,0.152176311090531,0.190545829480857,-0.00907397977208468,0.0534761900688574,0.050145716634252,-0.158105188911524,0.227215006082223,-0.158105188911524,-0.0148701107989311,-0.158105188911524,0.159409093306563,0.0418785793829741,-0.158105188911524,-0.0161607075118422
"TARDBP",-0.0293440273401728,-0.0569511261698086,-0.0560959288290839,0.0324002964783325,0.0660934241164703,-0.022361913200486,0.00144412268017646,-0.0866806216733274,-0.0344697609401319,-0.0432507317394553,-0.0568377183134192,-0.0410727337628689,-0.0203180619220369,0.0638006928493606,0.00904613917184527,-0.0170272124247504,-0.0616464731992235,0.00906458176600999,0.0192080756621724,0.0484177969937711,-0.101016790096786,0.0613869990415026,0.0094530406605493,0.0577677518982593,0.117323068744117,0.0801220625854757,0.051545046963497
"MARCHF6",-0.0694599154377151,-0.0969301098862836,-0.0728385582263531,0.0112094955255184,0.0710423680968901,-0.0682963339495828,-0.0608795556194615,-0.0303805162300534,0.0185466963634031,-0.0716216130925336,-0.0983311735250822,-0.0797715721146073,-0.104580949312282,0.169408127843404,0.157680538091228,-0.0189182299521207,0.0123186217247966,0.0158748644708382,-0.0479360029656135,0.0444477274387953,-0.22711019417696,0.0590444225224509,0.0886645102911618,0.106238782292181,0.144806547600504,0.0972480705376935,0.0505239516897191
"ANKS4B",-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074,0.141816793865477,0.138383509640736,0.143519558400902,-0.061831156430074,-0.061831156430074,0.127554923492718,-0.061831156430074,-0.061831156430074,-0.061831156430074,0.215799646797461,-0.061831156430074,-0.061831156430074,0.237123162578478,0.232425533825676,-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074,-0.061831156430074
"VCP",-0.106846660443908,-0.0864922961704906,-0.0739347347909902,0.124893079505965,0.092279740698828,0.151160034924361,-0.0194719299304715,-0.0219232884216574,-0.0802366007682966,0.0189828776434542,0.0207002393806164,0.0297098322444711,0.0023238687799445,-0.123644986742324,-0.063935377960366,0.120005887089938,0.174978360465751,0.164287488083184,-0.0922463473533846,-0.0369385682537029,0.0443184110306962,-0.00115678390836393,-0.021178529726134,-0.0674541887887887,-0.0589465194233849,-0.0684214518625712,-0.0208115553023358
"NFE2L2",-0.188417755378087,-0.378399091402811,-0.172533813742055,0.361173498822675,0.312374231847306,0.314344399834649,-0.227691252453244,-0.180884904528218,-0.187030656240998,0.131690127074469,0.0929952718201186,0.0831003618191772,0.00274280061225518,-0.0699586923412614,0.0190352428823068,0.49394821664843,0.458515625777453,0.421741125179446,-0.232238841574489,-0.120331146600336,-0.263797151753639,0.178446436538133,0.029084825022375,0.132890329536462,-0.305566277448563,-0.319505398440661,-0.38572751151094
