"Gene","FXS-D56-BAY-1","FXS-D56-BAY-2","FXS-D56-BAY-3","FXSB2-D56-BAY-1","FXSB2-D56-BAY-2","FXSB2-D56-BAY-3","SO10C3-D56-BAY-1","SO10C3-D56-BAY-2","SO10C3-D56-BAY-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"OTOL1",-0.31294805479589,-0.124197006571825,0.0103349844033183,-0.0495833657893598,-0.106576039258283,-0.229946232597889,0.192056839357826,-0.203653967888234,0.0154602188118922,-0.0319081213643351,0.0631589617115171,-0.0140007204114978,0.561613536907144,0.59752948824228,0.672584038938911,-0.302197777349076,-0.213911917357952,-0.512866236366504,-0.117919918582317,-0.186936017859112,-0.128549345632226,-0.0397371502464994,0.00735300181992571,0.0165344545745567,-0.00522033948727785,0.311052955515997,0.132473731274874
"SFRP1",1.27552301850982,1.29526875107033,1.27908726722665,-0.981094712638704,-0.8703284208223,-1.04697636181051,-0.499896996115952,-0.567269217312063,-0.647839351828324,0.49854965954798,0.517574388575168,0.470557875538686,0.414181447143459,0.480939041766058,0.421628399685959,-1.1609432508821,-1.21402183127893,-1.1580555865909,1.22987535212274,1.32579872564956,1.19965599183513,-0.437589923308238,-0.513070330578696,-0.38836151655274,-0.264721941374782,-0.392353827340459,-0.26611665023688
"EDN1",0.00170367993350506,-0.0887904182527253,0.00781303192754379,-0.151665144686145,-0.122050988064659,-0.222387929694316,0.000300839951722587,-0.0849891101914313,0.117222728190615,0.310251043062342,0.122966342985888,0.306276135068678,0.202326580729059,0.138887638997191,0.144473316845867,0.0213708102250925,-0.0128083864583024,-0.198128118776128,0.208466371258635,0.03967299023775,-0.0220424792776335,-0.169191263787208,-0.224477058928194,0.15138445998023,-0.177283020763728,-0.0939696268567145,-0.20533242365694
"TTC39C",0.0695650518116757,0.116829376312946,0.221989643442583,0.158124058772323,0.118993440767051,-0.156576256054073,0.0149729348569956,0.0866862903905812,-0.00834914653908747,-0.119617435160199,-0.126859292626111,-0.142120177943129,0.0794123343009083,-0.123445123869969,-0.0895348335964545,-0.301324865582989,-0.418870450536989,-0.253165043513464,-0.056732249773793,0.116162817281547,0.118713965465606,0.0458426416509621,0.0262608060425542,0.176642034634609,0.212256401336234,0.0649009029226839,0.169242175206991
"TCOF1",0.0461715150627686,0.0896584419685507,0.145791319470574,-0.00599340687819705,0.0242612009926475,0.0456624422505953,0.164870542194862,0.224535719745864,0.155850220832205,-0.2400087676876,-0.156898245451329,-0.198741098814828,-0.0620228685749886,-0.143380085786889,-0.0724724209390679,-0.55765278706011,-0.410096076902713,-0.500092702033362,0.20943622496241,0.115009061104116,0.384413388117528,0.027323512652508,-0.0164101960631022,-0.0179016458318024,0.217769615934655,0.219903205116644,0.311013891618012
"FUZ",0.0251480019249186,0.0283968717158842,0.00271317666549109,-0.0635102034294288,-0.0596455822390087,0.0351328747461359,0.353623275540587,0.229325800721975,0.192229852544958,-0.103562130896032,0.0939961492842905,-0.0575033776924503,0.0830566279276184,-0.0921449101622613,-0.0893973026119781,-0.427226904144558,-0.39793954888359,-0.240609179104492,0.0948687478504464,-0.0404189544233926,0.167210146863933,-0.0926982591857008,-0.0376519397602841,-0.15524904465294,0.237381096231164,0.125828631185309,0.188646083983443
"LRIG1",0.328426525613109,0.277615935852182,0.323283337902884,-0.211213936276948,-0.204483968961998,-0.223521775392051,0.063687858428203,0.0610199664154472,0.182626120569321,-0.289023375927036,-0.231490545923482,-0.146572885710397,-0.262292060849855,-0.15291353821034,-0.179237289988947,0.0762399508356957,0.312737406369655,0.184125921724053,0.28105199288431,0.254301481747126,0.146506744052054,-0.554576805025409,-0.401324170277473,-0.562965848181811,0.346128119911079,0.381469074960933,0.200395763459655
"KBTBD8",0.0925821199087942,0.259412879396269,0.319385057516914,-0.124593518014652,-0.0643761563781702,-0.0982435078161696,-0.0280705161066219,-0.246852808311328,0.326733329499625,-0.0468916832581243,0.0221827082892894,-0.0304152643469262,0.00365278355950238,-0.159833622302209,-0.107326431943916,0.022288034951421,0.0931988234103098,0.0633890198436386,0.0212682291963127,0.391581201575562,0.0283536599059371,-0.121708804256597,-0.0348631731664639,-0.332382969424032,0.074780558077677,-0.0746741715560901,-0.248575778249929
"SOX9",-0.209957306597746,-0.157114801312769,-0.243364329615751,0.0872076920526368,0.0461306123238803,0.212290322785625,0.147788427723597,0.0305034206501755,0.148579243383198,-0.206164514450107,-0.21039163292096,-0.34819395274234,0.131753947260995,0.227101167496379,0.21558265277239,0.658482083530927,0.612050532631365,0.560697597474807,-0.292640087052568,-0.307018206007788,-0.263591762089833,-0.338099524316126,-0.190659473847123,-0.220573608490506,-0.019861271965814,-0.0588478099184169,-0.0116894187581345
"LRP6",-0.17001492953403,-0.113282029485509,-0.173260797264446,-0.0459238898802887,0.0838122541890662,-0.110698850890898,-0.086150080588606,-0.0800877993530946,-0.116571878341743,-0.0578701118821847,0.0698778760975785,-0.0452843169855957,-0.298589180878956,0.0610907502264659,0.0764904807552593,0.446308399562309,0.499366210222645,0.515986907175677,-0.110164690487814,-0.0127678642254239,-0.365954861609584,-0.0843620238138474,0.0485827090153617,0.0174972659763117,0.0262676761584419,0.0313763739404962,-0.00567359809758727
"PDCD6",-0.198045069300568,-0.221953103015938,-0.219312953200989,0.212320566008096,0.177323370368885,0.0980993324839012,0.0357929792212097,-0.0416763190904454,-0.0243304572484089,-0.116627207848072,-0.0740816545539467,-0.0125018644273922,-0.0998368412662511,0.0890500573369124,-0.0419152406516492,0.0603104527436518,0.199051587294367,0.10665615829277,0.010576844179619,-0.134859115058504,-0.110214255165126,0.0756284868268491,0.186633736056853,0.0704133817996428,-0.0881140073023783,-0.069053139355038,0.130664274871975
"KLHL12",-0.0986906921873718,-0.0827435413200277,-0.133786206397716,0.125898900984012,-0.0480710056370643,0.0425066731826504,-0.10954199705656,-0.0786893994914521,0.0530219272237371,-0.00637626306079575,-0.108481226823194,0.0267381284143138,0.0368338722357944,0.0767876470403319,0.0392580439295589,0.129793544763738,0.0750486166697009,0.123559784517898,-0.0774344814510535,-0.0516714138314658,0.0379096625349415,0.01567153628711,0.0942042949286801,0.0555636451184469,0.0219445629627,-0.108626495250135,-0.0506281182867561
"ATG4B",-0.228572928768472,-0.119050301424467,-0.188383604578389,0.110162345508902,0.0998647493696083,0.191353893249383,0.0254715281438731,-0.0497198642100027,-0.010958541565067,0.0561802254979629,-0.0205244045462845,-0.0774434763363576,0.256465668384209,0.125764459691807,0.156699674132469,0.263629771097966,0.200495174329342,0.250890600611022,-0.159797143259661,-0.318267062235956,-0.141302659186273,-0.0169096191593869,-0.000970602965249867,-0.0894446229255585,-0.117591632468313,-0.127641789969426,-0.0703998364176304
"PEF1",-0.240856416101149,-0.112902356928499,-0.248571396525181,0.15597965553407,0.030992035044811,0.149332569895718,-0.107727181593614,-0.118229193587581,-0.0594484096842951,0.0414817087838504,0.127422185971593,0.0936115015635561,0.32454607083803,0.179021920717794,0.144888108653062,0.366441002485827,0.332210301260451,0.260524991640226,-0.12681275964132,-0.288193327957625,-0.140762929572372,0.113793977073625,-0.102902368538045,-0.0203052899329421,-0.250787311563712,-0.322512077285163,-0.180235010551142
"WNT8A",-0.038272436069172,-0.027901504021961,0.0749371462932276,0.00284027982098323,-0.0114877046054369,0.203084335313163,0.0882342626045372,-0.0957251705489233,0.0562589050827285,-0.0209079294463717,-0.020368281158242,0.351219550003834,0.0642274101401421,-0.0220746343005018,0.0615848441764069,0.0121727036747732,-0.0978719274237054,0.0184645234549503,-0.171321738173859,-0.047151963375871,0.0901667984317305,0.0896241068539849,-0.0516381756529851,-0.145161733661499,-0.184065476281914,-0.157292346427826,-0.0215738447022105
"NOX3",-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,0.133848944797267,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648,-0.00514803633835648
"GSC",-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,0.226878862817344,0.152380173217609,0.155733645514014,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,0.161720075391645,-0.0407618924392636,-0.0407618924392636,-0.0407618924392636,0.20004887672321,-0.0407618924392636
"LRIG3",-0.208589039915523,-0.3240452316817,-0.279220929939816,-0.52834019291284,-0.832595761223345,-0.763003507791973,-0.50206442910012,-0.532485743612511,-0.485622402042557,1.47127616188024,1.56035436519351,1.50394188870013,0.205158157793223,0.0608637981297306,-0.115131179230321,0.831214824553113,0.880165982384161,0.964706316691643,-0.324376049766764,-0.328768047421113,-0.473928621366683,-0.0265455082036361,-0.149873096871588,-0.39329398053637,-0.393402379278989,-0.28858310711464,-0.527812287315305
