"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"ARID2",-0.172281061194221,-0.198170079976119,-0.152521267719605,0.0116594841162652,0.0692932254949934,0.00684059242587232,-0.134097880190525,-0.0727831905093321,-0.08243641025107,-0.0909958845322354,-0.0789979400600025,-0.124788389605044,-0.00276139164021671,0.136026733855456,0.170151913815992,0.149221697095674,0.196381988050756,0.197189319406496,-0.0308800304972099,0.0517311581995337,-0.232134098724282,-0.0817055932048767,0.129039416378623,0.117883311630443,0.132112864183586,0.0762718717789159,0.0107496416721471
"UBR2",-0.217355384290032,-0.356231496134804,-0.277637864388408,0.0243299232092919,0.00983014713991004,0.0724253914909028,-0.0812182809004476,-0.108219884280143,-0.047407895572821,0.00524626638153514,-0.115400036186806,-0.152472378573282,0.00168376942530202,0.152377144750776,0.0273755174405217,0.190037458798333,0.31550731728422,0.284772915405934,0.00468343028172669,0.0706125284984847,-0.10954241718864,-0.0254389251361768,0.0423200144959424,0.0905808506750496,0.106302910430713,0.0286882248521803,0.0641507520907219
"BOD1L1",-0.206376152748708,-0.241010440987734,-0.182155345238506,0.129907907773315,0.127492600252044,0.182383305805066,0.0197302530999846,-0.050716128627835,0.0811571654228409,-0.0755967818506154,-0.157113106269128,-0.137111864412537,0.00732271721171251,0.0980461499394902,0.0769276993172259,0.133674290565471,0.192977037093332,0.100964685690668,-0.138131273623923,-0.0673062395281843,-0.238221706122248,0.0762074446039573,0.218612461084781,0.177650464085202,-0.0201686826262701,-0.0344022479740502,-0.0747442119353199
"KPNA1",-0.313831930313052,-0.275253161787548,-0.278132593402136,0.257586985053987,0.18792986321912,0.298094618474694,-0.0514631223523061,0.013696743379958,0.00959111948823477,-0.189711012688477,-0.247216161767312,-0.203445076936347,0.0195325039442444,0.158807728874198,0.09426931753136,0.194574073695883,0.230652723988864,0.225019575486307,-0.325489288275689,-0.308451366139217,-0.329026589032337,0.194733144312337,0.232030350951485,0.167953755144739,0.05755694227134,0.101221663405646,0.0787691934720094
"RIF1",-0.180033011328071,-0.174787589636077,-0.227935628834478,0.0790669957377244,0.0325723314573789,0.143687907021723,-0.0837324540577367,0.0325385419751427,0.0788234314903704,-0.219944784109405,-0.251374833414307,-0.2799796962254,-0.121994099976201,0.120251432472301,0.102244376494767,0.127067741058442,0.0919803025462755,0.122652007796864,-0.0541173267149162,0.00218736323985524,-0.248560120658121,0.143590464028579,0.256581614616119,0.2451061575998,0.143523520383681,0.117696659786285,0.00288869724928276
"ASCC3",-0.223898795754089,-0.249242105041144,-0.304045235007584,0.195725940725431,0.214429292375733,0.187484612148879,-0.0922340851445487,-0.100281406256588,-0.0545299593846877,-0.182369456075953,-0.139877752235668,-0.145046440358144,-0.137320113014926,0.0622589961615443,0.0349599204842868,0.11741302831016,0.130023580368304,0.172481708481554,-0.172745242687013,-0.0982043203769951,-0.35484362261961,0.110209042506934,0.284386937931147,0.277738710605918,0.195817164893995,0.165560314670811,0.10614928429233
"KMT2A",-0.340074163923441,-0.377871656905885,-0.407123975172802,0.225296120943115,0.170690594244407,0.233270967344231,-0.059393268584703,-0.0892933673269702,0.00122379063579636,-0.143278432708374,-0.149069469639791,-0.158761381057891,-0.115713169837205,0.132032016037536,0.105177977352684,0.0696031532219674,0.15270008128198,0.101335589052699,-0.101451292589051,-0.0542637604748144,-0.293162414402692,0.0356116015297836,0.261909854713405,0.16374458014689,0.221140968733581,0.222397240317481,0.193321817068076
"RAD51B",0.210063203553073,-0.0843566560168938,-0.161079573046786,0.0188170872782063,0.134224539102332,0.121239925980481,-0.159267645255589,-0.0780012074979215,-0.150664139531042,0.155241207023423,-0.0985453027179624,-0.148991937428784,0.0183410471087857,-0.160179042997109,-0.0291070616372266,0.0756381967247322,0.0624428800630046,0.211541393569636,-0.22311331596771,-0.0932665762079559,-0.140647865701226,0.190575433906757,0.124692914656487,0.0915319396423016,0.227237915654863,0.0508108558969838,-0.165178216154807
"OOEP",-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,0.241759875205576,0.261310882538003,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,0.16321421693431,0.09895232994716,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715,0.156614404724625,0.0938586936178041,-0.0483671620460715,-0.0483671620460715,-0.0483671620460715
"H1-0",-0.432440014672183,-0.494629785125058,-0.475955950217587,0.732100882175901,0.776447281047599,0.723375432440767,-0.357169598377755,-0.373235991019074,-0.480247860552629,0.158789337892955,0.253887770861231,0.209685356316117,0.0221077033793637,-0.0982862969867835,-0.0661006403172415,-0.258704253109572,-0.0861463130896425,-0.0320036758009756,-0.479216125428394,-0.50993519831243,-0.453601650409212,0.69836856755229,0.590529508122309,0.637618484204006,-0.0227650153328014,-0.104525679826914,-0.0779462754142433
