"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"PMS2",0.18513114665072,-0.00511892176391093,0.049853280982342,0.160463464121085,-0.0266793544433614,0.0963911049168065,0.0786917725225056,0.207163740951172,0.227366403539442,-0.19070123351803,-0.191326837224947,-0.206170306063481,-0.240091715360183,-0.0678262511506844,-0.185849316218635,-0.0338679538867588,-0.0960943209193346,-0.0849511386621611,-0.00481886339327531,0.0446048437813982,0.093003693647443,0.0614547489953257,0.0900620027593497,0.00727208704726223,-0.021914477919216,0.0356383847635247,0.0183140158456663
"ADORA1",0.353817585720323,0.221591444005252,0.120377099851915,-0.00355043908640162,-0.0294041009374748,0.0887738415622934,0.227096097482519,0.179881827315118,0.207329878956541,-0.150605989976929,-0.152583126811608,-0.325425918130865,-0.207911571421578,-0.210844368034694,-0.140294788827392,-0.217024046645166,-0.196960053066629,-0.135915320884733,0.184301837323664,0.191924890244637,0.144690287345934,0.109898431147348,0.00176339402141146,0.00571601239336594,-0.0909254349924211,-0.190653029205142,0.0149355606506703
"POLB",0.153913148242895,0.132931322581188,0.159869278858961,-0.101970836483437,-0.00646009992437158,-0.0146735845832637,0.219296051317823,0.225233477995678,0.170281852739514,-0.239396609653175,-0.272785354097634,-0.244134287118115,0.102879057821244,0.0273764930046507,-0.0554790301693178,-0.195140072485158,-0.198863395281769,-0.185491797066117,0.0834761260381072,0.163211740822389,0.149759143358205,0.124213291254165,-0.0921012084061932,-0.062054375390975,-0.0193651717202901,0.0233118059511135,-0.0478369676060737
"CD200",0.319474017235233,0.282008668090803,0.344516623357981,0.0271806073043113,-0.07013426236656,-0.149815771307583,0.223585920347098,0.260695666104823,0.286232763113739,-0.306174486468567,-0.345667323605072,-0.356954681022906,-0.0718044986705735,-0.115998142887261,-0.144315177018056,-0.513309883024833,-0.506867630228912,-0.43064298612598,0.301886950837847,0.371346876435551,0.391288427534224,0.0892598113087146,0.0118593332253027,-0.0119695774335646,0.0340236357382349,0.0221551957395345,0.0581399237865536
"BCR",0.194448453924407,0.183343046960111,0.208900494965677,-0.0379198264058243,-0.0265876196656674,-0.0395165600737428,0.270287336381188,0.140744339727117,0.214013643162149,-0.280152078566305,-0.262201919745591,-0.28522099676851,-0.0231061934199328,-0.0929949547351061,-0.11056263984792,-0.358967289482164,-0.307361769670022,-0.296671291299891,0.274214015361743,0.137581122051129,0.226675054374121,-0.0356048893580461,-0.0420130293714198,-0.108571449990386,0.140606024936053,0.119761975142334,0.196877001414503
"UNG",0.24775268318861,0.307456670888934,0.264355755250113,0.0225076655753487,0.060078010152683,0.00684395061318099,0.0824783988541498,0.0660121542933947,-0.0298128665336108,-0.137525214528921,-0.111745261277761,-0.182367323277488,-0.0213265050398004,-0.0958539118193276,-0.204478964510015,-0.234750737713025,-0.171475608406515,-0.111075709038563,0.189864739302916,-0.0346598631744737,0.111889745331636,-0.060187166472689,-0.0902850591500748,-0.0877916878152103,0.0505879407193124,0.179889450395217,-0.016381285808011
"HMCES",0.0930104272110732,0.0663708923372539,0.180951101376408,0.000466886626178109,-0.00728953965461621,0.0388200540219614,0.0464118478277467,-0.066186177123992,0.0559219931012063,-0.144126579372081,-0.105876021905393,-0.153571205205761,-0.0069985061617519,-0.147685158067372,-0.146638237885963,-0.0258868669756431,-0.0715839961250246,-0.0242428770249621,0.00481178944748173,0.0980482253137147,0.192945515536316,0.0893802301866078,-0.0374109339783395,-0.107805002011922,0.0708777124472295,0.0443289060040097,0.0629555200556808
"CYP19A1",0.209727288450456,0.049744401143287,0.261058028756273,-0.143483891512972,-0.143483891512972,-0.143483891512972,0.329024253822608,-0.143483891512972,-0.143483891512972,0.124156863743636,0.0496581741439011,-0.143483891512972,-0.143483891512972,0.0529819468017987,-0.143483891512972,0.00554731762646732,-0.143483891512972,-0.143483891512972,0.226097838159878,0.00252438751820439,0.0623753781466068,-0.000248813400379078,-0.143483891512972,-0.143483891512972,-0.00201745224785999,0.249003630648351,0.102173454842435
"SERPINB9",0.419508222267971,0.125045985694146,0.309624972819787,-0.0512875597731206,0.113297314179429,-0.201228226224084,0.200649633016203,0.404195865402996,0.0615653128161551,-0.132028810267749,-0.169509464384748,-0.227207994100484,-0.532619835976481,-0.35081303409561,-0.289833265773442,0.00273396795014502,-0.18511991184097,-0.364585872825406,0.331311043361577,0.259775124004731,0.176479899292658,-0.0977818526199172,-0.0986636637556257,-0.137603151629349,0.223616889167799,0.262618940302631,-0.0521405270092146
"MSH2",0.21990494748538,0.0933068813720119,0.224108336047527,-0.0933574448794445,-0.136129463634251,-0.107048096442853,0.00883746936385599,0.0183665496079435,0.0057288890361189,-0.000117229673469055,-0.00764719289159821,0.0452792721118467,-0.272207966976366,-0.0660991835648304,-0.0995699373924719,-0.116554038085351,-0.0351211870686221,-0.153398996712632,0.0416565246505556,0.202497978635595,0.0843742982742004,-0.00434076436778064,-0.050757179682499,0.0458654527742635,0.0744291395273979,0.0726673290598185,0.00532561342565963
"MSH6",0.143957633604613,0.112992543718134,0.145245047780955,0.113571610358022,0.057807211623496,0.0590266663965036,-0.0144624265880484,-0.0472745414838922,-0.0896394781247114,-0.0915336690096993,-0.082180019625854,-0.0818824659359034,-0.251131035118201,-0.164480138821498,-0.157691571468336,-0.214818073047903,-0.281550344037777,-0.263819770284583,0.11599386138453,0.163861374210938,0.180699359849765,0.0232656845191634,0.132767672012431,0.166589167678787,0.135388797476987,0.100399396066795,0.0888975068651927
"EXO1",0.521173709805257,0.457455612249944,0.39979714478228,0.0306715994087696,0.0818976549140924,0.0775059468547692,-0.141204107150079,-0.121982814933897,-0.0681611175558547,-0.140342095642739,-0.299544668721506,-0.0203570043789565,-0.291830432718275,-0.197839952517562,-0.28406390917287,-1.03777201895987,-0.983082832901575,-1.00212953573519,0.39319833389283,0.432128816309969,0.3789397706269,0.170702611254502,0.241108066377308,0.258748119920496,0.419985566945609,0.367506340600778,0.357491196444876
"POLQ",0.294331029840205,0.168089377761072,0.223051492386601,0.124779852391116,0.0394783252532154,0.154993602837525,-0.0452598857110029,-0.0270678854864599,0.0457709351595312,-0.0298085460719637,-0.101350295705435,-0.179694918858813,-0.38887693276274,-0.220956017676244,-0.228618081059235,-0.865904148366004,-0.791670419612533,-0.808205081930707,0.296739364036888,0.269563521452239,0.189693279405699,0.102510727855156,0.303487120831912,0.197950685323086,0.461227672469096,0.490377180620992,0.325368045616786
"TCF7",0.0523827415554727,0.168229312480941,0.182127877373956,-0.106180026902733,-0.125288793182685,-0.0835975913081679,0.0851837374601949,0.0327302574115862,-0.00781456194497743,0.226256174599348,0.136903187703599,0.23532776683823,-0.336857397014164,-0.395681394552749,-0.53554644690945,-0.240165282418143,-0.36999557850254,-0.455614322930211,0.188186863922548,0.22790484341156,0.339235916126892,0.00346186894302747,-0.0901072461817591,0.0639864585292731,0.377762016462992,0.207266128267612,0.219903490760386
