"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"COPE",-0.0809582036257783,-0.0159432559061639,-0.0178058939130654,-0.00530597892439388,0.00490949752074599,0.0432757069381235,0.103648882505103,-0.0263359022175553,0.0138432290766985,0.0893501797577088,0.102619455641289,0.0267373850566077,0.184163214564409,-0.0483130745279361,0.00290242094842874,0.203367950145068,0.164056971443168,0.207591658856439,0.0658959619868895,-0.223983564151446,0.0129797196168244,0.0407861106227188,-0.186228244733329,-0.182076139625401,-0.146805391466453,-0.247837670832151,-0.0845350247565602
"SOX9",-0.0603216647027907,-0.0309809898357525,-0.0403882709278225,-0.00654761431458262,0.0192727232180214,-0.0508336983479172,0.335621620046629,0.255239581394678,0.246339481701686,-0.239794397052288,-0.244021515523141,-0.381823835344521,0.0981240646588137,0.193471284894198,0.181952770170209,0.624852200928746,0.578420650029184,0.527067714872626,-0.326269969654749,-0.340648088609969,-0.297221644692014,-0.371729406918307,-0.224289356449304,-0.254203491092687,-0.053491154567995,-0.0924776925205979,-0.0453193013603155
"GSC",-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,0.238619698988249,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,0.216133416993209,0.141634727393474,0.144988199689879,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,0.15097462956751,-0.0515073382633986,-0.0515073382633986,-0.0515073382633986,0.189303430899075,-0.0515073382633986
"CNTNAP2",0.291007041318176,0.246966535250175,0.26452795855217,-0.125137906285735,-0.11434836459747,-0.154131060229505,-0.68542440613041,-0.685774718703303,-0.637552244727866,0.783816029028975,0.781377813192124,0.778314296191949,-0.259730422908982,-0.1341020547478,-0.128691637940317,-0.0345527035432838,0.0375726726087606,0.0229564479088822,-0.00537495460727833,0.0167479368406536,-0.123337606147182,0.130431328647118,0.168672951920733,0.164017006489821,-0.1737273377524,-0.205000913677235,-0.219521685950774
"EDNRA",-0.401768735739904,-0.353084602175397,-0.447162102303527,-0.765018989598936,-0.53005228281948,-0.608842542578684,-0.355569722821135,-0.438631021475741,-0.278732571577673,2.2069313539343,2.29847587039071,2.23345364258982,0.0263928629510772,0.160782090281184,0.200360562587021,0.22609764786525,0.043375609815449,0.0782605295671752,-0.301761783648002,-0.28576594022029,-0.543615517449768,-0.510176937589844,-0.407924268320246,-0.473957179735214,-0.0445049467311112,-0.427484956999655,-0.30007606819737
"UGT8",-0.251482051852905,-0.180464187533349,-0.156992406337969,0.0477692125915414,0.104178351214179,-0.0807547883080826,-0.107703733075139,-0.197266175969797,-0.33793994219466,0.496005782543037,0.336600270438131,0.368296283711828,-0.137960279197804,0.180818124824215,0.0560196377539057,0.255909013377131,0.0698923049178841,0.293800673226352,-0.112420357792075,-0.328872652934044,-0.393893281757282,-0.0644167417336927,-0.0549643352693643,0.0855842559858608,0.0162415953738062,0.102559243139467,-0.00854381514114344
"TPBG",-0.486218316148666,-0.318043727370355,-0.236330070169506,-0.372693638330762,-0.334755472957486,-0.284736153452275,-0.853715686890492,-0.832586354178071,-0.881777708693351,1.15641132508045,1.18174742293282,1.10298594272621,-0.0724532418088923,-0.204698142737596,-0.170000764839319,0.858737191293432,0.781370059215762,0.748375652321272,-0.522416555386462,-0.563881004786712,-0.496614676858247,0.196999414272735,0.232507630076563,0.383380187903866,-0.0444596640146298,0.00810117459681869,0.0247651782028875
"PTN",-0.418365824631616,-0.379667084924586,-0.423993643925133,0.506045168810063,0.465305398721616,0.490089166931758,-0.891024232813958,-0.907609538992773,-0.859146224060666,0.635060531222081,0.661406460796076,0.680693515354836,0.615427905149383,0.474087887286004,0.479050391274226,0.791023882724,0.812917638565281,0.751526803883173,-0.767748700276165,-0.756916911892013,-0.665830683450704,0.520652368378013,0.401260050180742,0.422452951300235,-0.835023962495168,-0.91612017046576,-0.885553142648893
"WNT8A",-0.220072975636041,0.00176617879243501,-0.133773362966954,-0.0767574510073787,-0.0177551957982693,-0.225102628314054,-0.104125931813525,0.0616409316701372,0.0940959989088883,0.0275394344443995,0.0280790827325292,0.399666913894605,0.112674774030913,0.0263727295902694,0.110032208067178,0.0606200675655444,-0.0494245635329342,0.0669118873457215,-0.122874374283088,0.00129540051490018,0.138614162322502,0.138071470744756,-0.00319081176221392,-0.0967143697707273,-0.135618112391143,-0.108844982537055,0.0268735191885607
"EDN1",-0.33652921730318,-0.0106912724468451,-0.17063352373274,-0.0690967370005238,-0.238907663029651,-0.0621740307372738,0.0262225744326399,-0.205109923036723,-0.145345597102398,0.347441158566276,0.160156458489822,0.343466250572612,0.239516696232993,0.176077754501125,0.181663432349802,0.0585609257290267,0.0243817290456319,-0.160938003272194,0.245656486762569,0.0768631057416842,0.0151476362263008,-0.132001148283273,-0.18728694342426,0.188574575484164,-0.140092905259793,-0.0567795113527803,-0.168142308153006
"CNTN2",-0.100744549525402,-0.134370339561938,-0.0597989446390574,-0.0857540249378843,-0.0853374126565818,0.00904942707339096,0.249840576124594,0.117720005900447,0.21027762028984,-0.480543370040309,-0.452670224709141,-0.423569340928395,0.125815961078194,0.100130942262743,0.144539982118484,0.0100957091872242,0.0440201772112871,0.0650825878313626,0.129343831674856,0.0858448376361522,0.0706603107813386,-0.0389745552052627,-0.0286945625823929,-0.15388875842469,0.202546112765079,0.227488819443799,0.251889181832196
"CNTNAP1",-0.150815287579375,-0.0809739138406353,-0.153999948667559,0.132313542677096,0.125197497877295,0.215163704575964,-0.0725525580378594,-0.117162463938691,-0.0904879121722058,-0.108873875080134,-0.0155526466579801,-0.0802021837065023,-0.0987374506398719,-0.109324618410438,-0.102229010136819,-0.102695028437104,-0.0134286773833647,0.0299972863404285,0.282703653830312,0.180737419618023,0.111166226430473,0.0232497602788779,0.0187502017049486,-0.0198582282841553,0.0746559813173562,-0.0155111241357933,0.138469652457637
