"Gene","FXS-D56-BPN-1","FXS-D56-BPN-2","FXS-D56-BPN-3","FXSB2-D56-BPN-1","FXSB2-D56-BPN-2","FXSB2-D56-BPN-3","SO10C3-D56-BPN-1","SO10C3-D56-BPN-2","SO10C3-D56-BPN-3","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3"
"LEP",-0.10088757195346,0.0151565580120776,-0.0732813092812501,0.00421101535029056,0.119592789669919,-0.134961490118318,0.132975500213474,-0.0790516423377374,-0.0819949442814067,0.0375345756981025,0.0706423930743876,-0.0935277609780298,0.0657944954596426,0.227400547027592,-0.0051208634182851,0.283641951142436,0.266807494485461,0.174041017082399,-0.0103194842856187,-0.290023298931308,-0.0380048216811311,0.161269603017502,-0.0850417321606116,-0.290023298931308,-0.0074290540318902,0.0206226310883553,-0.290023298931308
"NPPA",-0.108741798874313,0.0176820401294959,0.0408109829808545,0.205682635626503,0.0684094662185757,0.0876191501277592,0.00818796138104894,-0.210867749934077,-0.300933730788302,0.100615089950688,0.0826327932206414,0.137813824913398,0.278863408119086,0.179631513885793,-0.0170802633419465,0.152025705266209,0.10383422076259,0.300956910584166,-0.139380355765354,-0.362953806407027,-0.027999988951926,-0.0576691834893932,0.101925982826099,0.106558104541942,-0.264130745667112,-0.11647456327688,-0.367017604038522
"OCIAD1",-0.0156433111314662,-0.0538201451456679,-0.0765077026291721,0.0208255199230614,-0.0566652894811686,-0.00181476744907982,-0.0653418744669061,-0.00765325167071573,-0.063536488079281,0.0724552276273851,0.0655132964329646,0.0965184342315499,0.074047871271425,0.0463721811381443,0.0248454578742976,0.302833196157231,0.201888314711185,0.237536296714524,-0.129684975736819,-0.0647680586782453,-0.0588562914090467,0.0578664661517418,-0.0371287206115181,0.0219244978104989,-0.189531323385379,-0.189528755888976,-0.212145804280528
"PIBF1",0.0441914300820194,0.0131245255859369,0.05274697634405,0.162114943339304,0.0938395477577085,0.0703399336670376,-0.330179490867049,-0.294844689831018,-0.239438461194412,-0.102149377648084,0.0579443572550922,0.0779521451368357,0.00174448077708966,0.150200197250063,-0.0370963363110981,0.576097980535941,0.578992240932573,0.506204559279837,-0.246350641215157,-0.177622251554297,-0.327862927023723,0.221952965096365,0.164515631079819,0.147416991965459,-0.36303705200544,-0.32184501719518,-0.478952661239726
"IL10RB",0.0392417782144516,0.0707836098409613,0.0479639862917853,-0.0838425379540864,0.0185780063876839,-0.0383996826813098,-0.0286335507477409,-0.1362490534919,-0.131077285562939,0.0537789809293212,0.327115595177891,0.136618312477993,0.0444790343181092,0.0424360702711084,0.128651036103666,0.0153674390432332,0.244233498401086,0.0890330623675109,-0.127247342466341,0.0402170761399061,-0.0694044427196037,-0.121684263096731,-0.127312253418905,-0.183465592695652,-0.0829560321967175,-0.213567894029483,0.045342445096666
"HES1",0.341843838812826,0.148991202648189,0.334042155855341,-0.460998899638428,-0.465337284813582,-0.661005146112279,-0.480399585175196,-0.477735510939583,-0.385977257994666,0.839131185368512,0.926523307971527,0.916546789971262,0.571760162702317,0.283257922430362,0.2699583722505,0.824546425164563,0.668709739421805,0.675711510453297,-0.270323155025396,-0.517994950466834,-0.326350040161429,-0.563292477397123,-0.541747707993297,-0.460334511063685,-0.431500254794107,-0.392434984038749,-0.365590847436129
"NEUROD1",0.150497708882748,0.0613136832078993,0.24433508336649,-0.615153345732717,-0.752334079904248,-0.7993610566052,-0.191702523019613,-0.148885047432852,-0.171802692173442,0.671916583437069,0.575604565478947,0.546321153985296,0.369129717790553,0.228852037342174,0.193933544748404,1.163503394,1.0936461995427,1.15767434351163,-0.303389198979563,-0.321371494256923,-0.264023363472436,-0.585774406454229,-0.630443151514601,-0.471066117819211,-0.464218891940346,-0.369834836618168,-0.367367809370359
"GHR",-0.322121008228119,-0.493064851183408,-0.0940370502030472,-0.187385310659259,-0.299695460737253,-0.21685099802813,-0.143488605588434,-0.371204320948531,-0.201736399518776,0.807971342013838,0.978825976493992,0.889056373236299,-0.0253384407458839,0.234617480341745,0.371931683334548,0.531972173163195,0.521395754149943,0.477819148753161,-0.330761667277445,-0.225145498468716,-0.228532427981728,-0.243291460164661,-0.214543962877652,-0.108251253299636,-0.227619560804659,-0.632082992410954,-0.248438662360398
"OCIAD2",-0.0832633259173079,0.00248297663608454,-0.21304421768888,-0.380463279679025,-0.519713891600731,-0.395046741999888,-0.32664768966924,-0.482968348192366,-0.278363516480414,0.890752862759362,1.00714443490585,1.00066402341197,-0.00494728253635657,-0.0636558812136734,-0.0279160434501922,0.998646247157245,0.979948295173042,0.8681938976809,-0.233457994545863,-0.250924796169305,-0.37666234959844,-0.20524517804669,-0.365285001101522,-0.187925125168606,-0.346815120880896,-0.499684173135802,-0.505802780649184
"NF2",0.0752239344406398,0.0252201918259249,0.0044545535176912,-0.0842295336326089,-0.0754110781304291,-0.00237605568284138,-0.0236591276258036,0.0483582554564972,0.0921779868785872,-0.040559365491136,0.090903517108126,-0.00825970545966825,0.0551595518410952,0.0574277450199361,0.0983020503518368,0.347071408008862,0.2527412599506,0.306576791733852,-0.0975755672840659,-0.170009651693992,-0.071556769911922,-0.117318606643773,-0.118422183649333,-0.145282146814383,-0.184356636164868,-0.19888575735499,-0.115715060593859
