"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"ATM",0.0581446904244522,0.00734938291597587,0.115071560576654,-0.331116287968321,-0.0235050434797266,0.00379845620915731,-0.0425899334926125,-0.0331900189788659,-0.0537370882936017,-0.150208552413005,0.0224966292449302,-0.309840274246369,0.115028450331414,0.138985209829642,0.20747118742371,0.220710080977726,0.17060981797335,0.194511583280446,-0.302535901326026,-0.240857849654335,-0.213191130850202,-0.0313510744295424,-0.0120613321593215,0.0409763252225055,0.242499353048645,0.116015698426368,0.0905160614069231
"MAP3K20",0.438411752260496,0.382484358145978,0.380666189710276,-0.175805647981504,-0.0574222310707437,-0.147203743445314,-0.123632873901304,-0.0371870134541581,-0.0764997748129836,-0.295628161883936,-0.28162534738723,-0.404806012206739,0.000339265627665952,0.028539128397135,0.237825704090332,0.268053614671583,0.104843715834306,0.218518218477175,-0.513255457612557,-0.373271496678145,-0.521697395876231,0.0628332492908132,0.134191734838094,0.0656985089173698,0.286500564601637,0.141139375016943,0.257989776431039
"PCID2",-0.00506070019658011,-0.10678619291061,-0.0352599468626771,0.0690886455966329,0.0460520232829733,-0.0328733462339983,-0.0881236969386148,-0.0895053628053191,-0.168955904102223,-0.0445857062665613,-0.0229338215515114,-0.0328236642460098,0.0854401505874041,-0.0023583099520188,-0.00597114089022632,0.160038707764768,0.074071273395619,0.119279869493381,-0.0702405887314281,-0.108461938021103,-0.0980666670119419,-0.0140815006921091,0.0654726592803652,0.0142242164320017,0.168037652059759,0.116489906062606,0.0078933834573931
"MAD1L1",-0.0215059136453934,0.00711831005821661,-0.0262027352823813,0.0377078620735327,0.0531884951697457,-0.115584332396774,-0.0440111028987671,-0.130142946185555,-0.0237972128575867,0.0187266408227709,-0.078915155795408,-0.108277646503716,0.0688829334213867,0.11218614007165,0.0651653401519061,0.0236864377212562,0.105956296913504,0.0253209181766572,-0.168111831488797,-0.269443911248232,-0.0401845738640727,0.125495329032715,0.0780213100073537,0.121483292934695,0.151200239017433,0.0501140439902699,-0.0180762273964348
"PDS5A",0.0252885107335779,0.0367527606244806,0.00516743027378119,-0.0421237698025827,0.00337873045029902,0.0060986896779287,-0.144153239973379,-0.0581821975905186,-0.0308762322307565,0.0231257434209038,0.0330066991209854,-0.0945556295877896,0.0258497284512842,0.0769587444616509,0.0541280967588467,0.0858384929851255,0.118104781272534,0.0845884967867292,-0.0929444560959709,-0.0991435213313991,-0.0738008556986465,-0.0201523755277631,0.00172302698711668,0.0185395488960189,0.0556961205876441,0.0729146358310402,-0.0712279594812149
"MEI4",0.144912033041802,0.175604351814148,0.106766955717872,0.018868847762521,-0.0365844853422121,-0.233050323656983,-0.233050323656983,-0.233050323656983,-0.0247994181112068,0.0466534909887066,0.0585940279888462,-0.0271910539974041,0.218242578291828,-0.0280687568862863,0.168094573497522,0.212709825315304,-0.0363532010384651,0.0126070226984245,0.0235123725341735,-0.0382588841160603,0.0502137301166306,-0.0232792156504056,-0.0193011254406832,-0.233050323656983,-0.0265224935981498,-0.022142068223542,-0.0220778127354828
"DMC1",0.0186869770433233,0.228232842463824,0.128391219329083,-0.0872902324767626,-0.0664427533217777,-0.191606691572447,-0.214074280501129,-0.212054367513792,-0.389231823412954,-0.0176564238782779,0.0532953581346955,-0.141565573643415,0.0792583037929546,-0.0726004454044018,0.322054508502659,-0.0555463892276675,0.173136008353429,0.0851633814430501,-0.24026814748748,-0.042239221873662,0.231342915417332,-0.0758679101185074,0.245150951487132,0.127467750405676,0.0941688166727985,0.00994378683926023,0.0101514405469905
"CCNE1",0.117873290683011,0.267766172290228,0.1215833621577,-0.0779442336278766,-0.192038532389166,-0.118681015295392,-0.233231617522899,-0.072450982645174,-0.255352120604508,0.0517125115616466,0.000933509194437576,-0.0773476021274888,-0.00545585053144215,0.0553016858410444,0.0640324284925331,0.0115149918493955,0.16597400942671,0.0565130045834543,-0.22236665340313,-0.159267354467397,-0.0165044790577884,0.211207380796443,0.00112042589954342,0.0897893056307986,0.0304147381029551,0.078233351072523,0.106670274089769
"BARD1",-0.185329405960074,-0.207645738714014,-0.236593799659692,0.0185861641080312,0.107284797523748,0.035426466027106,-0.235641474692814,-0.19942489068668,-0.0951325544140751,-0.0918589890050985,0.0673703947276358,-0.10067342273711,0.318095971560636,0.18716344648794,0.183752050680045,0.240501779681042,0.152807456857117,0.160911834679844,-0.401892269413141,-0.446376270379391,-0.385844586685579,0.278204986069785,0.344091911352711,0.260895283298542,0.149852908989974,0.040368857619054,0.0410990926844885
"MAD2L1",-0.143683332218945,-0.0667573123493046,-0.13479982734251,0.0285971589557885,0.0807493696108263,0.0335817078351504,-0.0991307485876476,-0.0880263051661601,-0.151775271383638,-0.0528225577956896,0.0937090191618744,0.176332190005882,0.118571671834449,0.0360328567248853,0.101599470275595,0.00480391042854755,0.118564077475424,0.0379281728733432,-0.188680579008004,-0.313904501910352,-0.320633417600307,0.10162755330529,0.340615723761983,0.235179220848488,0.0178661248340806,0.112559262910681,-0.0781036374797459
