"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"MIR204",0.158496129945457,0.0632525675242963,-0.0733704515936795,-0.0733704515936795,-0.0733704515936795,-0.0733704515936795,0.137298007423748,-0.0733704515936795,-0.0733704515936795,0.12456463601764,-0.0733704515936795,-0.0733704515936795,-0.0733704515936795,-0.0733704515936795,0.0688554040701961,0.126613316700818,-0.0733704515936795,-0.0733704515936795,0.0748861144665538,-0.0733704515936795,0.12708807838096,-0.0733704515936795,0.228641363235057,-0.0733704515936795,-0.0733704515936795,-0.0733704515936795,0.13760205932782
"SFRP2",0.575674967331844,0.633433276848859,0.649358123192155,-0.773927691481083,-0.816687636051663,-0.742022593826484,-0.591025813181258,-0.695390738549177,-0.769871374096407,0.582560629509361,0.602940419809588,0.738115586841703,-0.315177926692071,-0.197392589176888,-0.191803306749955,0.180316745674771,0.172093253196275,0.15968556208697,0.34837227970241,0.300439710380244,0.308737700444151,-0.282249959996713,-0.290948617341725,-0.340386508803574,0.213936189862789,0.322968498474085,0.218251812591811
"VEGFA",0.209985415006997,0.170135804321657,0.175196540224677,-0.168342780944885,-0.159425237688293,-0.0791506852196164,-0.0792333376079455,-0.0918610190125619,-0.109611397020407,-0.0914359865026082,-0.129955174860784,-0.112797202551691,-0.097146974117674,-0.0782377673378161,-0.0412386921427395,0.1445608183505,0.160232111198908,0.0234410535657705,0.0145526798697411,-0.060130140446752,-0.0359801015508729,0.14128508023923,0.133091143018975,0.117869639371232,0.0130146131732154,-0.00470794822745368,0.0358895468912053
"MIR130A",-0.023166045400898,-0.21255212532369,0.0280120392143539,-0.0669834289643303,0.154296751426681,0.072350310189333,0.0453487515862356,-0.21255212532369,-0.0652326333304583,0.100044390989027,-0.21255212532369,-0.00669285566411126,0.0353351697288788,0.170133004711584,-0.0114956733835188,0.103272185864633,0.0282586438387842,0.0331052210317173,-0.0642955592634564,0.0627161277831814,-0.21255212532369,-0.0641562798935178,-0.21255212532369,0.214987500294112,0.0792740168952601,0.152105573787693,0.085543415177245
"ZNF750",-0.166874974927039,-0.0291508436278516,-0.197063124380095,0.0876927240668133,0.163773027077871,0.144326302397214,-0.256495554812629,-0.194197375588734,-0.0409948588066786,-0.0154108322730346,-0.0653666610112795,-0.0667237488246757,0.198844779677752,0.345669814999104,0.0263699427420354,0.0976645016163591,0.139620012493765,-0.079805121120085,3.40206734161796e-05,0.0936735462580742,-0.38869171726347,-0.0568893092119938,0.0813516784229344,0.118898624365631,0.090118413598451,-0.11920542652173,0.0888321599799307
"FUZ",-0.100618943477564,0.0969393367027589,-0.0545601902739818,0.0859998153460868,-0.0892017227437929,-0.0864541151935097,-0.424283716726089,-0.394996361465122,-0.237665991686024,0.0978119352689149,-0.0374757670049242,0.170153334282402,-0.0897550717672324,-0.0347087523418157,-0.152305857234472,0.240324283649633,0.128771818603777,0.191589271401911,-0.103019712065965,-0.113510067193836,0.00583088786887487,0.198187456550606,0.0898931212981431,0.0728900404409689,0.041203513915093,0.241254175758801,0.2577072780864
"USF3",-0.118762701331599,-0.0960528028836851,-0.179207616757829,-0.532833871901699,0.0229122544682276,-0.0313670581969294,-0.332903900385004,-0.27374697445835,-0.287890425302997,0.0370379089003539,0.164611984210016,-0.171672702748969,0.0563192559202559,0.234228572902222,0.128196353349754,0.256411175471854,0.2051346682332,0.182558267772514,0.0261091021218434,0.0766750411888317,0.0131784196625606,0.023001636038213,0.0677201042463729,0.0458145938125902,0.225756165314252,0.040066483922697,0.218706066431235
"SPRED3",-0.249344404389864,-0.351880607250704,-0.404773389249442,-0.155497298709244,-0.241862334397984,-0.0960269836139886,-0.734605155220372,-0.727601709495085,-0.805082113055379,0.286798489238706,0.241270042753742,0.311120259463367,0.010115940856485,0.0736824311253503,-0.0192193835312153,0.154881796390482,0.277408629969543,0.145358440483985,0.547509270311291,0.611723693858988,0.533106759022839,0.0114551307282635,-0.0586554945393285,0.0359001478472134,0.1804470040131,0.197239901704378,0.226530935684851
"MARK1",-0.112415504157616,-0.120658031307268,-0.128104880539148,-0.329741486269745,-0.204426974750762,-0.146477700396408,-0.793258579897124,-0.731871068198634,-0.803478457106525,0.148888243618753,0.232807213372277,-0.00454939485474704,0.144426240014637,0.196604677001178,0.199024739136812,0.220000496830259,0.246096608135574,0.136591304485314,0.286743572034023,0.326320302348224,0.31221136049894,0.0765463559240782,0.124938124076044,0.0943246492743626,0.202865882387393,0.23478388751124,0.191808420828869
"SFRP1",0.423650676129204,0.442675405156393,0.395658892119911,0.339282463724684,0.406040058347283,0.346729416267184,-1.23584223430088,-1.2889208146977,-1.23295457000968,1.15497636870396,1.25089974223079,1.12475700841635,-0.512488906727013,-0.587969313997471,-0.463260499971515,-0.339620924793557,-0.467252810759234,-0.341015633655655,1.42490359532483,1.42571282351464,1.45861926758578,-0.710670038730829,-0.708098712601748,-0.68665418815665,-0.528351933366762,-0.580500980880819,-0.510304154871527
"DAB2IP",0.0571236352706634,0.031553100249738,0.0222399370950725,0.0918140091584139,0.057166042634595,0.0974207548690362,-0.14920321573199,-0.086026810507553,-0.0478471026640293,0.0269592976941535,-0.0322263910475762,-0.00792438244635818,-0.0344054329440784,-0.0334472190936932,-0.022883244148705,-0.190110887552565,-0.192192855502411,-0.0779363292807886,0.27862399459798,0.263769662441961,0.287901858880357,0.054502374202686,-0.0397187403792962,0.036786945392814,-0.198044876406076,-0.0951889980324996,-0.0987051267498007
"SDHAF2",0.0978689887703137,0.103448789842803,0.0628023138748013,0.0397339716147656,0.012126267751885,-0.179182732490798,-0.0526235074809662,-0.193920858344287,0.0554486900376734,-0.0283788859913674,0.0405004064707537,0.114631210532144,-0.134178376531713,-0.0820941492562053,-0.0412231527973645,0.0925904757144469,0.0219646589435456,-0.101940181089926,0.3017525574339,0.11802662708117,0.29265364296179,-0.118262180746616,0.0229837899845631,-0.15605251517246,-0.0287695082765751,-0.140442012245714,-0.11946433059051
"NKX2-1",-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,0.202228015582585,0.175202818824893,0.278481905222335,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,0.25345584419401,0.286258356199224,0.431364840302132,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043,-0.0774757990631043
"PPP2CA",-0.0585344760281412,-0.074641589540926,-0.0852408503730171,-0.0863863948630801,0.01489725837998,-0.0766874788005474,0.0381152026603768,0.0392197270160395,0.0188418580826166,0.0348266012628784,0.182139436193125,0.12184873534687,-0.00416877675575478,-0.0554330281393405,-0.0652391544119819,0.00655683576102106,-0.0675477969425131,-0.064545786346601,0.192897496603265,0.191980215407154,0.197682865934022,-0.11792492702476,-0.064585713534127,-0.0249585821939835,-0.0429203561953297,-0.0230890527917662,-0.127102268705496
"TBX5",0.150973617739762,-0.116667137516846,0.36280904352174,-0.116667137516846,0.160963665710689,0.0849527028911732,-0.116667137516846,-0.116667137516846,-0.116667137516846,-0.116667137516846,0.0293411415143305,0.0891921321427329,-0.116667137516846,-0.116667137516846,-0.116667137516846,-0.116667137516846,-0.116667137516846,-0.116667137516846,0.0929072589998015,0.158601115590026,0.166596916256768,-0.116667137516846,0.0970820606994538,-0.116667137516846,0.175159004702104,-0.116667137516846,0.181428402984089
