"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"INS",-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,0.201812381830845,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024,-0.0077620146858024
"NCF1",0.0298562508845412,-0.297701623744869,0.161536186013782,0.0864643363320825,0.0420644505051406,0.0509493946475112,0.0349530686806121,0.0972512479045067,0.0311455476215681,-0.0997665361335498,0.059186128279249,-0.0456831464946923,0.106273687003892,0.202314700752511,-0.0135940134245196,0.0181226874434532,-0.0568908545823952,-0.0141547294335735,0.16929166418029,0.0660325315174592,-0.297701623744869,-0.0408983224712598,-0.146489061857182,-0.0502606623108406,-0.00587548152591921,0.000303286780430234,-0.0867291128233694
"CYBC1",-0.0302016765763433,0.0499185417101078,0.0159498629291388,-0.0012451228860435,-0.186564604374109,-0.19018568722047,-0.914895079689732,-0.731631749311882,-0.988214294350051,0.428201666914871,0.314108778863476,0.460631748108149,-0.103397587522984,-0.075050075748571,-0.225271398345336,0.0998018280564814,0.185049059181186,0.125216175136101,0.460025366477874,0.473581757723542,0.446214445680656,-0.00619161329519358,0.00667027509933504,-0.0414878184395899,0.150296076314484,0.143827401884476,0.134843723680492
"CD24",-0.454033118991383,-0.419283206307627,-0.379061468248143,0.00611999663269813,-0.0157610770954442,-0.0546235458083792,-0.662709477380638,-0.629503304334847,-0.628354083331446,0.215628374245268,0.280121432772424,0.325752158946974,0.0379242168574745,-0.015648302348124,-0.0150068393631617,0.226859468498175,0.175928540930498,0.181256560513029,0.384890245166657,0.383515344683072,0.396855988095055,-0.0210000234149135,0.00373297117887184,-0.00431784898104581,0.216403099212275,0.289504194044248,0.174809703828522
"BCR",-0.278165653213843,-0.26021549439313,-0.283234571416049,-0.0211197680674715,-0.0910085293826448,-0.108576214495459,-0.356980864129703,-0.305375344317561,-0.29468486594743,0.276200440714204,0.13956754740359,0.228661479726583,-0.0336184640055848,-0.0400266040189585,-0.106585024637925,0.142592450288515,0.121748400494795,0.198863426766964,0.248161931466811,0.244875958135406,0.278312466375446,0.00116420663465888,-0.0605703817937862,-0.0176762035335347,0.122457955183441,0.0656829654411908,0.189548754721571
"HMGB1",-0.118936464524301,-0.0629223442876139,-0.0829149615433202,0.100272641665493,0.00546032425096321,-0.0159584908688828,-0.158690429671537,-0.186136165582374,-0.201066322929904,0.088368157291125,0.122219320978502,0.185519282252766,0.0317166871068117,-0.101783178831555,-0.00671459361777949,-0.0438461954406755,-0.057642090363272,-0.0680487577323738,0.17037762022913,0.12814139805489,0.158438780599909,0.0227311918489939,0.106747635574724,0.112210935399261,-0.0125418234070622,-0.00717560115592164,-0.107826555296006
"PRDX2",-0.158319884723459,-0.0897926781972611,-0.115261882294638,0.138887678573434,-0.0350644655606143,-0.0310568091622461,-0.108505584178344,-0.148675459723918,-0.0374813214953065,0.150078041241629,0.0310530210036415,0.240237289404837,-0.0524993627209778,-0.208655894438817,-0.10446966891986,-0.054763500550477,-0.0297985412154151,0.108388778258547,0.201101391890983,0.116853517053448,0.168687800233151,-0.0330499499887136,0.0290187973179883,-0.0385419331847654,0.0360400251049384,0.0026923974390094,0.0228981988331594
"CYBB",0.0691080422275823,-0.160025164426616,-0.0133499507086343,-0.353167230083489,-0.0134011558334795,-0.00451621169110883,-0.0952663531735638,0.0126501757996023,-0.353167230083489,-0.110842033652778,0.10679797031058,0.0575126824181078,-0.0030302085080498,-0.148185663312793,-0.035652947865402,-0.0373429188951668,-0.0130024006047273,0.0471884794363104,0.198436165755549,0.035534889100262,0.402115517978963,0.0652763877915552,0.0731692798872627,0.0500836334990504,0.170940403172316,0.0405346666723361,0.0116011747897806
"ZBTB46",-0.392959273622035,-0.355104531076655,-0.428909840758278,-0.103377479720848,-0.0602347510598857,-0.0232875335286575,-0.200996721662056,-0.250723397186251,-0.156060903885255,0.22126791694078,0.0379479892274386,0.166714576601997,-0.17129922578099,-0.106788152416097,-0.187794340974843,0.124347013008842,0.0718502558873233,0.122746990684876,0.414310719707567,0.500043817036822,0.469776456499414,-0.0883080951181157,-0.137868691740662,-0.161952392990482,0.196718188792907,0.144141570688241,0.355799836444966
"INSR",0.0894586211732946,0.0362168426558362,0.0424349276214979,-0.128379372617982,-0.171597917687986,-0.172132724067508,-0.222154112338201,-0.167096663646713,-0.200088701319656,0.324442210170309,0.368348422737885,0.248865202490725,-0.234623747935229,-0.261922721355459,-0.269299671556567,0.102416638640539,0.161627601015926,0.174888664409407,0.339006969708882,0.485567862874735,0.371385456868843,-0.366259041925556,-0.373920079639449,-0.346906579376061,0.0811037068580944,0.0748936591841041,0.013724547056249
