"Gene","11C1-D56-veh-1","11C1-D56-veh-2","11C1-D56-veh-3","12C1-D56-veh-1","12C1-D56-veh-2","12C1-D56-veh-3","C1-2-D56-veh-1","C1-2-D56-veh-2","C1-2-D56-veh-3","FXS-D56-veh-1","FXS-D56-veh-2","FXS-D56-veh-3","FXSB2-D56-veh-1","FXSB2-D56-veh-2","FXSB2-D56-veh-3","SO10C3-D56-veh-1","SO10C3-D56-veh-2","SO10C3-D56-veh-3","FXS-D56-BP-1","FXS-D56-BP-2","FXS-D56-BP-3","FXSB2-D56-BP-1","FXSB2-D56-BP-2","FXSB2-D56-BP-3","SO10C3-D56-BP-1","SO10C3-D56-BP-2","SO10C3-D56-BP-3"
"MIF",-0.147450149826176,-0.147450149826176,-0.147450149826176,0.143318378265808,-0.147450149826176,0.0541696905818423,0.00158105931326258,0.151504169182376,-0.147450149826176,-0.147450149826176,-0.147450149826176,-0.147450149826176,-0.147450149826176,0.20699495005257,0.170064132391911,-0.147450149826176,0.049246972792341,-0.00550566842649491,0.0621242466904706,0.0910293163438771,-0.147450149826176,0.109353151447433,0.114218772914512,-0.147450149826176,0.105386103512481,0.217207549285206,0.298708973566543
"CACTIN",-0.111171121893134,-0.153332169622491,-0.332911880131123,0.0960953823995165,-0.0526747322617922,0.164533191713204,0.303578755279132,0.328685554206718,0.152903010391194,-0.135397171413919,-0.357485597749134,-0.218191899320482,-0.36367746413449,0.0811753462342786,0.0182614995566865,-0.0023779131755397,0.0455229820124838,0.190772452327442,0.0869457420320536,-0.0551186740295595,-0.0696539505336133,0.0641986713651423,0.0743688724857652,0.0198303622896461,0.0164631922511287,0.0249623022139751,0.183695257506862
"LY96",0.0484577009821336,-0.140928378940658,-0.140928378940658,0.0648497051210466,-0.00195242293275122,-0.140928378940658,0.156738306374015,0.070653000039723,0.00639111305257334,-0.140928378940658,-0.140928378940658,0.184151755307972,0.0615535888902503,0.148716536821301,0.143179231379691,-0.140928378940658,-0.140928378940658,-0.140928378940658,0.190003264316456,-0.140928378940658,-0.140928378940658,0.155472603374057,0.161083435888078,0.144675567113046,-0.140928378940658,-0.140928378940658,0.157167161560277
"LTF",-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,0.18450707204268,0.185419992005634,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,0.257946223345602,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475,-0.0261613869747475
"PLCG2",0.262761929317771,0.321572846244271,0.27951142623943,-0.184455604010251,0.0259744771935821,-0.509407857991829,-0.0891836101014416,0.00656876208936019,0.205290310186562,-0.114461540207643,-0.152520105967711,0.0325150820334601,-0.15927083641639,0.117964344828857,-0.161727955336969,0.0531144982553506,0.0439680292048434,0.0549930404943817,-0.0913545941171119,-0.0340588247602609,0.164775864922446,0.0427079613242292,0.0118083846884387,0.0227589394571304,0.0342575228234736,-0.039463037275449,-0.144639453118559
"BMP6",0.577485519817505,0.492418833339141,0.410948013244531,-0.0389203963336477,-0.195310913831232,-0.199823212215493,0.301432983321671,0.0655619125369631,0.0918477143720322,0.00257476327254391,-0.206909662789813,0.0178975904539493,-0.197574964806102,-0.07166319104513,-0.131354765354289,-0.284933100044356,-0.390528419537882,-0.221348122898618,0.09694570463245,0.27131618536775,-0.00136015425163283,-0.178577429700585,-0.0601913233555988,0.0921405154130142,-0.0825027654323414,-0.137804234052522,-0.0217670801222551
"LYN",0.511097946814099,0.696704425212856,0.527721150388247,-0.357211564072099,-0.218390919493991,-0.152288714069387,0.0232110186130638,0.102977612645708,0.0771374593957965,-0.352930780048016,-0.0568104957656361,-0.458051362143097,0.0740817925453712,0.145619231341139,-0.0808981870915657,-0.137459142125062,-0.0526677187664903,-0.103044602405121,-0.166358465157362,-0.0617112166298988,-0.238467466197664,0.0756635935093737,-0.0131987389282529,0.00117615979909935,-0.00615572226653072,0.185847026147546,0.0344076787478782
"NOS3",0.407484940270659,0.318167577401071,0.445437598732913,-0.126957542432405,-0.233529835569266,-0.300528866378716,0.011807905933316,0.0464275829045597,0.300062828774895,0.0166522050193301,0.0143363854775309,-0.190409370680823,-0.135248061138757,-0.0382918165067938,0.012377249131978,-0.14153398789187,-0.0789882370684385,-0.248824175251297,-0.117413361257559,-0.052595929079378,-0.121338731489104,0.0250039343216901,0.127490447880337,-0.0467196536879149,0.115262267916803,0.0125486885979722,-0.0206800439307617
"CD36",0.581313920527553,0.487442082856754,0.614982432079417,0.202520906700443,0.51617841915024,0.398322243560289,-0.32134225450858,-0.271394689365437,-0.147377792550808,-0.302434066126139,0.0583688075120863,0.0834952277734287,0.0300756170002252,0.182052055966589,-0.152074402399805,-0.0799379326765264,-0.334900508220849,-0.279298102270638,-0.129925640531912,-0.273235993843822,-0.352918005368418,0.0746833598134424,-0.0422596025364435,-0.0498574470056123,-0.191698990279892,-0.188550371147956,-0.112229274107643
"TLR2",0.290826910251802,0.144543670243168,0.153881342920373,0.0115853685278031,0.0390334167664674,-0.0502823755339445,-0.0662787015008437,0.023102256084929,0.041504744005243,0.0422885827016097,0.216123234678427,-0.193074124266746,0.0523595080224855,0.275332100879148,-0.398933393926325,8.14620032922875e-05,-0.202236271307807,-0.051938580689777,0.0680598939988339,0.149136934368132,0.0901376103411309,0.068495197018767,-0.398933393926325,0.0941518507659929,-0.192405563867492,-0.0659010533086049,-0.140660625249763
